"FacilityID";"InspectionID";"Inspection Date";"Inspection Result"
"BronxDC2027";"ed998d89bb0166a76e2eea57474d4ee7";" 5/10/21";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection"
"BronxDC11899";"d1c90d1eac22bce4a5ddc8a031a95ab2";" 1/13/22";
"BronxDC20062";"606d1be85ac3f30f0487030439a01333";" 12/16/21";
"BronxDC31728";"a4f349b498e8df3326c17e7a6d6f5f93";" 1/6/22";" Initial Annual Inspection - Reinspection Not Required"
"BronxDC32490";"6c1578f0230d686d79fbe3b9a51cd5f2";" 5/14/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC1627";"25c14b1c5cc9542c3f14e688f77589fd";" 5/5/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC39218";"edfacc096b9456c0f0491815ef656e30";" 8/12/21";" Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection"
"BronxDC260";"79c54422319253f41f7e182abfd3bcfc";" 12/16/21";
"BronxDC22115";"722215233331dbdddd6a5d14144765fb";" 10/7/21";
"BronxDC35870";"efe0c5bdfd0a40eae6ea41e30a829171";" 9/10/21";
"BronxDC35866";"54bdf37b09c422f9436c9bb325baedaf";" 6/11/21";
"BronxDC11674";"5e35ddbe4348f1239442bbed61d36eba";" 1/12/22";" Monitoring Inspection Non-Routine - Passed inspection with no violations"
"BronxDC11867";"f4cb5828d68ae386c9dfc091175b56f3";" 10/13/21";" Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection"
"BronxDC21774";"ce94b67393a8301f34b50fafd979be22";" 8/5/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC32476";"3361083e90ed0cae68e0646f850977bb";" 9/29/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC109";"a71ed50acb0a3fad649d0b0be1b38230";" 9/29/21";" Initial Annual Inspection - Reinspection Required; Fines pending"
"BronxDC37363";"b031e22479545b951a92e63f3d0a5bde";" 12/9/21";" Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection"
"BronxDC16721";"3e1a8fbca94385dc1f213f26c1de6632";" 1/27/22";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC2046";"c516384874cac10caa6fa27e5224063b";" 11/9/21";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection"
"BronxDC23234";"7154d2da717e905cf253d33327612716";" 1/26/22";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection"
"BronxDC36639";"1bce90acc3cc0fdbbd547706cfd92ffc";" 1/13/22";
"BronxDC36660";"617bba04cde90accb88dff315eaae899";" 7/7/21";
"BronxDC36629";"8f4fe213123a179ef927c3d1da38ea9c";" 9/1/21";" Initial Annual Inspection - Reinspection Required; Fines pending"
"BronxDC36637";"4b7a56d9740ba84d0c2a42d86121fc9d";" 1/12/22";" Initial Annual Inspection - Reinspection Not Required"
"BronxDC36656";"43c34f67a81257fd9db94bc8535344b0";" 8/17/21";
"BronxDC36636";"03d67ee001cbe82ddec07ed5073c6905";" 7/23/21";
"BronxDC36634";"f1873dd40a04150c748de24cfd9a9d35";" 6/16/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC36630";"909d0a4246d806c5206d43ecb38b17ee";" 9/1/21";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection"
"BronxDC36645";"d65d011cb889f327298501a7fd9dea5b";" 4/13/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC36647";"2f3db73c1906f84f9799d97b84ae562e";" 11/19/21";" Monitoring Inspection Non-Routine - Reinspection Required; Fines pending"
"BronxDC36633";"bc58af92e3ac5da55759d8c3acb82822";" 7/23/21";
