"FacilityID";"InspectionID";"Inspection Date";"Violation Summary";"Code Sub Section";"Violation Category";"Violation Status"
"BronxDC2027";"ed998d89bb0166a76e2eea57474d4ee7";" 5/10/21";"At time of inspection toxic substances observed improperly stored so as to result in the potential for exposure or contamination of facility surfaces.";"47.49(c)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC31728";"a4f349b498e8df3326c17e7a6d6f5f93";" 1/6/22";"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.";"47.33(c)(1)";"Minor violations (General Violations)";"OPEN"
"BronxDC109";"a71ed50acb0a3fad649d0b0be1b38230";" 9/29/21";"Constant and competent supervision provided by adequate staff for children and groups of children";"47.23(a)";"Violations requiring immediate correction (Public Health Hazards)";"CORRECTED"
"BronxDC109";"a71ed50acb0a3fad649d0b0be1b38230";" 9/29/21";"At time of inspection toxic substances observed improperly stored so as to result in the potential for exposure or contamination of facility surfaces.";"47.49(c)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC109";"a71ed50acb0a3fad649d0b0be1b38230";" 9/29/21";"At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.";"47.57(b)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC109";"a71ed50acb0a3fad649d0b0be1b38230";" 9/29/21";"At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate the potential for exposure to choking hazards by children.";"47.57(c)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC23234";"7154d2da717e905cf253d33327612716";" 1/26/22";"Teacher to child ratios and group size maintained in Group Child Care program";"47.23(f)(1)";"Violations requiring immediate correction (Public Health Hazards)";"CORRECTED"
"BronxDC36639";"1bce90acc3cc0fdbbd547706cfd92ffc";" 1/13/22";"At time of inspection hand wash sinks are Not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.";"47.43(e)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BronxDC36629";"8f4fe213123a179ef927c3d1da38ea9c";" 9/1/21";"Exits and other egress Not provided with required signage at time of inspection.";"47.59(a)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC36629";"8f4fe213123a179ef927c3d1da38ea9c";" 9/1/21";"At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.";"47.41(j)";"Minor violations (General Violations)";"CORRECTED"
