"id";"name";"address";"city";"state";"zip";"county";"phone";"main website";"email";"detail";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4";"bad url?";
1087839;"LITTLE BERRIES INC";"8416 19 AVENUE";"BROOKLYN";"NY";11214;"BROOKLYN";"929-333-9595";"http://littleberries.net/";"info@littleberries.net";"Little Berries Day Care is full time childcare for children 3 months through 5 years of age. We are a private daycare & preschool with an educational curriculum, licensed by the New York City Department of Health.";"http://littleberries.net/";"https://www.facebook.com/LittleBerriesDayCare";"7:30 a.m. to 6:00 p.m.
Monday - Friday";;;;"n";"y";"y";"y";"n";"n";"http://littleberries.net/wp-content/themes/littleberries/img/logo.png";"http://littleberries.net/wp-content/uploads/2013/11/20131104_125455-e1388118464655.jpg";"http://littleberries.net/wp-content/uploads/2014/01/20140123_105833.jpg";"http://littleberries.net/wp-content/uploads/2014/01/20131226_112626-e1390777636514.jpg";"http://littleberries.net/wp-content/uploads/2014/01/20140211_110730.jpg";;
1087840;"LITTLE BIRDS DAY CARE CENTER";"490 LINWOOD STREET";"BROOKLYN";"NY";11208;"BROOKLYN";"718-647-8095";"http://www.littlebirdsdaycarecenter.com/child-care-contact-us";"littlebirdsdaycarecenter@yahoo.com";"The Little Birds Day Care Center LLC is a Child Care Center located in 490 Linwood Street, Brooklyn, New York. We are a privately-owned child care provider, state-licensed, and recognized in the business.

We believe that the youth play an important role in our future. So we see to it to make the present foundation better for them also. With is, we strengthen our service through having a firm hold at our philosophy:

    To let the child experience the fullness of childhood
    To accompany the child in small and huge accomplishments
    Guide him/her in making decisions to be responsible
    Respect a child’s dignity and moral nature
    Create a stimulating environment that spells both Love and Learning
    Immerse children in an environment of fun and discovery
    Promote the development of the child mentally, morally, spiritually, physically, and socially in our every effort.

Our wonderful staff carries out service, guided by these philosophies. They offer genuine care and compassion. They are enthusiastic about every child’s unique destiny to be great in his/her own way. More than that, they are experienced in child care, trained and background-checked. ";"http://www.littlebirdsdaycarecenter.com/child-care-contact-us";;;;"http://www.littlebirdsdaycarecenter.com/child-care-enrollment";;"y";"y";"y";"y";"y";"n";;"http://www.littlebirdsdaycarecenter.com/wp-content/gallery/gallery/img00009-20100519-1603.jpg";"http://www.littlebirdsdaycarecenter.com/wp-content/gallery/gallery/img00012-20100520-1622.jpg";"http://www.littlebirdsdaycarecenter.com/wp-content/gallery/gallery/img00011-20100810-1104.jpg";"http://www.littlebirdsdaycarecenter.com/wp-content/gallery/gallery/img00011-20100520-1622.jpg";;
1087841;"LITTLE BRILLIANT MINDS, INC.";"5916 20TH AVENUE";"BROOKLYN";"NY";11204;"BROOKLYN";"718-234-6463";"http://www.littlebrilliantminds.com/";"info@littlebrilliantminds.com";"Here at Little Brilliant Minds Inc we pride ourselves on a child-centered learning environment.  We are beyond a preschool. We give our students the opportunity and resources they need to go above and beyond. Our students can express themselves creatively. They can explore learning in a variety of ways.  The only requirement at Little Brilliant Minds Inc, is...be ready to soar and explore!";"http://www.littlebrilliantminds.com/";"https://www.facebook.com/pages/Little-Brilliant-Minds-Inc/370066453123456?ref=bf";;;;;"n";"y";"y";"y";"n";"n";;"https://scontent-b-lax.xx.fbcdn.net/hphotos-xap1/t1.0-9/q71/s720x720/600208_384876704975764_170399693_n.jpg";;;;;
1087842;"LITTLE DREAMERS";"4317 AVENUE D";"BROOKLYN";"NY";11203;"BROOKLYN";"718-451-2566";;;;;;;;;;;;;;;;;;;;;"Y";
1087843;"LITTLE HANDS AND FEET DAY CARE DAY CARE";"1270 BAY RIDGE PARKWAY";"BROOKLYN";"NY";11228;"BROOKLYN";"718-680-5437";"http://littlehandsandfeetdaycare.com/#/page/1";"Info@littlehandsandfeetdaycare.com";" Here at Little Hands and Feet Day Care it our goal to provide a center where parents can feel safe and secure when leaving their child for the day, with the peace of mind in knowing that their children are in safe, well-trained and loving hands. We strive to provide a warm, safe and fun environment that helps your child develop socially, emotionally, physically and intellectually.";"http://littlehandsandfeetdaycare.com/#/page/1";;;;;;"y";"y";"y";"y";"n";"n";"http://www.littlehandsandfeetdaycare.com/images/logo.png";"http://www.littlehandsandfeetdaycare.com/images/gallery/thumb/1.png";"http://www.littlehandsandfeetdaycare.com/images/gallery/thumb/3.png";"http://www.littlehandsandfeetdaycare.com/images/gallery/thumb/4.png";"http://www.littlehandsandfeetdaycare.com/images/gallery/thumb/5.png";;
1087844;"LITTLE MUNCHKINS 42";"1411 41ST STREET";"BROOKLYN";"NY";11218;"BROOKLYN";"718-853-3160";;;;;;;;;;;;;;;;;;;;;"Y";
1087845;"LITTLE MUNCHKINS 47";"4712 12TH AVENUE";"BROOKLYN";"NY";11219;"BROOKLYN";"718-437-7261";;;;;;;;;;;;;;;;;;;;;"Y";
1087846;"LITTLE MUNCHKINS 56";"1460 56TH STREET";"BROOKLYN";"NY";11219;"BROOKLYN";"718-437-7261";;;;;;;;;;;;;;;;;;;;;"Y";
1087847;"LITTLE NEST COMMUNITY NURSERY";"511 CHURCH AVENUE";"BROOKLYN";"NY";11218;"BROOKLYN";"718-484-0033";"http://littlenestpreschool.com/";"info@littlenestpreschool.com";"Our curriculum incorporates focused interest areas of play that provide a foundation for long-term academic learning. “Pre-school” is just that—it is preparation for the comprehensive school setting.

Our learning centers focus on all areas of child development: Social, Emotional, Cognitive, and Physical. Our thematically based curriculum incorporates books, poems, colors, numbers and art, in addition to using our most important teacher--the world around us. We enjoy neighborhood walking trips, and other special field trips (aquarium, zoo, children’s theater, transit museum). Scheduled enrichment classes in music, art, and drama/movement are provided each week. ";"http://littlenestpreschool.com/";"https://www.facebook.com/littlenestpreschool";;;"http://littlenestpreschool.com/admissions/";;"n";"n";"y";"y";"y";"y";"http://littlenestpreschool.com/wp-content/uploads/2014/03/cropped-LittleNest.logo_.webbanner.031714.png";"https://scontent-b-lax.xx.fbcdn.net/hphotos-xpf1/t1.0-9/p180x540/10300009_711018315622935_1742504767325307501_n.jpg";"https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xfp1/t1.0-9/q72/s720x720/10394578_698646036860163_1695325009615401981_n.jpg";"https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xap1/t1.0-9/q71/s720x720/10385305_697236920334408_4392244886956552346_n.jpg";"https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xpf1/t1.0-9/p180x540/1517404_694159697308797_5522310164954217375_n.jpg";;
1087848;"LITTLE PEOPLE'S ACADEMY";"3217 CHURCH AVENUE";"BROOKLYN";"NY";11226;"BROOKLYN";"718-287-6200";;;;;;;;;;;;;;;;;;;;;"Y";
