"Provider Name";"Address";"City";"State";"Zip";"Telephone";"License Type";"License Number";"E-Mail";"Web Site";"Progamm Type";"Enrolled in Subsidized Child Care Program";"County";"ID";"DetailsURL"
"ACWLC,INC";"126 COMMERCE DR";"ADVANCE";"NC";27006;"(336) 940-3975";"Five Star Center License";30000059;"kristina@achildsworldnc.com";"Not Available";"Child Care Center";"Yes";"Davie";30000059;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=30000059"
"DCS SHADY GROVE PRESCHOOL";"3179 CORNATZER ROAD";"ADVANCE";"NC";27006;"(336) 998-4719";"Five Star Center License";30000103;"nuckollsp@davie.k12.nc.us";"Not Available";"Child Care Center";"No";"Davie";30000103;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=30000103"
"BOONVILLE HEAD START";"533 NORTH CAROLINA AVENUE";"BOONVILLE";"NC";27011;"(335) 367-5301";"Five Star Center License";99000106;"rwrenn@yvheadstart.com";"Not Available";"Child Care Center";"Yes";"Yadkin";99000106;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=99000106"
"BOONVILLE OUT-OF-SCHOOL-TIME PROGRAM";"232 E MAIN STREET";"BOONVILLE";"NC";27011;"(336) 367-5378";"Five Star Center License";99000070;"linda.neese@yadkin.k12.nc.us";"Not Available";"Child Care Center";"Yes";"Yadkin";99000070;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=99000070"
"BOONVILLE PRESCHOOL AND DEVELOPMENTAL DAY";"232 EAST MAIN STREET";"BOONVILLE";"NC";27011;"(336) 367-7021";"Five Star Center License";99000118;"jill.logan@yadkin.k12.nc.us";"Not Available";"Child Care Center";"No";"Yadkin";99000118;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=99000118"
"BRENDA REYNOLDS DAY CARE HOME";"3128 REECE ROAD";"BOONVILLE";"NC";27011;"(336) 367-5291";"One Star Family CC Home License";9905042;"brendareynoldsdaycare@gmail.com";"Not Available";"Family Child Care Home";"No";"Yadkin";9905042;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=9905042"
"MOTHER HEN CHILD CARE";"3609 RIDGE STREET";"BOONVILLE";"NC";27011;"(336) 367-3490";"Four Star Center License";99000033;"tjcastro@triad.rr.com";"Not Available";"Child Care Center";"Yes";"Yadkin";99000033;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=99000033"
"YADKIN VALLEY MIGRANT HEAD START";"113 MAPLE ST";"BOONVILLE";"NC";27011;"(336) 367-3450";"Four Star Center License";99000031;"ylytton@yveddi.com";"Not Available";"Child Care Center";"No";"Yadkin";99000031;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=99000031"
"ACWLC, II INC";"2005 LEWISVILLE CLEMMONS ROAD";"CLEMMONS";"NC";27012;"(336) 766-8222";"Four Star Center License";34000740;"tynisha@achildsworldnc.com";"Not Available";"Child Care Center";"Yes";"Forsyth";34000740;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34000740"
"APPLE TREE ACADEMIES, INC";"3 TWIN BROOK DRIVE";"CLEMMONS";"NC";27012;"(336) 764-0010";"Four Star Center License";29000513;"kivagoad@appletreeacademies.com";"Not Available";"Child Care Center";"Yes";"Forsyth";29000513;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=29000513"
"CLEMMONS MORAVIAN CHILD CARE";"3560 SPANGENBERG AVE";"CLEMMONS";"NC";27012;"(336) 766-6979";"Five Star Center License";3455147;"childcare@clemmonsmoravian.org";"Not Available";"Child Care Center";"Yes";"Forsyth";3455147;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=3455147"
"CONNIE'S DAY CARE";"170 STONBURG RD";"CLEMMONS";"NC";27012;"(336) 655-8593";"One Star Family CC Home License";34001182;"conniecasey39@gmail.com";"Not Available";"Family Child Care Home";"No";"Forsyth";34001182;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34001182"
"FAIRY TALE COTTAGE";"240 TWIN VALLEY DRIVE";"CLEMMONS";"NC";27012;"(336) 251-3380";"Four Star Family CC Home License";29000593;"Admin@fairytalecottage.us";"Not Available";"Family Child Care Home";"Yes";"Forsyth";29000593;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=29000593"
"HOFFMAN FAMILY CHILD CARE";"4190 CLARKSBURG ROAD";"CLEMMONS";"NC";27012;"(336) 416-9194";"Five Star Family CC Home License";34000607;"Lonniehoffman@att.net";"Not Available";"Family Child Care Home";"No";"Forsyth";34000607;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34000607"
"IMMANUEL BAPTIST CHURCH DAY CARE";"1505 LEWISVILLE CLEMMONS RD";"CLEMMONS";"NC";27012;"(336) 766-4055";"Four Star Center License";3459001;"melissa5596@aol.com";"Not Available";"Child Care Center";"Yes";"Forsyth";3459001;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=3459001"
"MONTESSORI CHILDREN'S CENTER, INC.";"6050 HOLDER RD";"CLEMMONS";"NC";27012;"(336) 766-5550";"One Star Center License";34000945;"jonathanchurn@wsmontessori.org";"Not Available";"Child Care Center";"No";"Forsyth";34000945;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34000945"
"NEW HORIZONS CHILD CARE";"6395 CEPHIS DR";"CLEMMONS";"NC";27012;"(336) 766-7079";"Four Star Center License";34000144;"horizonschild@gmail.com";"Not Available";"Child Care Center";"Yes";"Forsyth";34000144;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34000144"
"STEPPING STONES BAPTIST DAY CARE";"3816 CRAVER BLDG HWY 158";"CLEMMONS";"NC";27012;"(336) 766-7498";"One Star Center License";3455110;"a.smith1819@yahoo.com";"Not Available";"Child Care Center";"No";"Forsyth";3455110;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=3455110"
"ADVANTAGE CHILDREN'S CENTER";"200 OLD AMITY HILL ROAD";"CLEVELAND";"NC";27013;"(704) 278-0082";"Five Star Center License";80000056;"pullfor15@yahoo.com";"Not Available";"Child Care Center";"Yes";"Rowan";80000056;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=80000056"
"COOL SPRINGS PRIME TIME FOR KIDS";"1969 MOCKSVILLE HIGHWAY";"CLEVELAND";"NC";27013;"(704) 832-2528";"Five Star Center License";49000267;"grover_linebarger@iss.k12.nc.us";"Not Available";"Child Care Center";"Yes";"Rowan";49000267;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=49000267"
"WEST ROWAN ELEMENTARY SCHOOL";"480 MIMOSA STREET";"CLEVELAND";"NC";27013;"(704) 278-2131";"Five Star Center License";80000397;"kristine.wolfe@rss.k12.nc.us";"Not Available";"Child Care Center";"No";"Rowan";80000397;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=80000397"
