"id";"name";"address";"city";"state";"zip";"county";"phone";"main website";"email";"detail";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4";"bad url?";
236578;"CHRIST OUR SHEPHERD CHILD CARE";"226 WEST JOHN STREET";"MATTHEWS";"NC";28105;"MECKLENBURG";"(704) 845-4673";"http://www.cosministries.org";"//info@coskidsmatthews.org";"At COSKids, our goal is to provide your child with an exciting, educational and spiritual experience that will enhance his/her cognitive, physical, social, emotional and creative development. Our desire is to create a love of learning, a joy of discovery, and a positive attitude towards the educational process.  We foster a thirst for learning about God and His world.";"http://www.cosministries.org";;;"http://coskidsmatthews.org/?page_id=110";;;"y";"y";"y";"y";"y";"y";"http://coskidsmatthews.org/wp-content/uploads/2013/11/2013-COS-LOGO-281X1351.gif";"http://coskidsmatthews.org/wp-content/uploads/2013/10/infants-2.jpg";"http://coskidsmatthews.org/wp-content/uploads/2014/01/website-classroom-1.jpg";"http://coskidsmatthews.org/wp-content/uploads/2014/01/CAM00675.jpg";"http://coskidsmatthews.org/wp-content/uploads/2014/01/website-summer-camp-show.jpg";;
235438;"CROWN POINT AFTER SCHOOL ENRICHMENT PROGRAM";"3335 SAM NEWELL RD";"MATTHEWS";"NC";28105;"MECKLENBURG";"(980)343-6535";"http://schools.cms.k12.nc.us/crownpointES/Pages/Default.aspx";"crownpointelem@cms.k12.nc.us";"Our mission is to work collaboratively with staff, parents and the community to provide challenging curriculum in order to promote self-motivated, flexible thinkers who accept responsibility for their learning.";"http://schools.cms.k12.nc.us/crownpointES/Pages/Default.aspx";;"8:15 AM - 3:15 PM";"http://www.cms.k12.nc.us/Jobs/Pages/default.aspx";;;"n";"n";"y";"y";"y";"n";;"http://schools.cms.k12.nc.us/crownpointES/PublishingImages/MLK%20Celebration/photo%201.JPG";"http://schools.cms.k12.nc.us/crownpointES/PublishingImages/5th%20Grade%20Financial%20Literacy%20Program/literacy_progam_1.jpg";"http://schools.cms.k12.nc.us/crownpointES/PublishingImages/Memorial%20Day%20Parade/parade1.jpg";"http://schools.cms.k12.nc.us/crownpointES/PublishingImages/Trip%20to%20Washington,%20D.C.%202014/014.JPG";;
235494;"ELIZABETH LANE ELEMENTARY ASEP";"121 ELIZABETH LANE";"MATTHEWS";"NC";28105;"MECKLENBURG";"980-343-5567";"http://www.cms.k12.nc.us/cmsdepartments/asep/Pages/default.aspx";"asep@cms.k12.nc.us";"The After School Enrichment Program provides a warm, caring environment beyond school hours where your children have the opportunity to play with school friends and get homework out of the way before the family sits down to dinner. ASEP offers exciting activities which stimulate children to be healthier and happier, including sports, art activities and computer exploration. After School Enrichment Programs operate in CMS schools, utilizing age-appropriate materials and equipment for students. From the media center to the playground, students spend out-of-school hours in safe and stimulating environments. Using a curriculum correlated with the Common Core and Essential Standards, ASEP Site Coordinators, school administrators and teachers work together to ensure their ASEP programs supplement the learning taking place during the school day.

Besides academic support, the ASEP program focuses on the development of students’ social skills. To see After School at a glance click on the ASEP Fact Sheet. Program leaders are respectful and positive toward students, mindful of the importance of appropriate role models. Students are encouraged to develop friendships with schoolmates that for some will last many years. ";"http://www.cms.k12.nc.us/cmsdepartments/asep/Pages/default.aspx";;;;"http://www.cms.k12.nc.us/cmsdepartments/asep/Pages/documents.aspx";;"n";"n";"n";"n";"y";"y";"http://www.cms.k12.nc.us/images/CMS-logo-white.png";"http://www.cms.k12.nc.us/pageTopImages/TOY%204%20for%20web.jpg";"http://www.cms.k12.nc.us/pageTopImages/TOY%201%20for%20web.jpg";"http://www.cms.k12.nc.us/pageTopImages/Rocky_River_HS_Graduation_2012_23.jpg";"http://www.cms.k12.nc.us/pageTopImages/TOY%203%20for%20web.jpg";;
236774;"IDLEWILD BAPTIST CHILD DEVELOPMENT CENTER";"12701 IDLEWILD ROAD";"MATTHEWS";"NC";28105;"MECKLENBURG";"(704)847-3337";"http://www.idlewildbaptist.org/childcaredev.php";"idlewildcdc@yahoo.com";"Idlewild Baptist Child Development Center is a ""4 Star Rated"" licensed, non-profit Christian childcare center. The center was established in 1991. We offer a wide variety of interesting experiences for your child such as art, science, music, exercise fundamentals, language development, bible studies and Christian principles, social interaction, early reading and math skills, computer learning, as well as other special events and activities. These activities are designed to promote growth of your child physically, socially, emotionally, mentally, and spiritually.";"http://www.idlewildbaptist.org/childcaredev.php";;"6:30am - 6:00pm";;;;"y";"y";"y";"y";"y";"n";;;;;;;
234707;"JUNE BUG'S CHILD DEVELOPMENT CENTER";"2251 STALLINGS ROAD";"MATTHEWS";"NC";28105;"MECKLENBURG";"(704)882-1465";"http://www.junebugscdc.com/";;"June Bug's Child Care was established in February 1989 and operated until February 1998 when operations began under the current name, June Bug's Child Development Center.

The program has since grown to become one of Union County's largest and highest quality child care facilities.  

The program has been selected as a model site for for quality initiatives due to their voluntary enhanced standards in regulatory compliance, staff education and program quality.  

The quality level and reputation of the program has continued to thrive and grow, primarily based on referrals of satisfied parents and families.    ";"http://www.junebugscdc.com/";"https://www.facebook.com/pages/June-Bugs-Child-Development-Center/117370250488?id=117370250488&sk=info";"Mon - Fri: 6:30 am - 6:30 pm";;;;"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";;"http://www.junebugscdc.com/#!page-3/photostackergallery0=0";;;;;
236839;"KIDS R KIDS #9 NC";"5549 POTTER ROAD";"MATTHEWS";"NC";28104;"MECKLENBURG";"(704)821-2005";"http://www.kidsrkidsmatthews.com/";"info@kidsrkidsmatthews.com";"Kids 'R' Kids in Matthews is a school for infants thru pre-kindergarten providing a high standards curriculum that is predicated off of the seven standards of NAEYC (The National Association for the Education of Young Children), and a program that has been accredited by AdvancEd, a national accrediting organization requiring excellence in education for children.";"http://www.kidsrkidsmatthews.com/";"https://www.facebook.com/pages/Kids-R-Kids-Learning-Academy-of-Matthews/145489138843800";"Mon - Fri: 6:30 am - 6:30 pm";"http://www.kidsrkidsmatthews.com/school-info/employment";"http://www.kidsrkidsmatthews.com/online-forms";;"y";"y";"y";"y";"y";"y";;"http://www.kidsrkidsmatthews.com/common/media/266images/120_978892277.jpg";"http://www.kidsrkidsmatthews.com/common/media/266images/120_1891422889.jpg";"http://www.kidsrkidsmatthews.com/common/media/266images/120_196523471.jpg";"http://www.kidsrkidsmatthews.com/common/media/266images/120_152088284.jpg";;
235720;"MATTHEWS A.S.E.P.";"200 MCDOWELL AVE";"MATTHEWS";"NC";28105;"MECKLENBURG";"(980)343-3940";"http://schools.cms.k12.nc.us/matthewsES/Pages/Default.aspx";"matthewselem@cms.k12.nc.us";"Matthews Elementary is focused on learning that is rigorous, relevant, collaborative, differentiated, positive and promotes character in order to prepare our students for the 21st century.";"http://schools.cms.k12.nc.us/matthewsES/Pages/Default.aspx";;"7:45 AM - 2:45 PM";"http://www.cms.k12.nc.us/Jobs/Pages/default.aspx";;;"n";"n";"y";"y";"y";"n";"http://schools.cms.k12.nc.us/Style%20Library/images/schoolbanners/ES/matthewsES/Heading1.jpg";"http://schools.cms.k12.nc.us/matthewsES/PublishingImages/website%20school%20photo.jpg";;;;;
233680;"MATTHEWS COUNTRY DAY";"10540 MONROE RD";"MATTHEWS";"NC";28105;"MECKLENBURG";"(704)847-0208";"http://www.matthewscountryday.com/";"mcdfamilynews@aol.com
sherryhinton@matthewscountryday.com";"Our goal is to provide a safe and healthy environment in a positive, loving atmosphere. Encourages hands on activities that will help children develop to his/her fullest potential.

";"http://www.matthewscountryday.com/";;"Monday - Friday
6:30 am to 6:00 pm";;;;"y";"y";"y";"y";"y";"n";;"http://www.matthewscountryday.com/images/385_Misc_and_school_047.jpg";"http://www.matthewscountryday.com/images/385_Misc_and_school_053.jpg";"http://www.matthewscountryday.com/images/385_website_003.jpg";"http://www.matthewscountryday.com/images/385_work_025.jpg";;
973656;"MT MORIAH CHILD DEVELOPMENT CENTER, INC";"381 CRESTDALE ROAD";"MATTHEWS";"NC";28106;"MECKLENBURG";"(704) 846-8281";;;;;;;;;;;;;;;;;;;;;"Y";
235080;"THE GODDARD SCHOOL";"9631 NORTHEAST PARKWAY";"MATTHEWS";"NC";28105;"MECKLENBURG";"(704)321-1310";"http://www.goddardschool.com/charlotte/matthews-northeast-parkway-nc";"AskGoddardSchool@goddardsystems.com";"The Goddard School located in Matthews offers a 5 STAR accredited program for children six weeks to six years.  Conveniently located behind Kohls, off Independence Boulevard, we provide a quality learning experience in a warm, nurturing environment.  We are proud to be providing the highest quality preschool experience for the children in our community for over a decade.  Call us today to schedule a personal tour, or click here to see our upcoming events.  We look forward to welcoming you to our Goddard family!";"http://www.goddardschool.com/charlotte/matthews-northeast-parkway-nc";"https://www.facebook.com/goddardschool";;"http://www.goddardschool.com/charlotte/matthews-northeast-parkway-nc/careers";;;"y";"y";"y";"y";"n";"n";"http://www.goddardschool.com/Image%20Library/Home/Footer/goddard-logo-and-tagline.png?code=19ec646a-69d2-4418-8cdc-9fe7454ea3cd";"https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xpf1/t1.0-9/p720x720/10245549_10152043597486829_6428754398358926198_n.jpg";"https://scontent-a-lax.xx.fbcdn.net/hphotos-xpa1/t1.0-9/p720x720/10269372_10152009345586829_2028298254530791644_n.jpg";"https://scontent-b-lax.xx.fbcdn.net/hphotos-xfp1/t1.0-9/p720x720/10363563_10152009345411829_3421349123815763358_n.jpg";"https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xfa1/t1.0-9/p720x720/10294285_10152009345486829_2921816240051076520_n.jpg";;
