"Program Type";"Number";"Program Name";"Address";"City";"State";"Zip";"Program Status";"Administrator(s)";"County";"License Begin Date";"License Expiration Date";"SUTQ Rating";"Phone";"Type";"Accreditations";"Meals";"Before School Care";"Evening Care";"Special Needs";"Transportation";"After School Care";"Overnight Care";"Field Trips";"Early Childhood Education Grant";"Head Start";"Private Kindergarten";"Publicly Funded Child Care";"Liability Insurance";"Monday";"Tuesday";"Wednesday";"Thursday";"Friday";"Saturday";"Sunday"
"Licensed Type B Family Child Care Home";2170016112;"CRYSTAL'S CHILDCARE";"612 E. 7TH ST.";"MANCHESTER";"OH";45144;"CONTINUOUS LICENSE";;"ADAMS";"August 22, 2018";"Continuous";;"937-732-8305";"B";;"+";"+";"+";;"+";"+";"+";;;;;"+";"+";"06:00 AM to 06:00 AM";"06:00 AM to 06:00 AM";"06:00 AM to 06:00 AM";"06:00 AM to 06:00 AM";"06:00 AM to 06:00 AM";"06:00 AM to 06:00 AM";"06:00 AM to 06:00 AM"
"Licensed Child Care Center";2220025840;"FIRST STEPS DAYCARE, LLC";"100 GROVE STREET";"PEEBLES";"OH";45660;"PROVISIONAL LICENSE";"Christina Mulford";"ADAMS";"June 9, 2022";"June 8, 2023";;"513-476-5157";"C";;;"+";;;;"+";;;;;;"+";;"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed School Age Childcare (SACC)";1200023014;"MANCHESTER ELEMENTARY SCHOOL";"130 WAYNE FRYE DR";"MANCHESTER";"OH";45144;"CONTINUOUS LICENSE";;"ADAMS";"October 26, 2020";"Continuous";;;"S";;"+";;;;"+";"+";;"+";;;;;;"02:30 PM to 05:30 PM";"02:30 PM to 05:30 PM";"02:30 PM to 05:30 PM";"02:30 PM to 05:30 PM";"CLOSED";"CLOSED";"CLOSED"
"Licensed Child Care Center";2180018238;"MANCHESTER HEAD START";"130 WAYNE FRYE DR.";"MANCHESTER";"OH";45144;"CONTINUOUS LICENSE";"Betty Cole";"ADAMS";"October 23, 2018";"Continuous";4;"937-378-6041";"C";;"+";;;;"+";;;"+";;"+";;;;"CLOSED";"08:00 AM to 02:00 PM";"08:00 AM to 02:00 PM";"08:00 AM to 02:00 PM";"08:00 AM to 02:00 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000020438;"MANCHESTER SCHOOL";"130 WAYNE FRYE DR";"MANCHESTER";"OH";45144;"CONTINUOUS LICENSE";;"ADAMS";"November 7, 2014";"Continuous";4;"740-354-7761";"P";;"+";;;;"+";;;"+";"+";;;;;"08:00 AM to 02:30 PM";"08:00 AM to 02:30 PM";"08:00 AM to 02:30 PM";"08:00 AM to 02:30 PM";"CLOSED";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000018579;"NORTH ADAMS ELEMENTARY SCHOOL";"2295 MOORES RD";"SEAMAN";"OH";45679;"CONTINUOUS LICENSE";;"ADAMS";"September 24, 2011";"Continuous";4;"937-386-2516";"P";;"+";;;;"+";;;"+";"+";;;;;"08:15 AM to 03:15 PM";"08:15 AM to 03:15 PM";"08:15 AM to 03:15 PM";"08:15 AM to 03:15 PM";"CLOSED";"CLOSED";"CLOSED"
"Licensed Child Care Center";2220026221;"PEEBLES CHRISTIAN PRESCHOOL";"6050 STEAM FURNACE ROAD";"PEEBLES";"OH";45660;"PROVISIONAL LICENSE";"Ashley Bohl";"ADAMS";"August 17, 2022";"August 16, 2023";;"937-587-2692";"C";;;;;;;;;"+";;;;;;"09:00 AM to 03:00 PM";"CLOSED";"09:00 AM to 03:00 PM";"CLOSED";"09:00 AM to 03:00 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000018577;"PEEBLES ELEMENTARY SCHOOL";"700 INDIAN DR";"PEEBLES";"OH";45660;"CONTINUOUS LICENSE";;"ADAMS";"September 24, 2011";"Continuous";4;"937-587-2611";"P";;"+";;;;"+";;;"+";"+";;;;;"08:15 AM to 03:15 PM";"08:15 AM to 03:15 PM";"08:15 AM to 03:15 PM";"08:15 AM to 03:15 PM";"CLOSED";"CLOSED";"CLOSED"
"Licensed Child Care Center";206051;"PEEBLES HEAD START CENTER";"16 VIRGINIA STREET";"PEEBLES";"OH";45660;"CONTINUOUS LICENSE";"LELY PALMER";"ADAMS";"October 19, 2003";"Continuous";1;"937-378-6041";"C";;"+";;;;"+";;;;;"+";;;;"CLOSED";"08:00 AM to 02:00 PM";"08:00 AM to 02:00 PM";"08:00 AM to 02:00 PM";"08:00 AM to 02:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";206069;"TIFFIN EARLY CHILDHOOD CENTER";"11827 STATE ROUTE 125";"WEST UNION";"OH";45693;"CONTINUOUS LICENSE";"Odessa Reed";"ADAMS";"September 26, 2004";"Continuous";3;"937-378-6041";"C";;;;;;;;;;;;;;;"CLOSED";"08:00 AM to 02:00 PM";"08:00 AM to 02:00 PM";"08:00 AM to 02:00 PM";"08:00 AM to 02:00 PM";"CLOSED";"CLOSED"
