"id";"name";"address";"city";"state";"zip";"county";"phone";"main website";"email";"details";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4";"bad url?";
1102209;"Early Achievers Enrichment Center";"24951 N. Lakeland Blvd.";"Euclid";"OH";44132;"CUYAHOGA";"216-289-4769";"http://earlyachieversenrichmentcenter.blogspot.com/p/contact-us.html";" earlyachievers421@gmail.com ";"As childcare providers, we understand how it feels to be on the hunt for the right atmosphere to care for your child/children, and want to help you maneuver through this transition and keep your transition as stress-free as possible in the process.

Our goal is to serve you with integrity and compassion, and provide service as friendly, helpful, and caring as you receive at grandma’s house.

Please explore the rest of the website for specifics, be they services, testimonials, pricing, or just some free and helpful educational information.

And of course, if you think that we might be an ideal candidate for your childcare needs, please contact us so we can help you with nurturing, teaching and caring for your little one. ";"http://earlyachieversenrichmentcenter.blogspot.com/p/contact-us.html";;" Mon - Fri: 6:00 am - 6:00 pm ";;;;"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";;;;;;;
1081386;"Hannah's Child Development Center";"4303 Cleveland Ave.";"Columbus";"OH";43224;"FRANKLIN";"614-418-9611";;;;;;;;;;;;;;;;;;;;;"Y";
1108701;"CDCFC OHIO AVENUE HEAD START";"505 S. OHIO AVENUE";"COLUMBUS";"OH";43205;"FRANKLIN";"614.221.1709";"http://www.cdcheadstart.org/";"sgordon@cdcheadstart.org";"Child Development Council of Franklin County, Inc. (CDCFC) is a nonprofit organization funded by the U.S. Office of Head Start. Since 1985, CDCFC has provided comprehensive early education and development services to income-eligible Head Start preschool children, ages 3-5, and their families. An Early Head Start program was added in spring 2007, to serve pregnant women and children ages 0-3.

We prepare children for success in kindergarten and beyond, and provide families with tools for overall success. Our programs are FREE for those who qualify under federal poverty guidelines; for others, Child Care Subsidy (formerly Title XX) or private pay options are also available. Currently, CDCFC provides services to more than 2,500 low-income children and their families at over 60 locations throughout Franklin County. Over the  years, we have enriched the lives of countless children and families.";"http://www.cdcheadstart.org/";;;"http://www.cdcheadstart.org.php5-3.dfw1-2.websitetestlink.com/page-4/work-here/";"https://www.cdc-referral.org/";;"y";"y";"y";"y";"n";"n";"http://www.cdcheadstart.org/wp-content/themes/nyap/images/header.jpg";"http://www.cdcheadstart.org.php5-3.dfw1-2.websitetestlink.com/wp-content/uploads/2009/09/aboutus.jpg";"http://www.cdcheadstart.org.php5-3.dfw1-2.websitetestlink.com/wp-content/uploads/2009/10/whatwedo.jpg";"http://www.cdcheadstart.org.php5-3.dfw1-2.websitetestlink.com/wp-content/uploads/2009/10/children.jpg";"http://www.cdcheadstart.org.php5-3.dfw1-2.websitetestlink.com/wp-content/uploads/2009/10/Leadershipteam.jpg";;
1108700;"CDCFC LEAWOOD HEAD START";"1677 S. HAMILTON ROAD";"COLUMBUS";"OH";43227;"FRANKLIN";"614.221.1709";"http://www.cdcheadstart.org/";"sgordon@cdcheadstart.org";"Child Development Council of Franklin County, Inc. (CDCFC) is a nonprofit organization funded by the U.S. Office of Head Start. Since 1985, CDCFC has provided comprehensive early education and development services to income-eligible Head Start preschool children, ages 3-5, and their families. An Early Head Start program was added in spring 2007, to serve pregnant women and children ages 0-3.

We prepare children for success in kindergarten and beyond, and provide families with tools for overall success. Our programs are FREE for those who qualify under federal poverty guidelines; for others, Child Care Subsidy (formerly Title XX) or private pay options are also available. Currently, CDCFC provides services to more than 2,500 low-income children and their families at over 60 locations throughout Franklin County. Over the  years, we have enriched the lives of countless children and families.";"http://www.cdcheadstart.org/";;;"http://www.cdcheadstart.org.php5-3.dfw1-2.websitetestlink.com/page-4/work-here/";"https://www.cdc-referral.org/";;"y";"y";"y";"y";"n";"n";"http://www.cdcheadstart.org/wp-content/themes/nyap/images/header.jpg";"http://www.cdcheadstart.org.php5-3.dfw1-2.websitetestlink.com/wp-content/uploads/2009/09/aboutus.jpg";"http://www.cdcheadstart.org.php5-3.dfw1-2.websitetestlink.com/wp-content/uploads/2009/10/whatwedo.jpg";"http://www.cdcheadstart.org.php5-3.dfw1-2.websitetestlink.com/wp-content/uploads/2009/10/children.jpg";"http://www.cdcheadstart.org.php5-3.dfw1-2.websitetestlink.com/wp-content/uploads/2009/10/Leadershipteam.jpg";;
1108699;"CDCFC CRUPPER RD. HEAD START";"969-999 CRUPPER ROAD";"COLUMBUS";"OH";43229;"FRANKLIN";"614.221.1709";"http://www.cdcheadstart.org/";"sgordon@cdcheadstart.org";"Child Development Council of Franklin County, Inc. (CDCFC) is a nonprofit organization funded by the U.S. Office of Head Start. Since 1985, CDCFC has provided comprehensive early education and development services to income-eligible Head Start preschool children, ages 3-5, and their families. An Early Head Start program was added in spring 2007, to serve pregnant women and children ages 0-3.

We prepare children for success in kindergarten and beyond, and provide families with tools for overall success. Our programs are FREE for those who qualify under federal poverty guidelines; for others, Child Care Subsidy (formerly Title XX) or private pay options are also available. Currently, CDCFC provides services to more than 2,500 low-income children and their families at over 60 locations throughout Franklin County. Over the  years, we have enriched the lives of countless children and families.";"http://www.cdcheadstart.org/";;;"http://www.cdcheadstart.org.php5-3.dfw1-2.websitetestlink.com/page-4/work-here/";"https://www.cdc-referral.org/";;"y";"y";"y";"y";"n";"n";"http://www.cdcheadstart.org/wp-content/themes/nyap/images/header.jpg";"http://www.cdcheadstart.org.php5-3.dfw1-2.websitetestlink.com/wp-content/uploads/2009/09/aboutus.jpg";"http://www.cdcheadstart.org.php5-3.dfw1-2.websitetestlink.com/wp-content/uploads/2009/10/whatwedo.jpg";"http://www.cdcheadstart.org.php5-3.dfw1-2.websitetestlink.com/wp-content/uploads/2009/10/children.jpg";"http://www.cdcheadstart.org.php5-3.dfw1-2.websitetestlink.com/wp-content/uploads/2009/10/Leadershipteam.jpg";;
1108656;"BRIGHTSIDE ACADEMY";"545 WOODVILLE RD";"TOLEDO";"OH";43605;"LUCAS";"419-698-8556";"http://www.brightsideacademy.com/our-locations/";"childcare@brightsideacademy.com ";"Brightside Academy is a leader in early education and child care. With 20 years of experience, we operate in multiple cities in Pennsylvania, Ohio and New York. Equal Opportunity Care Provider. OUR PURPOSE: To provide all families access to an excellent early educational experience that prepares their children to be life-long learners in an ever changing world.";"http://www.brightsideacademy.com/our-locations/";"https://www.facebook.com/brightsideacademy";"6:00 a.m. - 6:30 p.m.";"http://brightsideacademy.hodesiq.com/";"http://www.brightsideacademy.com/online/";;"n";"n";"y";"y";"y";"y";;"http://www.brightsideacademy.com/wp-content/uploads/2013/06/slide-home-2.jpg";"http://www.brightsideacademy.com/wp-content/uploads/2013/06/slide-home-3.jpg";"http://www.brightsideacademy.com/wp-content/uploads/2013/07/career-photo-02.jpg";"http://www.brightsideacademy.com/wp-content/uploads/2013/04/im1.jpg";;
1108655;"BRIGHTSIDE ACADEMY";"2300 LaGrange Street";"TOLEDO";"OH";43608;"LUCAS";"419-243-3046";"http://www.brightsideacademy.com/our-locations/";"childcare@brightsideacademy.com ";"Brightside Academy is a leader in early education and child care. With 20 years of experience, we operate in multiple cities in Pennsylvania, Ohio and New York. Equal Opportunity Care Provider. OUR PURPOSE: To provide all families access to an excellent early educational experience that prepares their children to be life-long learners in an ever changing world.";"http://www.brightsideacademy.com/our-locations/";"https://www.facebook.com/brightsideacademy";"6:00 a.m. - 6:30 p.m.";"http://brightsideacademy.hodesiq.com/";"http://www.brightsideacademy.com/online/";;"n";"n";"y";"y";"y";"y";;"http://www.brightsideacademy.com/wp-content/uploads/2013/06/slide-home-2.jpg";"http://www.brightsideacademy.com/wp-content/uploads/2013/06/slide-home-3.jpg";"http://www.brightsideacademy.com/wp-content/uploads/2013/07/career-photo-02.jpg";"http://www.brightsideacademy.com/wp-content/uploads/2013/04/im1.jpg";;
1108654;"BRIGHT STAR CHILD CARE CENTER";"939 ELM ST";"YOUNGSTOWN";"OH";44505;"MAHONING";"330-746-5090";;;;;;;;;;;;;;;;;;;;;"Y";
1108707;"CDI HEAD START SERVING MAHONING CO.,OH-OCCHA";"3660 SHIRLEY ROAD";"YOUNGSTOWN";"OH";44502;"MAHONING";"330-476-5829";"http://www.my-cap.org/locations";"mycapyoungstown@gmail.com";"The Mahoning Youngstown Community Action Partnership (MYCAP) was founded in 1965. We are a non-profit Community Action Agency dedicated to helping families move from poverty and crisis to family stability and self-sufficiency.

Community Action Agencies were formed by President Lyndon B. Johnson’s 1964 vision for a Great Society. There are 1,100 Community Action Agencies across the country and 50 in the State of Ohio. MYCAP is part of the National Community Action Partnership designated to serve residents in Mahoning County, which encompasses the City of Youngstown, suburban communities and the rural villages in the western part of the county.

Today, MYCAP provides critical programs and services. Some of these are Energy Assistance Programs, which include home weatherization and utility payment assistance for eligible income homeowners; education and classroom instruction for individuals to increase the chances that they will secure employment; nutrition services for vulnerable mothers and young children; pre-school classes for young children so they are prepared and successful when they enter kindergarten; transportation for seniors and those with a disability in Western Mahoning County who need a ride to health providers, grocery stores and other locations; and much more.

We serve individuals and families who meet the federal poverty income guidelines. There are specific income guidelines for every program or service we provide. If you qualify, please get in touch with us because we would love to help you.

We have a federally mandated tripartite board composed of elected officials, private sector representatives and low-income representatives committed to:

    Empowering low-income individuals and families in their effort to become self-sufficient.
    Advocating for a poverty-free community.
    Stimulating expansion of economic opportunity for the poor and the community through economic development programs and services.

MYCAP is Helping People, Changing Lives.";"http://www.my-cap.org/locations";"https://www.facebook.com/pages/MYCAP-Mahoning-Youngstown-Community-Action-Partnership/253808185491";;"http://www.my-cap.org/about/employment";;;"n";"n";"y";"y";"n";"n";"http://www.my-cap.org/wp-content/themes/mycap/images/mycaplogo.png";;;;;;
1108561;"A PLACE TO GROW";"6543 COMMERCE PARKWAY SUITE J";"DUBLIN";"OH";43017;"FRANKLIN";"614-793-1441";;;;;;;;;;;;;;;;;;;;;"Y";
