"Provider Id";"Complaint Received";"Requirement";"Description";"Allegation Description";"Plan to Correct";"Allegation Findings"
"K830003276";"6/16/2021";"340:110-3-281.4(b)(2)";"Infant and 1-year-old daily record. Daily records for 1-year-olds and younger are available in the child's classroom and include prompt documentation of eating, diapering, and sleeping activities.";"Child Records-Daily records-documentation is not personalized";"We will ensure teachers complete an individual daily sheet for children with food and drink allergies. I will check daily sheets randomly to ensure teachers are following this guideline. 8/1/2021";"Substantiated"
"K830054601";"6/5/2019";"340:110-3-288(c)(1)(F)";"restraining a child by any means other than holding and then for only as long as necessary for the child to regain self-control.";"1.Discipline;Serious; Inappropriate discipline. Staff restrained child forcing them to eat.";"Notice to Comply; I conducted a staff meeting on 6/5 and address appropriate discipline techniques. I will monitor classrooms to ensure proper discipline techniques are being followed. Staff involved was terminated immediately.";"Substantiated"
"K830054601";"6/5/2019";"340:110-3-298(e)(1)(B)";"not forced to eat; and";"2. Nutrition: Eating environment;Staff forced child to eat";"2.Notice to Comply; I have addressed with staff to never force children to eat. I will continue to monitor classrooms and mentor teachers on when a child does not eat what we can do. At next staff meeting we will have our Nutrition coordinator come in and discuss appropriate techniques during meal times.";"Substantiated"
"K830054601";"6/5/2019";"340:110-3-284(c)(2)(C)";"demonstrate good judgment as evidenced by prudent and responsible behavior that reasonably ensures the health and safety of children;";"3. General qualifications, responsibilities, and professional development: Responsibilities; Staff did not demonstrate good judgment and report staff restraining child and forced to eat.";"Notice to Comply; At staff meeting, reporting inappropriate discipline was discussed and severity of reporting immediately.";"Substantiated"
"K830002280";"5/2/2019";"340:110-3-288(c)(1)(A)";"actions that could cause pain, such as shaking, striking, spanking, swatting, thumping, pinching, popping, shoving, spatting, hair pulling, yanking, and slamming;";"Discipline: Serious-Teacher used inappropriate physical discipline.";"Monitoring teacher staff more closely by watching the monitors as well as making more frequent stops into the classrooms. Going over more of the DHS regulations during the monthly staff meetings as well as reminding teachers how to redirect the children. If another incident occurs disciplinary action will be taken immediately. Staff member was terminated immediately.";"Substantiated"
"K830002280";"5/2/2019";"340:110-3-288(c)(2)(C)";"yelling at a child out of anger or using harsh or profane language;";"Discipline: Teacher speaking loud and angry towards children.";"Monitoring more closing by watching the monitors as well as making more frequent visits to observe. If another incident occurs disciplinary action will be taken immediately.";"Substantiated"
"K830002280";"5/2/2019";"340:110-3-284(c)(2)(E)";"work with children without physical, psychological, or emotional punishment, mistreatment, or abuse.";"General qualifications, responsibilities, and professional development: Teacher laughed at children after sitting on them and repeatedly used inappropriate physical and emotional punishment towards children.";"Observe the classrooms more closely as well as go over more rules and regulations at the monthly staff meetings, discussing the regulations on punishments and how to redirect children. If another incident occurs disciplinary action will be taken immediately and DHS will be contacted. Staff member was terminated immediately.";"Substantiated"
"K830054469";"7/12/2021";"340:110-3-284(c)(2)(C)";"demonstrate good judgment as evidenced by prudent and responsible behavior that reasonably ensures the health and safety of children;";"Staff had verbal altercations with other staff in front of children";;"Substantiated"
"K830054469";"7/12/2021";"340:110-3-400(o)(3)(B)(iii)";"yelling at a child or youth out of anger or using harsh or profane language;";"Staff was yelling at children";;"Substantiated"
"K830003805";"8/28/2019";"340:110-3-297(a)(1)(A)";"checked hourly and when a child exhibits behavior that suggests a wet or soiled diaper; and";"Diapering & Toileting: Child went through entire day without having pull-up changed.";"Notice to comply is due to be returned to Child Care Services by 11/1/2019";"Substantiated"
"K830003805";"8/28/2019";"340:110-3-284.1(b)(2)(B)(viii)";"overseeing parent communication and family engagement;";"Parent and staff communication: The incorrect information was reported to parent about child's daily happenings.";"Notice to comply is due to be returned to Child Care Services by 11/1/2019";"Substantiated"
"K830023878";"10/21/2019";"340:110-3-287(a)";"Supervision. Supervision means the function of observing, overseeing, and guiding a child or group of children, including an awareness of, and responsibility for the ongoing activity of each child, and being near enough to intervene when needed. The program is required to maintain supervision at all times.";"Supervision: Lack of supervision led to inappropriate play.";"Follow up with supervision training for teacher and teaching children about appropriate play, will plan outside time with activities.";"Substantiated"
"K830022815";"1/29/2019";"340:110-3-280(a)(1)(K)";"an incident that exposes children to an imminent risk of harm, such as a child leaving the facility without program knowledge or being left alone on- or off-site or in a vehicle;";"Additional Non-compliance found during the course of the investigation. Reporting: Licensing was not contacted by the next business day regarding an incident in which a seven year old child was left alone in a vehicle which exposed the child to an imminent risk of harm.";"It is Kids' Ranch policy to notify licensing of all incidents involving potential danger. Admin & staff to discuss what each person should do. A thorough refresher at staff meeting.";"Substantiated"
"K830022815";"1/29/2019";"340:110-3-287(h)(1)";"Children are never left unattended in vehicles.";"Supervision - Transportation: Seven year old child was left unattended in child care bus after arrival at the day care center";"Rider on bus to do walk thru consistently to assure all children exit when bus arrives at center.";"Substantiated"
"K830022815";"1/29/2019";"340:110-3-289(c)";"Transition times. Teaching personnel have short-term activities, such as songs, stories, and exercises to reduce waiting periods while children finish an activity or routine and start another.";"Transition: Child was left on the day care center bus after arriving at the child care center . Personnel did not follow transition procedures after bus arrived at the day care center.";"We will continue roll check upon pick-ups from schools but we have added a step to deliver daily pick-up records to individual classrooms to assure teachers receive their children from bus runs. Also, rider on bus will do a thorough walk thru to assure all children exit the bus before it is parked.";"Substantiated"
"K830023864";"3/18/2021";"340:110-3-284(c)(2)(C)";"demonstrate good judgment as evidenced by prudent and responsible behavior that reasonably ensures the health and safety of children;";"Additional non-compliance during the course of investigation: Staff member did not demonstrate good judgment as evidenced by prudent and responsible behavior that reasonably ensures health and safety of children.";"Per director: She is no longer in a room by herself. For 2 months, she will be working with other teacher. We will monitor her behavior with the children.";"Substantiated"
"K830024623";"4/28/2021";"340:110-3-297(a)(1)";"Frequency. Diapers are:";"Diaper Changing - Frequency - Allegation that child is not changed when needed.";"Received completed Notice to Comply on 5/28/2021 and was signed by Dominique Lewis. Employees of center will review diaper changing procedures per DHS manual and WCCCF processes of diaper changing. Any obstacles will result in corrective action from supervisor. Completed by 6/2/2021";"Substantiated"
