"id";"name";"address";"city";"state";"zip";"county";"phone";"main website";"email";"details";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4";"bad url?";
1073171;"East Baton Rouge Parish Juvenile Detention Center";"8333 Veterans Memorial Blvd";"Baton Rouge";"LA";70807;"EAST BATON ROUGE";"(225) 356-4471";"http://brgov.com/dept/juvenile/";"js@brgov.com";"It is the Department’s vision to take the leadership role in providing services that protect the community from delinquency, to impose accountability for offenses committed, and to equip juveniles and their families with the required competencies to lead productive lives. The mission of the Department of Juvenile Services is to provide services in the areas of diversion, family services, and public safety. The Department engages in agency programming, education, and community partnerships for the prevention of juvenile delinquency. ";"http://brgov.com/dept/juvenile/";;"8:00 a.m. - 5:00 p.m. M-F";;;;"not mentioned";"not mentioned";"not mentioned";"not mentioned";"not mentioned";"not mentioned";"http://brgov.com/dept/juvenile/Images/hdjuvenile.jpg";;;;;;
1033571;"Delaware Academy and Preschool";"3411 Delaware Avenue";"Kenner";"LA";70065;"JEFFERSON";"504-469-2418";;;;;;;;;;;;;;;;;;;;;"Y";
1033561;"CDI Head Start West Monroe";"508 Austin Street";"West Monroe";"LA";71292;"OUACHITA";"318-322-1616";;;;;;;;;;;;;;;;;;;;;"Y";
1033565;"Crayon Campus of Central LLC";"9715 Lawndale Drive";"Baton Rouge";"LA";70818;"EAST BATON ROUGE";"225-261-8982";"http://crayoncampuschildcarecentral.com/About-Us.html";"crayoncampusofcentral@yahoo.com";"We are dedicated to providing a safe, fun, and exciting place for your child to grow and learn and for you as a parent to have peace of mind when leaving your child in our care.

Our philosophy at Crayon Campus begins with the belief that your Child is our future.  We believe that self-esteem is the critical component to optimal growth in young children.  In order for a Child to develop high self-esteem, we focus on developing the socialization and self-help skills needed to succeed in other areas of development.  Children at Crayon Campus are given the opportunity to explore, experiment, and create in a safe and nurturing environment.

We believe that a Child's game or toy is his or her learning tools.  At Crayon Campus, your Child will be exposed to a clean, friendly environment for learning with a multitude of games and toys as well as access to other activities including:
Outdoor Playtime
Story Time
Art Activities

All Children enrolled in this facility are treated with love and respect and provided with the opportunity to engage in a wide variety of activities.";"http://crayoncampuschildcarecentral.com/About-Us.html";;"6:30 am - 6:00 pm Monday - Friday";"http://crayoncampuschildcarecentral.com/Employment.html";"http://crayoncampuschildcarecentral.com/images/RegistrationForm.pdf";;"n";"y";"y";"y";"y";"y";"http://crayoncampuschildcarecentral.com/images/CC2Logo750x200PS.jpg";;;;;;
1033560;"CDI Head Start ULM";"907 Filhiol Avenue";"Monroe";"LA";71201;"OUACHITA";"318-322-2272";;;;;;;;;;;;;;;;;;;;;"Y";
1033559;"CDI Head Start Beverly Center";"811 Beverly Street";"Monroe";"LA";71201;"OUACHITA";"318-322-6064";;;;;;;;;;;;;;;;;;;;;"Y";
973982;"Loving Angels Daycare";"706 W. 14th Avenue";"Covington";"LA";70420;"SAINT TAMMANY";"985-892-9909";"https://www.facebook.com/pages/Loving-Angels-Daycare/332126956813029?sk=info&tab=page_info";"LovingAngelsDaycare@gmail.com";"Providing a caring, loving, and educational atmosphere for children 6 weeks to 5 years old. State certified teachers, owner/director always at center, home cooked nutritous meals and snacks, fun daily activities, spanish lessons, and a place for children and parents to feel at home.";"https://www.facebook.com/pages/Loving-Angels-Daycare/332126956813029?sk=info&tab=page_info";"https://www.facebook.com/pages/Loving-Angels-Daycare/332126956813029?sk=info&tab=page_info";;;;;"y";"y";"y";"y";"n";"n";"https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/s720x720/375213_332127650146293_755470993_n.jpg?oh=b7ccda870412ba6846148569dbba1b16&oe=55C92D68&__gda__=1440662839_12a1dc42847684f82924afd99e5acc98";;;;;;
1073166;"Community Empowerment Services, LLC";"11726 Bricksome Avenue";"Baton Rouge";"LA";70816;"EAST BATON ROUGE";"225-292-5151";"http://www.commempsvc.com/#!contact/c24vq";"info@commempsvc.com";"Community Empowerment Services, LLC is a agency that provides mental health and foster care services to the individuals in Louisiana. ";"http://www.commempsvc.com/#!contact/c24vq";"https://www.facebook.com/pages/Community-Empowerment-Services-LLC/196880680507403";;;;;"not mentioned";"not mentioned";"not mentioned";"not mentioned";"not mentioned";"not mentioned";"https://scontent-lax.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/s720x720/1422428_199726276889510_912953071_n.png?oh=4d18b99e8a1160516141e64a564dba68&oe=560B095D";;;;;;
1073163;"Church of Jesus Christ Daycare";"61133 N. Laiche Road";"Amite";"LA";70422;"TANGIPAHOA";"985-747-0391";;;;;;;;;;;;;;;;;;;;;"Y";
1073152;"Bridge City Academy";"1614 Bridge City Avenue";"Bridge City";"LA";70094;"Jefferson";"504-436-8656";;;;;;;;;;;;;;;;;;;;;"Y";
1073154;"Bright Beginnings Learning Academy";"268 Harrington Street";"Bastrop";"LA";71220;"MOREHOUSE";"318-281-2010";"https://www.facebook.com/BrightBeginningsLearningAcademy/info?tab=page_info";"1brightbeginnings@att.net";"We believe that children learn about the world around them by exploring and experimenting. We seek to provide each child with an environment and learning experience that meets the needs, characteristics, and learning patterns of young children. We believe that children learn by playing. ";"https://www.facebook.com/BrightBeginningsLearningAcademy/info?tab=page_info";"https://www.facebook.com/BrightBeginningsLearningAcademy/info?tab=page_info";"Mon - Fri: 
6:30 am - 6:00 pm";;;;"y";"y";"y";"y";"n";"n";"https://scontent-lax.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/1653589_712645495446847_539092972_n.jpg?oh=d5cca91fb6aae2414061aa9800d82888&oe=55D32A63";;;;;;
