ID;Title;Notice;Type;License_ID;Contact_Name;Street_Address;City;State;Zip;Lat;Lon;Phone;Url;Ages_Served;Monday_Hours;Tuesday_Hours;Wednesday_Hours;Thursday_Hours;Friday_Hours;Saturday_Hours;Sunday_Hours;Regulation;Total_Capacity;Licensed_Capacity;In_Operation;Total_Openings;Openings_As_Of;Staff_Languages_Offered;Environment;Meals;Program_Elements/Offerings;Provider_Primary_Language;Policies;Schedule;Year_Schedule;Extended_Hour_Care;Behavior_Related;Special_Needs;Special_Skills;Transportation;DHS_Subsidy;Spark_Rating
1526295;Eastern Oregon University Head Start - Baker Cente;Accepting Children During COV19 Reopen;License Center;CC502901;;1927 16th Street;Baker City;OR;97814;44.7769633;-117.8490582;(541) 523-1503;http://www.eou.edu/head-start;3 Years 0 Months - 4 Years 12 Months;8:00am - 4:00pm;8:00am - 4:00pm;8:00am - 4:00pm;8:00am - 4:00pm;;;;Licensed Child Care Center;40;40;19 Years and 3 Months;0;6/8/2020;Spanish;No Dogs, Covered Outdoor Play, No Pets At All, Outdoor Play Structure, No Cats, Completely Fenced Yard, Outdoor Play Area;USDA Food Program, Special Meal Requests Accommodated, Provides Breakfast, Snacks Provided, Provides Lunch;Field Trips, Scheduled Activities, Organized Outdoor Activities, Preschool Curriculum;;Have Backup (substitute), Have References, Liability Insurance, Written Policies;Temp/Emergency, Part-time;School Year Only;;Autism, ADD/ADHD, Challenging Behavior Supervision/Supports;Diapering/Toileting Assistance, Wheelchair Access, Vision Impaired, Diabetes, Communication Supports, Mobility Assistance, Accessible Bathroom, Asthma, Hearing Impaired, Socialization Supports, Medication Monitoring, Specialized Equipment;Inclusion training, Domestic violence/abuse training, Behavioral issues training, Medical support training, Diversity training;;;5 Star Program
1526996;Grandma's Gang Childcare;Accepting Children During COV19 Reopen;Licensed Home;RF002862;Linda;;Baker City;OR;97814;;;(541) 519-0211;;3 Years 0 Months - 11 Years 12 Months;6:00am - 6:00pm;6:00am - 6:00pm;6:00am - 6:00pm;6:00am - 6:00pm;6:00am - 6:00pm;;;Registered Family Child Care;10;10;26 Years and 0 Months;2;10/19/2020;;Covered Outdoor Play, Outdoor Play Structure, No Cats, Completely Fenced Yard, Outdoor Play Area;USDA Food Program, Provides Dinner, Special Meal Requests Accommodated, Provides Breakfast, Snacks Provided, Breastfeeding Supported, Provides Lunch;Scheduled Activities, Organized Outdoor Activities, Preschool Curriculum, Homework Assistance;;Have Backup (substitute), Charges a Late Fee, Have References, Written Contract, Must Be Potty Trained, Liability Insurance, Pay When Child Is In Care Or Not, Written Policies;Full-time, Temp/Emergency, Before School, Open Holidays, After School;Full Year;Occasional overnight, Occasional early morning, Occasional evening, Occasional weekend, Flexible am, Flexible pm;ADD/ADHD, Challenging Behavior Supervision/Supports;Vision Impaired, Mobility Assistance, Asthma, Hearing Impaired, Socialization Supports, Medication Monitoring;Inclusion training, Domestic violence/abuse training, Behavioral issues training, Medical support training, Diversity training;Near public transportation, Near school bus;Willing to accept DHS, DHS listed;3 Star Program
1526810;Masterminds Preschool;Accepting Children During COV19 Reopen;Licensed Home;RF524064;Ronda;;Baker City;OR;97814;;;(541) 519-9951;;3 Years 0 Months - 4 Years 12 Months;8:00am - 5:00pm;8:00am - 5:00pm;8:00am - 5:00pm;8:00am - 5:00pm;8:00am - 5:00pm;;;Registered Family Child Care;10;10;8 Years and 3 Months;4;10/2/2020;;Pets Separate From Children, Outdoor Play Structure, No Cats, Completely Fenced Yard, Outdoor Play Area;USDA Food Program, Snacks Provided, Provides Lunch;Additional Lessons, Field Trips, Scheduled Activities, Organized Outdoor Activities, Preschool Curriculum;;Have Backup (substitute), Have References, Written Contract, Must Be Potty Trained, Written Policies;Temp/Emergency, Part-time;School Year Only;;Challenging Behavior Supervision/Supports;Communication Supports, Socialization Supports, Medication Monitoring;;Near public transportation, Transports to/from Sports/Activities;NOT willing to accept DHS;C2Q
1526290;Melody's Playce;Accepting Children During COV19 Reopen;Licensed Home;CF000164;Melody;;Baker City;OR;97814;;;(541) 523-6721;;0 Years 3 Months - 11 Years 12 Months;;;;;;;;Certified Family Child Care;12;12;22 Years and 11 Months;1;12/4/2020;;Outdoor Play Structure, Completely Fenced Yard, Outdoor Play Area;USDA Food Program, Provides Breakfast, Snacks Provided, Provides Lunch;Scheduled Activities, Preschool Curriculum;;Have Backup (substitute), Have References, Written Contract, Liability Insurance, Pay When Child Is In Care Or Not, Needs Payment In Advance, Written Policies;Full-time, Temp/Emergency, Before School, After School;Full Year;;;;Inclusion training, Behavioral issues training, Diversity training;Near school bus;NOT willing to accept DHS;C2Q
1529434;Kristy;Accepting Children During COV19 Reopen;Licensed Home;RF534258;Kristy;;Baker City;OR;97814;;;(541) 519-5976;;0 Years 6 Months - 11 Years 12 Months;7:30am - 4:30pm;7:30am - 4:30pm;7:30am - 4:30pm;7:30am - 4:30pm;7:30am - 4:30pm;;;Registered Family Child Care;10;10;2 Years and 4 Months;0;7/30/2020;;Outdoor Play Structure, No Cats, Completely Fenced Yard, Outdoor Play Area;USDA Food Program, Provides Dinner, Provides Breakfast, Snacks Provided, Breastfeeding Supported, Provides Lunch;Scheduled Activities, Homework Assistance;;Have Backup (substitute), Written Contract;Full-time, Temp/Emergency, Part-time, Drop-in, Before School, Rotating, Open Holidays, After School;Full Year;Evening (after 6:30 pm), Weekend (regular care on Saturday and/or Sunday), Occasional evening, Occasional weekend, Flexible am, Flexible pm;No Experience/Willing To Learn;;;Near public transportation;Willing to accept DHS, DHS listed;
1529689;Christine;Accepting Children During COV19 Reopen;Licensed Home;RF534754;Christine;;Baker City;OR;97814;;;(541) 519-6629;;0 Years 1 Months - 11 Years 12 Months;7:30am - 5:30pm;7:30am - 5:30pm;7:30am - 5:30pm;7:30am - 5:30pm;7:30am - 5:30pm;;;Registered Family Child Care;10;10;2 Years and 0 Months;1;9/4/2020;;No Pets At All, Outdoor Play Structure, Completely Fenced Yard;USDA Food Program;;;Have Backup (substitute), Charges a Late Fee, Written Contract, Pay When Child Is In Care Or Not, Written Policies;Full-time;Full Year;;;;;;Willing to accept DHS, DHS listed;
1531513;(ECC-SD) Baker School District 5J;Accepting Children During COV19 Reopen;License Exempt Center;RA3145;;1350 Washington;Baker City;OR;97814;44.7773273;-117.8212385;(541) 524-2260;;3 Years 0 Months - 12 Years 0 Months;6:30am - 6:30pm;6:30am - 6:30pm;6:30am - 6:30pm;6:30am - 6:30pm;6:30am - 6:30pm;6:30am - 6:30pm;;;30;30;8 Months;0;8/6/2020;;;;;;;Full-time, Temp/Emergency;Full Year;;;;;;;
1525347;April's Daycare;Accepting Children During COV19 Reopen;Licensed Home;RF032399;April;;Baker City;OR;97814;;;(541) 523-6590;;0 Years 4 Months - 11 Years 1 Months;6:00am - 6:00pm;6:00am - 6:00pm;6:00am - 6:00pm;6:00am - 6:00pm;6:00am - 6:00pm;;;Registered Family Child Care;10;10;24 Years and 5 Months;0;4/14/2020;;Outdoor Play Structure, Completely Fenced Yard, Outdoor Play Area;Provides Dinner, Special Meal Requests Accommodated, Provides Breakfast, Snacks Provided, Breastfeeding Supported, Provides Lunch;Scheduled Activities;;Have References, Written Contract, Liability Insurance, Written Policies;Full-time, Temp/Emergency, Part-time, Drop-in, Before School, Rotating, After School;Full Year;Early Morning (Between 3am and 5:59am), Evening (after 6:30 pm), Overnight (Between 10pm and 3am), Occasional evening, Flexible am, Flexible pm;No Experience/Willing To Learn;;Inclusion training, Domestic violence/abuse training, Behavioral issues training, Diversity training;Near school bus;Willing to accept DHS, DHS listed;
1527964;Ashley's Playcare;Accepting Children During COV19 Reopen;License Exempt Home;RS533422;Ashley;;Baker City;OR;97814;;;(541) 519-2589;;1 Years 0 Months - 8 Years 12 Months;5:00am - 6:00pm;5:00am - 6:00pm;5:00am - 6:00pm;5:00am - 6:00pm;;;;Regulated Subsidy;3;3;6 Years and 7 Months;2;1/1/2021;;Pets Separate From Children, Outdoor Play Structure, Completely Fenced Yard, Outdoor Play Area;USDA Food Program, Special Meal Requests Accommodated, Provides Breakfast, Snacks Provided, Breastfeeding Supported, Provides Lunch;Scheduled Activities, Organized Outdoor Activities, Homework Assistance;;Written Contract, Pay When Child Is In Care Or Not, Needs Payment In Advance, Written Policies;Full-time, Temp/Emergency, Part-time, Drop-in, Before School, After School;Full Year;Early Morning (Between 3am and 5:59am), Occasional early morning;Autism, ADD/ADHD, Challenging Behavior Supervision/Supports;Vision Impaired, Diabetes, Asthma, Socialization Supports;Domestic violence/abuse training, Behavioral issues training;Walking distance to school, Near school bus;Willing to accept DHS, DHS listed;
1526847;Bobi Barnett Day Care;Accepting Children During COV19 Reopen;Licensed Home;RF517339;Bobi;;Baker City;OR;97814;;;(541) 519-7869;;0 Years 3 Months - 11 Years 0 Months;8:00am - 5:30pm;8:00am - 5:30pm;8:00am - 5:30pm;8:00am - 5:30pm;8:00am - 5:30pm;;;Registered Family Child Care;10;10;16 Years and 2 Months;0;7/29/2020;;Pets Separate From Children, Outdoor Play Structure, No Cats, Completely Fenced Yard, Outdoor Play Area;USDA Food Program, Provides Dinner, Special Meal Requests Accommodated, Provides Breakfast, Snacks Provided, Breastfeeding Supported, Provides Lunch;Field Trips, Scheduled Activities, Organized Outdoor Activities, Homework Assistance;;Charges a Late Fee, Have References, Written Contract, Liability Insurance, Pay When Child Is In Care Or Not, Written Policies;Full-time, Temp/Emergency, Part-time, Before School, After School;Full Year;;Autism, No Experience/Willing To Learn;;Domestic violence/abuse training, Behavioral issues training;;Willing to accept DHS, DHS listed;
