"id";"name";"address";"city";"state";"zip";"county";"phone";"main website";"email";"details";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4";"bad url?";
1010516;"DESERT TRAILS LEARNING CENTER";"802 WEST 19TH STREET";"YUMA";"AZ";85364;"YUMA";"(928) 329-9109";"http://happytrailsyuma.com/";"DesertTrails@HappyTrailsYuma.com";"Here at Happy Trails and Desert Trails we are always working towards a nurturing, yet challenging environment. We are State Licensed, DES approved, on the USDA food program, participate in First Things First and The Early Inclusion Program through the Blake Foundation/Easter Seals. We have a state certified teacher on staff as well as staff with their CDA and everyone is required to continue their education. We are a center where your child will feel safe and be educationally stimulated. We provide an environment where each child can grow and learn at his or her own pace in an individual child directed classroom while enjoying fun and rewarding achievements that come with learning. We are set up so each child has the opportunity to investigate, explore, study and discover in and outside of the classroom. Phonics, music, reading, writing, arts and crafts, games, dramatic play, science and math will all be part of your child’s daily schedule.

We believe that our program strength comes from our dedicated teachers. We support our teachers in continual training and educational resources. We are proud to say that all of our staff are CPR and First Aid Certified, have a fingerprint clearance card, CPS background check, TB and food handlers card. Our staff also receives at least 20 hours on continuing education classes and training through ADE and ADHS required trainings. ";"http://happytrailsyuma.com/";"www.facebook.com/happytrails.preschool/";;;"http://happytrailsyuma.com/rates_enrollment.htm";"http://happytrailsyuma.com/handbook.htm";"n";"n";"y";"y";"n";"n";;;;;;;
1010536;"IT'S A FUN WORLD CENTER";"5922 EAST 22ND STREET";"TUCSON";"AZ";85711;"PIMA";"(520) 514-9080";;;;;;;;;;;;;;;;;;;;;"Y";
1065248;"DESERT SON SHINE PRESCHOOL";"5250 W CORTARO FARMS RD";"TUCSON";"AZ";85742;"PIMA";"(520) 579-8291";"http://shinepreschool.org/";"preschool@desertson.org";"Desert Son Shine Preschool exists to provide a safe, developmentally appropriate environment for preschool age children. Our focus is to provide a stimulating early education experience which promotes each child's spiritual, social/emotional, physical and intellectual development. Our goal is to support children's desire to be life-long learners. Our commitment is to build a foundation of faith that will carry them throughout their lives. Desert Son Shine Preschool recognizes the individuality of each child, and values their diverse abilities and gifts.

Our curriculum adheres to the guidelines set forth by the National Association for the Education of Young Children. As a result it is thoughtfully planned, challenging, engaging, developmentally appropriate, culturally and linguistically responsive, and comprehensive.";"http://shinepreschool.org/";"https://www.facebook.com/desertsonshinepreschool";"Mon - Fri: 
8:00 am - 4:00 pm";;"http://shinepreschool.org/tuition-rates/";;"y";"y";"y";"y";"n";"n";"http://shinepreschool.org/wp-content/uploads/2015/03/shine-website-logo-nods-2.png";;;;;;
1065250;"LIFE TIME FITNESS";"381 EAST WARNER ROAD";"GILBERT";"AZ";85296;"MARICOPA";"(480) 892-5020";;;;;;;;;;;;;;;;;;;;;"Y";
943394;"SELINA PRESCHOOL";"10701 NORTH 15TH AVENUE";"PHOENIX";"AZ";85029;"MARICOPA";"(602) 944-6500";;;;;;;;;;;;;;;;;;;;;"Y";
943393;"LITTLE LIONS PRESCHOOL";"3901 W LINDA VISTA";"TUCSON";"AZ";85742;"PIMA";"520-579-4400 x. 4633";;;;;;;;;;;;;;;;;;;;;"Y";
1065247;"PUMP IT UP OF TEMPE";"1325 WEST AUTO DRIVE STE 101";"TEMPE";"AZ";85284;"MARICOPA";"(480) 940-7867";"http://www.pumpitupparty.com/about/directions/tempe-az";;"Welcome to Pump It Up of Tempe - Where Your Imagination Comes to Play. Our passion is entertaining kids – not only at birthday parties but at Open Jump, Special Events and Group Events.

Our Birthday Parties are the best in the industry. They are 100% private – with play areas packed with gigantic inflatables, and party rooms where your child is treated like royalty. You can select an experience like our Glow parties or Adventure Party as well as add food, goodie bags and more to your party. Our friendly, trained staff does all the work so you can relax and be assured of a safe, hassle-free party.";"http://www.pumpitupparty.com/about/directions/tempe-az";"https://www.facebook.com/pumpitupoftempe/info?tab=page_info";"Mon - Sun: 
9:00 am - 5:00 pm";"http://cdn.pumpitupparty.com/assets/Employee_Application.pdf";;;"not mentioned";"not mentioned";"not mentioned";"not mentioned";"not mentioned";"not mentioned";"http://cdn.pumpitupparty.com/images/library/17/piu_header.jpg";;;;;;
1065245;"KIDS PALACE PRESCHOOL / DAYCARE";"5522 E GRANT ROAD";"TUCSON";"AZ";85712;"PIMA";"(520) 546-8888";"https://www.facebook.com/pages/Kids-Palace-Preschool-and-Daycare/161622697195402";;;"https://www.facebook.com/pages/Kids-Palace-Preschool-and-Daycare/161622697195402";"https://www.facebook.com/pages/Kids-Palace-Preschool-and-Daycare/161622697195402";;;;;"y";"y";"y";"y";"y";"y";;;;;;;
943386;"TODAYS TOMORROW LEARNING CENTER L L C";"1616 NORTH 24TH STREET SUITE #104";"PHOENIX";"AZ";85008;"MARICOPA";"(602) 275-0203";"http://todaystomorrowlearningcenter.com/";;"Today's Tomorrow Learning Center in Phoenix, Arizona is an affordable ""Learning Center"" for your child. Every day is an opportunity for new growth and we are dedicated to making the most of it. At Today's Tommorow Learning Center, we take pride in our work and we make sure that your child is not just cared for every day, but also participates in learning at their own level. Our commitment to providing early education programs will ensure that your child is successful in the future.";"http://todaystomorrowlearningcenter.com/";;;"http://todaystomorrowlearningcenter.com/hiring/";"http://todaystomorrowlearningcenter.com/contact/";;"y";"y";"y";"y";"y";"y";"http://todaystomorrowlearningcenter.com/wp-content/uploads/2014/02/logo_and_address.png";;;;;;
943383;"KIDZCO-CHILDCARE & PRESCHOOL";"7845 E GOLFLINKS RD";"TUCSON";"AZ";85730;"PIMA";"(520) 886-5437";"http://www.kidzcoearlylearningcenter.com/";"jfloriant@me.com";"The KidzCo Early Learning Center provides child care for children ages one month to 12 years at three different locations in Tucson, Arizona. Our learning center is clean and safe for your children, with a staff of trained professionals with more than 10 years of child care and educational experience. We believe children learn through the magic of play and develop through group activities. You and your children receive more one-on-one interaction at our small, local facility than at the larger, corporate ones. To suit your family’s budget, we also offer competitive pricing. Every child is unique, and we believe that success and growth come from encouragement and praise. Our teachers focus on building every child’s self-esteem and confidence through positive feedback and rewards. We nurture their natural strengths. A child sees the world around them with wonder and awe, and we believe in encouraging their natural curiosity.";"http://www.kidzcoearlylearningcenter.com/";"https://www.facebook.com/pages/KidzCo-Early-Learning-Center/746026152181385?_rdr";"Mon - Fri: 
6:00 am - 6:00 pm";;;;"y";"y";"y";"y";"y";"y";"http://www.kidzcoearlylearningcenter.com/image/103474832.png";;;;;;
