"ProviderUID";"CertificateNumber";"Category";"Type";"Status";"IssueDate";"ExpirationDate"
"29fb2ec1ce601b549ffea1d02cf58a8f";"CER-00087821";"Certificate of Compliance";"Regular";"Closed";"11/06/2015";"11/06/2016"
"29fb2ec1ce601b549ffea1d02cf58a8f";"CER-00099929";"Certificate of Compliance";"Regular";"Closed";"11/06/2016";"11/06/2017"
"29fb2ec1ce601b549ffea1d02cf58a8f";"CER-00115617";"Certificate of Compliance";"Regular";"Closed";"11/06/2017";"11/06/2018"
"29fb2ec1ce601b549ffea1d02cf58a8f";"CER-00134343";"Certificate of Compliance";"Regular";"Closed";"11/06/2018";"11/06/2019"
"29fb2ec1ce601b549ffea1d02cf58a8f";"CER-00150063";"Certificate of Compliance";"Regular";"Closed";"11/06/2019";"11/06/2020"
"29fb2ec1ce601b549ffea1d02cf58a8f";"CER-00163458";"Certificate of Compliance";"Regular";"Granted";"11/06/2020";"11/06/2021"
"0444d8a5a2af3ee91be887debacaa28e";"CER-00136099";"Certificate of Compliance";"Provisional";"Closed";"10/12/2018";"04/12/2019"
"0444d8a5a2af3ee91be887debacaa28e";"CER-00143479";"Certificate of Compliance";"Regular";"Closed";"04/12/2019";"04/12/2020"
"0444d8a5a2af3ee91be887debacaa28e";"CER-00160358";"Certificate of Compliance";"Regular";"Awaiting Renewal";"04/12/2020";"04/12/2021"
"8a75c1e1f17d063d838adf469df704d8";"CER-00085762";"Certificate of Registration";"Regular";"Closed";"11/12/2015";"11/12/2017"
"8a75c1e1f17d063d838adf469df704d8";"CER-00100226";"Certificate of Registration";"Regular";"Closed";"09/07/2016";"09/07/2017"
"8a75c1e1f17d063d838adf469df704d8";"CER-00113037";"Certificate of Compliance";"Regular";"Closed";"09/07/2017";"09/07/2018"
"8a75c1e1f17d063d838adf469df704d8";"CER-00130302";"Certificate of Compliance";"Regular";"Closed";"09/09/2018";"09/09/2019"
"8a75c1e1f17d063d838adf469df704d8";"CER-00146799";"Certificate of Compliance";"Regular";"Closed";"09/09/2019";"09/09/2020"
"8a75c1e1f17d063d838adf469df704d8";"CER-00162145";"Certificate of Compliance";"Regular";"Granted";"09/09/2020";"09/09/2021"
"5d77bedcc33242060f5c91914b46fb5a";"CER-00165704";"Certificate of Compliance";"Provisional";"Awaiting Renewal";"10/07/2020";"04/07/2021"
"fd6efb9d895c16d6fa59130c9b6ba679";"CER-00084131";"Certificate of Compliance";"Regular";"Closed";"08/23/2015";"08/23/2016"
"fd6efb9d895c16d6fa59130c9b6ba679";"CER-00098644";"Certificate of Compliance";"Regular";"Closed";"08/23/2016";"08/23/2017"
"fd6efb9d895c16d6fa59130c9b6ba679";"CER-00112430";"Certificate of Compliance";"Regular";"Closed";"08/23/2017";"08/23/2018"
"fd6efb9d895c16d6fa59130c9b6ba679";"CER-00130423";"Certificate of Compliance";"Regular";"Closed";"08/23/2018";"08/23/2019"
"fd6efb9d895c16d6fa59130c9b6ba679";"CER-00146025";"Certificate of Compliance";"Regular";"Closed";"08/23/2019";"08/23/2020"
"fd6efb9d895c16d6fa59130c9b6ba679";"CER-00161608";"Certificate of Compliance";"Regular";"Granted";"08/23/2020";"08/23/2021"
"e2f8fde67a7f97d4b855a2f7130e56df";"CER-00100361";"Certificate of Compliance";"Provisional";"Closed";"08/19/2016";"02/19/2017"
"e2f8fde67a7f97d4b855a2f7130e56df";"CER-00104572";"Certificate of Compliance";"Regular";"Closed";"12/21/2016";"12/21/2017"
