"Name";"LegalEntityName";"Type";"StarRating";"Street";"City";"State";"Zip";"Latitude";"Longitude";"Phone";"Fax";"Email";"Website";"Program";"OtherProgramOffered";"ReferralStatus";"MaximumCapacity";"ProvisionalLicense";"RevokedLicense";"CountiesServed";"SchoolDistrict";"Curriculum";"LeadOrganization";"HoursSunday";"HoursMonday";"HoursTuesday";"HoursWednesday";"HoursThursday";"HoursFriday";"HoursSaturday";"CallerLanguage";"HeadStart";"Languages";"GeneralSchedule";"ServiceSchedule";"SpecialAccomodations";"SubsidyStatus";"PaymentOption";"AdditionalFee";"MealOptions";"Discounts";"CertificateNumber";"UID"
"Adams County Head Start Arendtsville";;;0;"22 Gettysburg St";"Arendtsville";"PA";17303;39.921087;-77.297981;0;;;;"HDS";"HDS";"INA";;"N";"N";"Adams";"Upper Adams";;"Access, Inc";;;;;;;;;;;;;;;;;;;;"c98b33b4792600d5eb6774a6fbaba1c5"
"Migrant Head Start Aspers";;;4;"2150 Carlisle Rd";"Aspers";"PA";17304;39.985035;-77.23145;7176779181;;;;"HDS";"CCP,HDS,PKC";"INA";81;"N";"N";"Adams";"Bermudian Springs , Fairfield Area , Gettysburg Area , Upper Adams";;"Pathstone Corporation";;;;;;;;;;;;;;;;;;;"CER-00163458";"29fb2ec1ce601b549ffea1d02cf58a8f"
"Adams County Head Start Biglerville";;;4;"3270 Biglerville Rd";"Biglerville";"PA";17307;39.91886;-77.248388;7173371337;;;;"PKC";"HDS,PKC";"INA";;"N";"N";"Adams";"Upper Adams";"Creative Curriculum";"Access, Inc";;;;;;;;;;;;;;;;;;;;"ef14c1b9612b795933f319aa908b3c3b"
"Biglerville Elementary School";;;0;"161 N Main St";"Biglerville";"PA";17307;39.934945;-77.248238;7176777191;;;"www.upperadams.org";"PKC";"PKC";"INA";;"N";"N";"Adams";;;"Upper Adams School District";;;;;;;;;;;;;;;;;;;;"b4e2b91fae167016e8beb95523e9cf8f"
"Samantha Martin Daycare";;"GRP";1;"15 Burnside Dr";"East Berlin";"PA";17316;39.986763;-77.04929;0;;;;"CCP";"CCP";"INN";;"N";"N";;;;;;;;;;;;;"No";;;;;"Eligible Subsidy Provider";;;;;"CER-00160358";"0444d8a5a2af3ee91be887debacaa28e"
"Katie Avery";"Katie Avery";"FMY";1;"11 Wadsworth Dr";"East Berlin";"PA";17316;39.982747;-77.03558;7172594851;;;;"CCP";"CCP";"ACT";6;"N";"N";;;;;;"6:30 AM - 5:00 PM";"6:30 AM - 5:00 PM";"6:30 AM - 5:00 PM";"6:30 AM - 5:00 PM";"6:30 AM - 5:00 PM";;;"No";;;;;"Eligible Subsidy Provider";;;;;"CER-00162145";"8a75c1e1f17d063d838adf469df704d8"
"Adams County Head Start East Berlin";;;4;"405 North Ave";"East Berlin";"PA";17316;39.94017;-76.983319;7173371337;;;;"HDS";"HDS";"INA";;"N";"N";"Adams";"Bermudian Springs";;"Access, Inc";;;;;;;;;;;;;;;;;;;;"9d616ed91ff51428ee76dcc8d968bab6"
"The Caterpillar Clubhouse Llc";"The Caterpillar Clubhouse Llc";"CTR";0;"105 W Main St";"Fairfield";"PA";17320;39.786078;-77.37084;7174086343;;;;"CCP";"CCP";"ACT";105;"Y";"N";;"Fairfield Area - Serviced by school bus";;;;"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";;;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Weekdays, Drop-In Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Weekdays, Drop-In Care";;"Eligible Subsidy Provider";;"Bounced Check, Field Trip, Late Payment, Registration";"Breakfast, Lunch, PM Snack, Special Dietary Needs";"Employee (50% - ALL CHILDREN), Multi-Child (10% - APPLY TO OLDEST)";"CER-00165704";"5d77bedcc33242060f5c91914b46fb5a"
"Uriah United Methodist Church";"Uriah United Methodist Church";"CTR";1;"925 Goodyear Rd";"Gardners";"PA";17324;40.042757;-77.179782;7174867543;;;"uriahumc.org";"CCP";"CCP";"ACT";99;"N";"N";;"Bermudian Springs - Serviced by school bus, Carlisle Area - Serviced by school bus, South Middleton - Serviced by school bus";;;;"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";;;"No";;"Early Dismissal School Days, Before School, After School, Full Year, Weekdays";"Early Dismissal School Days, Before School, After School, Full Year, Weekdays";;"Eligible Subsidy Provider";"CIS, Child Care Works/Subsidy Participation";"Late Payment, Late Pick-up, Registration";"AM Snack, PM Snack";"Employee (30% - DURING WORK HOURS)";"CER-00161608";"fd6efb9d895c16d6fa59130c9b6ba679"
"Adams County Head Start";;;4;"705 Old Harrisburg Rd";"Gettysburg";"PA";17325;39.840286;-77.2259;7173371337;;;;"HDS";"HDS";"INA";;"N";"N";"Adams";"Gettysburg Area , Littlestown Area , Upper Adams";"Creative Curriculum";"Access, Inc";;;;;;;;;;;;;;;;;;;;"b2de7e4f009adf4f89610d6a7c04ccc1"
"G2";;;4;"98 Lefever St";"Gettysburg";"PA";17325;39.827187;-77.228053;7173371337;;;;"HDS";"HDS";"INA";;"N";"N";"Adams";"Gettysburg Area";;"Access, Inc";;;;;;;;;;;;;;;;;;;;"61ee7e69389630130837a7f9b258346d"
