"id";"name";"address";"city";"state";"zip";"county";"phone";"main website";"email";"detail";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4";"bad url?";
712326;"EXTENDED SCHOOL DAY CHILDREN'S CENTER-WHITEHALL";"399 N WHITEHALL RD";"NORRISTOWN";"PA";19403;"MONTGOMERY";6104761613;;;;;;;;;;;;;;;;;;;;;"Y";
712331;"WEE CARE LEARNING AND DAY CARE CENTER";"1921 W MAIN ST";"NORRISTOWN";"PA";19403;"MONTGOMERY";6105393351;"http://www.weecarelearn.com/";"your@address.here";"Wee Care Learning and Day Care Center has been serving the Norristown area for over 30 years. Our programs are designed for children ages 6 weeks to 5 years of age. We provide creative and enriching experiences that encourage learning in a nurturing environment. We encourage each child to develop social, physical and academic skills to his or her fullest potential. Our main goal, however, is to see that he or she is in a safe, happy environment and that we may spark your child's curiosity and imagination. ";"http://www.weecarelearn.com/";;"7:30am - 6:00pm ";;;;"y";"y";"y";"y";"n";"n";;;;;;;
712332;"MAGIC MOMENTS FOR CHILDREN";"1920 W MARSHALL ST";"NORRISTOWN";"PA";19403;"MONTGOMERY";6105397743;"http://www.magicmomentsforchildrenpa.com/";"info@magicmomentsforchildrenpa.com";"Magic Moments for Children was established in 1991 and is staffed by caring, certified teachers who are eager to guide your child through their early education years. Our philosophy has always been to treat each child as the unique and special individual that they are. Every child learns and develops in his/her own way, and we promise to help each one get the most out of our wonderful programs.";"http://www.magicmomentsforchildrenpa.com/";;"Monday–Friday, 6:30 a.m.–6:00 p.m.";;;;"y";"y";"y";"y";"n";"n";"http://www.magicmomentsforchildrenpa.com/image/70310400.png";"http://www.magicmomentsforchildrenpa.com/image/69947038_scaled_240x320.jpg";"http://www.magicmomentsforchildrenpa.com/image/69848344_scaled_221x318.jpg";"http://www.magicmomentsforchildrenpa.com/image/69850913.jpg";"http://www.magicmomentsforchildrenpa.com/image/69850931.jpg";;
712333;"EXTENDED SCHOOL DAY CHILDREN'S CENTER";"1525 W MARSHALL ST";"NORRISTOWN";"PA";19403;"MONTGOMERY";6104760351;;;;;;;;;;;;;;;;;;;;;"Y";
712335;"LES PETITS CHERUBS, AUDUBON MAIN HOUSE";"2540 S PARKVIEW DR";"NORRISTOWN";"PA";19403;"MONTGOMERY";6106508157;"http://lespetitscherubs.com/";;"Les Petits Cherubs is a private child care and learning center, with locations in Philadelphia and Montgomery County. Operating year-round Monday thru Friday from 6:00 am to 6:30 pm. We offer a limited number of enrollments to children from 6 weeks of age through 13 years old. We offer infant, toddler, preschool, pre-kindergarten and kindergarten programs, before and after care programs for school age children through 13 years of age, along with a Summer Camp program and holiday care program.

Les Petits Cherubs is licensed through the Department of Public Welfare and accredited through Pennsylvania Keystone Stars and has been awarded a partnership with the Pennsylvania Pre-K Counts Program.

We strive to provide a comprehensive curriculum to establish firm foundations in the areas of emotional, cognitive, and physical development. By offering children the opportunity to learn, grow, and accomplish tasks in a challenging environment, we promote confidence, security, and positive self-image for each child.We believe children should be children and that their day should be filled with learning, adventure, and fun in a safe, protected atmosphere that encourages confidence and caring. Les Petits Cherubs truly respects the rights of parents and their children. In strong support of open and continuing communication between parents and staff, we encourage any and all comments, concerns, and suggestions.";"http://lespetitscherubs.com/";;"Monday thru Friday from 6:00 am to 6:30 pm";;"http://lespetitscherubs.com/about-our-school/enrollment-and-tuition";;"y";"y";"y";"y";"y";"y";;"http://lespetitscherubs.com/images/camp/photoj.JPG";;;;;
712338;"Extended School-Day Children's Center";"2920 POTSHOP RD";"NORRISTOWN";"PA";19403;"MONTGOMERY";6105642167;;;;;;;;;;;;;;;;;;;;;"Y";
712341;"UMASD EXTENDED DAY/BRIDGEPORT";"BRIDGEPORT ELEMENTARY SCH.";"BRIDGEPORT";"PA";19405;"MONTGOMERY";"610-265-7970";"http://www.umasd.org/Page/584";"jzelli@umasd.org";"Upper Merion Area School District's Extended Day Program offers a supervised, structured, environment for children before and after their regular school day. Open to residents of the Upper Merion School District, programs are provided for children age four through 4th grade. Programs include Pre-Kindergarten and Extended-Kindergarten (held at the Gulph School) and Before School and After School programs (held at Bridgeport, Caley, Candlebrook and Roberts Elementary Schools) for children in grades 1 through 4.

The Extended Day Program is state licensed and a participant in the Keystone Stars Program for quality childcare.

Our programs offer a variety of interesting and stimulating age-appropriate activities including arts and crafts, dramatics, games, sports and special events, motor skills, and quiet activities. Homework time is also provided.

Open enrollment for new families/participants for the upcoming school year begins in March. Please call our program office (610-265-7970) to discuss program needs, availability and registration procedures.

Due to the increased need for our services, the Extended Day Program reserves the right to prioritize for full-time working parents needing our services on a regular, daily basis, especially those requesting our Extended Kindergarten program.

Extended Day also offers an eight week summer camp program. Minimum attendance of four weeks required. Summer camp registration takes place in late February. Space is limited. Registration is on a first-come, first-served basis.
";"http://www.umasd.org/Page/584";;"8am-3:30pm";;;;"n";"n";"n";"n";"y";"y";"http://www.umasd.org/cms/lib7/PA01000379/Centricity/Template/GlobalAssets/images///logos/umasd_shield.png";;;;;;
712344;"UMASD EXTENDED DAY/CALEY";"CALEY ROAD";"KING OF PRUSSIA";"PA";19406;"CHESTER";"610-265-7970";"http://www.umasd.org/Page/584";"jzelli@umasd.org";"Upper Merion Area School District's Extended Day Program offers a supervised, structured, environment for children before and after their regular school day. Open to residents of the Upper Merion School District, programs are provided for children age four through 4th grade. Programs include Pre-Kindergarten and Extended-Kindergarten (held at the Gulph School) and Before School and After School programs (held at Bridgeport, Caley, Candlebrook and Roberts Elementary Schools) for children in grades 1 through 4.

The Extended Day Program is state licensed and a participant in the Keystone Stars Program for quality childcare.

Our programs offer a variety of interesting and stimulating age-appropriate activities including arts and crafts, dramatics, games, sports and special events, motor skills, and quiet activities. Homework time is also provided.

Open enrollment for new families/participants for the upcoming school year begins in March. Please call our program office (610-265-7970) to discuss program needs, availability and registration procedures.

Due to the increased need for our services, the Extended Day Program reserves the right to prioritize for full-time working parents needing our services on a regular, daily basis, especially those requesting our Extended Kindergarten program.

Extended Day also offers an eight week summer camp program. Minimum attendance of four weeks required. Summer camp registration takes place in late February. Space is limited. Registration is on a first-come, first-served basis.
";"http://www.umasd.org/Page/584";;"8am-3:30pm";;;;"n";"n";"n";"n";"y";"y";"http://www.umasd.org/cms/lib7/PA01000379/Centricity/Template/GlobalAssets/images///logos/umasd_shield.png";;;;;;
712348;"FOR KIDS SAKE CHILD CARE & LEARNING CENTER";"486 KEEBLER RD";"KING OF PRUSSIA";"PA";19406;"CHESTER";6103372423;"http://www.forkidssakecc.com";"sandi@forkidssakecc.com";"Our mission is to provide the best possible quality child care and early learning environment. We are dedicated to creating a place where children can learn, grow, and reach their full potential in a safe and nurturing, family-like environment. At FKS, we view every child as a unique and work to meet the physical, emotional, social, and cognitive needs of each one at his or her own level.";"http://www.forkidssakecc.com";"https://www.facebook.com/pages/For-Kids-Sake-Child-Care-Learning-Center/101513753252205";"Mon - Fri: 6:30 am - 6:00 pm";;;;"y";"y";"y";"y";"y";"y";;"http://www.forkidssakecc.com/Images/JakeCow.jpg";"http://www.forkidssakecc.com/Images/OldTodClaira2.jpg";"http://www.forkidssakecc.com/Images/TPLayground.jpg";"http://www.forkidssakecc.com/Images/KindGrad.jpg";;
712350;"UMASD EXTENDED DAY CANDLEBROOK";"310 PRINCE FREDERICK ST";"KING OF PRUSSIA";"PA";19406;"CHESTER";"610-265-7970";"http://www.umasd.org/Page/584";"jzelli@umasd.org";"Upper Merion Area School District's Extended Day Program offers a supervised, structured, environment for children before and after their regular school day. Open to residents of the Upper Merion School District, programs are provided for children age four through 4th grade. Programs include Pre-Kindergarten and Extended-Kindergarten (held at the Gulph School) and Before School and After School programs (held at Bridgeport, Caley, Candlebrook and Roberts Elementary Schools) for children in grades 1 through 4.

The Extended Day Program is state licensed and a participant in the Keystone Stars Program for quality childcare.

Our programs offer a variety of interesting and stimulating age-appropriate activities including arts and crafts, dramatics, games, sports and special events, motor skills, and quiet activities. Homework time is also provided.

Open enrollment for new families/participants for the upcoming school year begins in March. Please call our program office (610-265-7970) to discuss program needs, availability and registration procedures.

Due to the increased need for our services, the Extended Day Program reserves the right to prioritize for full-time working parents needing our services on a regular, daily basis, especially those requesting our Extended Kindergarten program.

Extended Day also offers an eight week summer camp program. Minimum attendance of four weeks required. Summer camp registration takes place in late February. Space is limited. Registration is on a first-come, first-served basis.
";"http://www.umasd.org/Page/584";;"8am-3:30pm";;;;"n";"n";"n";"n";"y";"y";"http://www.umasd.org/cms/lib7/PA01000379/Centricity/Template/GlobalAssets/images///logos/umasd_shield.png";;;;;;
