"id";"name";"address";"city";"state";"zip";"phone";"tollfree";"fax";"email";"website";"contact_name";"Details";"Services offer";"County/Area served";"Logo url";"operation hours";"Notes"
10413;"Thread - Fairbanks";"1908 Old Pioneer Way";"Fairbanks";"AK";99709;"(907) 479-2214";"(866) 878-2273";"(907) 479-2486";"thread@thrivalaska.com";"http://threadalaska.org/";"Michelle Kates";"Learning doesn't start at kindergarten, it begins at birth. That is why programs that provide early care and education services play such an important role in the growth and development of young children. In addition to helping ensure that children arrive at school ready to succeed, early care and education programs enable parents to meet the financial needs of their families and businesses to attract and retain a high quality workforce. thread is a statewide network of professionals who work individually with families and early educators to ensure that they are knowledgeable and supported in guiding children to lifelong success.";"Training and Technical Assistance for Providers; Child Care Provider Professional Development; Quality Ratings; Consumer Education and Referrals; Parent Workshops; Spanish Language Services";"Statewide";"http://threadalaska.org/layouts/thread/images/thread-logo.png";"Mon - Fri: 8:00am - 5:00pm";
10426;"Thread - Lead Office";"3350 Commercial Dr., Suite 203";"Anchorage";"AK";99501;"(907) 265-3100";"(800) 278-3723 (For In-State Use Only)";"(907) 265-3191";"info@threadalaska.org";"http://threadalaska.org/";"Stephanie Berglund";"Learning doesn't start at kindergarten, it begins at birth. That is why programs that provide early care and education services play such an important role in the growth and development of young children. In addition to helping ensure that children arrive at school ready to succeed, early care and education programs enable parents to meet the financial needs of their families and businesses to attract and retain a high quality workforce. thread is a statewide network of professionals who work individually with families and early educators to ensure that they are knowledgeable and supported in guiding children to lifelong success.";"Training and Technical Assistance for Providers; Child Care Provider Professional Development; Quality Ratings; Consumer Education and Referrals; Parent Workshops; Spanish Language Services";"Statewide";"http://threadalaska.org/layouts/thread/images/thread-logo.png";"Mon - Fri: 9:00am - 5:00pm";
10439;"Thread - Juneau";"3100 Channel Drive, Suite 215";"Juneau";"AK";99801;"(907) 789-1235";"(888) 785-1235";"(907) 789-1238";"info@aeyc-sea.org";"http://threadalaska.org/";;"Learning doesn't start at kindergarten, it begins at birth. That is why programs that provide early care and education services play such an important role in the growth and development of young children. In addition to helping ensure that children arrive at school ready to succeed, early care and education programs enable parents to meet the financial needs of their families and businesses to attract and retain a high quality workforce. thread is a statewide network of professionals who work individually with families and early educators to ensure that they are knowledgeable and supported in guiding children to lifelong success.";"Training and Technical Assistance for Providers; Child Care Provider Professional Development; Quality Ratings; Consumer Education and Referrals; Parent Workshops; Spanish Language Services";"Statewide";"http://threadalaska.org/layouts/thread/images/thread-logo.png";"Mon - Fri: 8:30am - 5:00pm";
10452;"Family Guidance Center of Alabama - Montgomery";"2358 Fairlane Drive";"Montgomery";"AL";36116;"(334) 270-4100";"(800) 499-6597";"(334) 270-4104";"carolyn.heitman@dhr.alabama.gov";"http://www.familyguidancecenter.org";"Carolyn Heitman";"Family needs have certainly changed since Family Guidance Center first started serving families in 1959. Our full range of services includes counseling, parenting education, marriage enrichment, mentoring, services for business and industry, child care support services, senior services, adult day care, career development, job training and other therapeutic services for families. The Child Care Resource and Referral Service (CCR&R), Child Care Solutions, works in partnership with parents, child care providers, community agencies, business leaders, and government officials to make high quality child care available to families. Our services are designed to increase the supply of quality child care that is affordable and accessible, to educate the community about quality child care, to prepare individuals who plan to enter the field of child care, to support current child care providers and administrators with free or low cost training and technical assistance, and to assist families in locating child care to meet their needs.";"For Parents: Consumer education/information in child care options, Child Care Referrals/Child Care Listings, Referral Services for Children with Special Needs, Parent Education Training and Resources, Resource Library with materials for children and parents, Information in Child Care Financial Assistance (Subsidy Program); For Child Care Providers: Referrals, Resource Lending Library, Accreditation Assistance and Professional Development, Training and Technical Assistance, Mobile Resource Van, Recognition of Professional Efforts; For Communities: Reports on local child care supply and demand, Child Care Solutions and Care Options, Child Care Provider Recruitment: Centers/Homes, Information on How to Open Child Care Centers and Homes, Parenting Seminars, Information on Health and Safety, Early Literacy, and Child Development; For Employers: Parenting Information and Seminars, Development of Child Care Programs, Enhanced Resource and Referral Programs, Child Care/Elder Care Benefit Options, Determination of Employee Child Care/Elder Care Needs through Work/Life Surveys and Evaluations";"Autauga, Bullock, Butler, Chilton, Covington, Dallas, Elmore, Lowndes, Montgomery,  and Wilcox Counties";;"Mon - Fri: 9:00am - 4:30pm";
10465;"Family Guidance Center of Alabama - Dothan";"545 W. Main Street, Suite 311";"Dothan";"AL";36301;"(334) 712-7777";"(800) 290-0933";"(334) 712-7788";;"http://www.familyguidancecenter.org";;"Family needs have certainly changed since Family Guidance Center first started serving families in 1959. Our full range of services includes counseling, parenting education, marriage enrichment, mentoring, services for business and industry, child care support services, senior services, adult day care, career development, job training and other therapeutic services for families.";"Child Care Education and Training Program; Child Care Financial Assistance";"Barbour, Coffee, Crenshaw, Dale, Geneva, Henry, Houston, and Pike Counties";;;
10478;"Alabama Department of Human Resources, Child Care Services Division";"50 North Ripley Street";"Montgomery";"AL";36130;"(334) 242-1425";;;;"http://dhr.alabama.gov/services/Child_Care_Services/Child_Care_Services_Division.aspx";;"The Child Care Services Division is the state’s Child Care and Development Fund (CCDF) administrator, responsible for the child care subsidy program and quality initiatives. In addition, the Division is also responsible for monitoring and licensing child care centers and homes for compliance with minimum standards. ";"Quality Enhancement; Subsidized Child Care; Child Care Licensing; Time and Attendance System; Schedule of Training Events";"Calhoun, Etowah and St. Clair Counties";;"Mon - Fri: 8:00am - 4:30pm";
10491;"Child Development Resources";"651 5th Avenue East";"Tuscaloosa";"AL";35401;"(205) 348-2650";;"(205) 348-4234";;"http://www.hdfs.ches.ua.edu/child-development-resources.html";;"Child Development Resources (CDR) is west, central Alabama′s resource for information about the well-being of young children. Our mission is to help families succeed by providing information and resources to enhance the family′s ability to provide a safe, loving, and enriching life for young children. Child Development Resources provides training for professional child care providers, offers child care resource and referral information, and conducts parenting education and support programming. ";"Child Care Provider Training; Parent Education and Support; Parenting Assistance Line (PAL)";"Bibb, Choctaw, Fayette, Greene, Hale, Lamar, Marengo, Marion, Perry, Pickens, Sumter, and Tuscaloosa Counties";"http://www.hdfs.ches.ua.edu/uploads/3/7/4/5/37456777/155096.jpg?303";"Mon - Fri: 8:30am - 4:30pm";
10504;"Childcare Resources";"244 West Valley Avenue, Suite 200";"Birmingham";"AL";35209;"(205) 945-0018";"(800) 822-2734";"(205) 945-0039";"mshaw@ccr-bhm.org";"http://www.ccr-bhm.org/";"Myra Shaw";"The mission of Childcare Resources is to make quality care and education of children happen by providing information, education and assistance to families, providers of child care and the community.";"Training child care professionals; Helping families locate child care; Providing parent education services; Offering child care financial assistance to low-to-moderate income working families";"Blount, Jefferson, Shelby and Walker Counties";"http://www.ccr-bhm.org/media/2011/ccr_logo.png";"Mon - Fri: 8:00am - 4:30pm";
10530;"Child Care Central";"85 Bagby Drive, University Building, Suite 100";"Birmingham";"AL";35209;"(205) 941-0115";;"(205) 943-9393 ";"janerica.johnson@dhr.alabama.gov";"http://www.tcrchildcarecorporation.org/";"Janerica Johnson";"The Child Care Subsidy Program is available to assist with the cost of child care for eligible families.  The Department of Human Resources administers the program regionally through three Child Care Management Agencies (CMAs) in 9 Regions. TCR Child Care Corporation administers the program through two CMAs: Child Care South in the Mobile region and Child Care Central in the Birmingham region.";"Child Care Subsidy";"Blount, Jefferson, St. Clair, Shelby, and Walker counties";;;
10543;"Child Care Resource Center, Inc";"510 S. 7th Street";"Opelika";"AL";36801;"(334) 749-8400";"(800) 238-0872";"(334) 749-9398";"tammy.morgan@ccrc-alabama.org";"http://www.ccrc-alabama.org/";"Tammy Morgan";"Child Care Resource Center, Inc. is a non-profit, private agency that promotes quality child care through the provision of support services for child care providers, parents, employers, and communities. Funding to operate Child Care Resource Center is received through contracts and grants with government and corporate entities, as well as civic, charitable, and individual donors. Through a contract with the State Department of Human Resources, Child Care Resource Center serves as a child care quality contractor based in Opelika, Alabama. We serve a five county region (Lee, Chambers, Tallapoosa, Russell and Macon). We are governed by a 9 member board of directors. The board of directors is made up of community leaders, child advocates and partners.";"Training and professional development for childcare professionals; Assisting parents with locating quality child care; Financial assistance for childcare; Family support resource and referral; Work within child care centers to promote quality childcare (STEPS)";"Lee, Chambers, Tallapoosa, Russell and Macon Counties";"http://www.ccrc-alabama.org/images/46db1b9e6eca5250fe6351c5c4d7e54d.png";"Mon, Wed, Fri: 8:00am - 4:00pm; Tues, Thurs: 8:00am - 4:30pm";
