"id";"name";"address";"city";"state";"zip";"phone";"tollfree";"fax";"email";"website";"contact_name";"Details";"Services offer";"County/Area served";"Logo url";"operation hours";
19828;"Great Start to Quality Kent Resource Center";"1800 Leffingwell NE";"Grand Rapids";"MI";49525;"(616) 447-5678";"(877) 614-7328";;"kentresourcecenter@kentisd.org";"http://greatstarttoquality.org/";;"The Great Start to Quality Kent Resource Center serves Kent county, and is housed in Kent ISD.";"Training and Technical Assistance for Providers; Child Care Provider Professional Development; Quality Ratings; Consumer Education and Referrals; Spanish Language Services; Lending Library";"Kent County";"http://greatstarttoquality.org/sites/all/themes/ecic/logo.png";"Mon - Fri: 7:30am - 4:30pm";
12896;"West Central Child Care Connection";"510 Maine St., Suite 610";"Quincy";"IL";62301;(217) 222-2550;"(800) 782-7318 (For In-State Use Only)";(217) 222-3133;"ccrrinfo@wcccc.com";"http://www.wcccc.com";;"West Central Child Care Connection is a resource and referral agency dedicated to supporting children, families and the child care community by promoting options in accessibility, affordability and quality care.";"For Parents: Child care referrals, Information on evaluating quality child care, Resources on various parenting issues, Assistance in paying for child care (for income eligible families); For Child Care Providers: Access to valuable training, Support services for new or established programs, Access to funding opportunities, Lending library resources";"Adams, Brown, Calhoun, Cass, Greene, Hancock, Jersey, Pike, Schuyler Counties";"http://www.wcccc.com/wp-content/themes/wcccc/assets/images/logo-new.svg";"Mon - Fri: 8:30am - 4:30pm";
12909;"CCR&R at John A. Logan College";"607 S Greenbriar";"Carterville";"IL";62918;(618) 985-5976;(800) 548-5563;(618) 985-3528;"lorilongueville@jalc.edu";"http://ccrr.jalc.edu/";"Lori Longueville";"CCR&R is dedicated to enhancing the quality of children’s lives, with an emphasis on improving the accessibility, affordability and quality of child care and early education in the southern fifteen counties in Illinois.";"Information, Referrals, and Financial Assistance to Families; Resources and Support for Child Care and Early Education Programs; Training, Education, and Professional Development Assistance to Professionals; Services to Employers; Data and Reports to Community Leaders and Policy Makers";"Alexander, Franklin, Gallatin, Hamilton, Hardin, Jackson, Johnson, Massac, Perry, Pope, Pulaski, Saline, Union, White, Williamson Counties";"http://ccrr.jalc.edu/pics/banner.jpg";"Mon - Fri: 8:00am - 4:00pm; Sat: 8:00am - 1:00pm";
12922;"Children's Home + Aid Child Care Resource + Referral";"2133 Johnson Rd.";"Granite City";"IL";62040;(800) 467-9200;;(618) 452-9136;"shoover@childrenshomeandaid.org";"https://www.childrenshomeandaid.org/";"Saundra Hoover";"Children’s Home + Aid Child Care Resource & Referral (CCR+R) Program was founded in 1990 to support and strengthen the child care system in Illinois. The Children’s Home + Aid CCR+R Program is an informational resource for: families, child care providers, employers and communities in Bond, Clinton, Madison, Monroe, Randolph, St. Clair and Washington counties. Children’s Home + Aid Child Care Resource & Referral (CCR+R) Program is funded in part by the Illinois Network of Child Care Resource & Referral Agencies (INCCRRA), Illinois Department of Human Services (IDHS) and United Way Agencies.";"Child Care Options; Child Care Assistance; Becoming Licensed; Professional Development Opportunities; On-Site Technical Assistance; Family Responsive Workplace Policies; Statistical And Geographical Data; Grants And Scholarships; Playground Inspections/Nurse Consultations";"Bond, Clinton, Madison, Monroe, Randolph, St. Clair, Washington Counties";;"Mon - Fri: 8:30am - 4:30pm";
12935;"YWCA Child Care Solutions";"4990 E. State St.";"Rockford";"IL";61108;(815) 484-9448;;;"info@ywcanwil.org";"https://www.ywcanwil.org/";;"Quality child care has become a major concern in our society today. Parents, businesses, and child care providers must face the dilemma of how to find, or provide, the best possible care for children. In response to that need, the YWCA Child Care Solutions was founded in 1991 to provide child care referrals and consumer education to parents, offer training opportunities and technical assistance to child care providers, work to develop new child care options and assist employers in meeting their employees’ child care needs. Whatever your interest in quality child care, YWCA Child Care Solutions works to build a quality child care system that support the needs of working families and their child care providers.";"Child Care Solutions for Families and Providers: Pay for Child Care - Child Care (Payment) Assistance Program (CCAP), Find Child Care, Child Care Provider Services; Child Care Assistance Program (CCAP) for Providers: Child Care Application Online, Child Care Assistance Program Paper Application, Child Care Assistance Program Application (Spanish), CCAP Case Managers, Apply for an FEIN Number, Track your payment, Housing Authority and Loan Requests, CCAP Eligibility Calculator, Debit Card for Providers";"Boone; Jo Daviess; Stephenson; Winnebago Counties";"https://www.ywcanwil.org/wp-content/uploads/2016/11/childcaresolutions_200x.png";"Mon - Fri: 8:00am - 5:00pm";
12948;"Illinois Central College Child Care Connection";"5407 N University Poplar Hall";"Peoria";"IL";61635;(309) 690-7300;(800) 421-4371;(309) 690-7320;"childcarereferral@icc.edu";"http://www.icc.edu/childcareconnection";;;;;;;"Closed"
12961;"Community Coordinated Child Care (4-C)";"155 N. 3rd St., Ste. 300";"Dekalb";"IL";60115;(815) 758-8149;(800) 848-8727;(815) 758-5652;"sylviai@four-c.org";"http://www.four-c.org/";;"4-C is a private not-for-profit social service agency that for more than 40 years has helped families and child care providers by offering services and resources that include child care financial assistance, parent and provider education, nursing, nutrition, social work, mental health, and advocacy.";"For Parents: Help Paying For Child Care, Parenting & Child Development Information, Child Care Health Consultants; For Providers: Help Starting or Improving Your Service, Referrals To Your Child Care Service, Classes And Training, Grants For Child Care Improvements, Funding To Attend Classes & Conferences, Parenting & Child Development Information, Access To Health Consultants, Child Care Food Program, Child Learning Resources, Infant Toddler Services, Payment Information";"Carroll, DeKalb, Lee, Ogle and Whiteside Counties";"http://www.four-c.org/images/4c_corner_logo.jpg";"Mon, Wed, Thurs, Fri: 8:30am - 4:30pm; Tues: 8:30am - 6:30pm";
12974;"Child Care Resource Service";"905 S. Goodwin Ave. ";"Urbana";"IL";61801;(217) 333-3252;(800) 325-5516;(217) 333-2147;"ccrs@illinois.edu";"http://ccrs.illinois.edu/";;"We work to support the well-being of children and families by promoting the availability of quality child care services in the area. We work with parents, child care providers, businesses, and community organizations to provide education and training and act as a bridge to other important resources at the local, University, state, and national levels. ";"For Parents: Child care referrals, Information on evaluating quality child care, Resources on various parenting issues, Assistance in paying for child care (for income eligible families); For Child Care Providers: Access to valuable training based on evidence and best-practice, Support services for new or established programs, Access to funding opportunities, Lending van/library resources";"Champaign, Vermilion, Macon, Douglas, Iroquois and Piatt Counties";;"Mon, Wed, Thurs, Fri: 8:30am - 4:30pm; Tues: 11:00am - 4:30pm";
12987;"Community Connection Point";"901 South Spring Street, Suite B";"Springfield";"IL";62704;(217) 525-2805;(800) 676-2805;(217) 525-2894;"CAllen@ccpoint.org";"http://ccpoint.org/";"Christy Allen";"Community Connection Point is a regional agency that is recognized as a leader, catalyst and resource for making high quality, affordable childcare and education options available for children and families in the Illinois counties of Christian, Logan, Macoupin, Mason, Menard, Montgomery, Morgan, Sangamon and Scott. The mission of Community Connection Point is to assist families in obtaining community resources and quality, affordable childcare to help children reach their greatest potential. At CCP, we believe that all children should be cared for in a safe and nurturing environment that is affordable for their families, which will provide opportunities for them to grow, flourish and learn. Community Connection Point operates with a caring and dedicated staff that works directly with families and with childcare providers to provide support and connection to resources, programs or education. We envision communities where all families have access to the community resources they need to thrive. At CCP, we value collaboration and relationships with other organizations for committed efforts that will strengthen and support high quality services for children and their families, as well as the autonomy, integrity and diversity of early care and education programs with significant dedication and contributions made by early childhood professionals on behalf of Illinois children and families.";"Training and Technical Assistance for Providers; Child Care Subsidy; Child Care Provider Professional Development; Quality Ratings; Literacy Programs; Consumer Education and Referrals; Provider Recruitment";"Christian, Logan, Macoupin, Mason, Menard, Montgomery, Morgan, Sangamon and Scott Counties";"http://ccpoint.org/wp-content/uploads/2016/01/CCP-logo-horizontal-400.png";"Mon, Tues, Thurs, Fri:: 8:00am - 4:00pm; Wed: 8:00am - 2:00pm";
13000;"Eastern Illinois University Child Care Resource & Referral";"600 Lincoln Ave.";"Charleston";"IL";61920;(217) 581-6698;(800) 545-7439;(217) 581-7084;"mmbaker2@eiu.edu";"http://www.eiu.edu/ccrr/";"Misty M. Bake";"The mission of Eastern Illinois University Child Care Resource and Referral (CCR&R) is to assist families in accessing affordable, quality child care, as well as, promoting and supporting child care providers’ professional development to enhance quality child care in our community.";"CCAP (Child Care Assistance Program); Child Care Provider Services; Infant Toddler Child Care Information; Mental Health/Behavioral Information; Parent & Family Services; Professional Development Training Opportunities; Professional Development Funding Opportunities; Quality Recognition and Improvement System";"Clark, Coles, Cumberland, Edgar, Moultrie and Shelby Counties";"http://www.eiu.edu/ccrr/images/FCS_CCRR.jpg";"Mon - Fri: 8:00am - 4:30pm";
