"Id";"Name";"Address";"City";"State";"Zip";"County";"Phone";"Main url";"Email";"Details";"location website";"Facebook page";"Career employment";"Application/registration url";"Parent handbook url";"Infant (under 12 months)";"Toddler (1-2yrs)";"Preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url";"monday hour";"tuesday hour";"wednesday hour";"thursday hour";"friday hours";"saturday hour";"sunday hour";"notes"
1179251;"SACRED HEART";"5754 STATE ROUTE 61 S";"SHELBY";"OH";44875;"RICHLAND";4196831697;"http://www.sacredheartbethlehem.org/";"lmyers@shelbysacredheart.org";"Sacred Heart Catholic School is dedicated to excellence in spiritual and educational development of our youth, under the patronage of the Sacred Heart of Jesus, and within the tradition of the Catholic Church.  Our school provides a safe and nurturing environment of mutual respect.  Our fundamental task is the education of the whole person, and the blending of learning, faith and daily life.";"http://www.sacredheartbethlehem.org/sacred-heart-school.html";"https://www.facebook.com/sacredheartofjesusbethlehem/";;"http://www.sacredheartbethlehem.org/announcements.html";;;;;"x";;;"http://nebula.wsimg.com/74127e88f7e8c678194b271a1bcb6e12?AccessKeyId=CD4FC82EE73891C8DEEA&disposition=0&alloworigin=1";" ";;;;;;;
1179252;"SACRED HEART OF JESUS";"110 HUMBOLT AVE";"WADSWORTH";"OH";44281;"MEDINA";3303346272;"http://www.shswadsworth.org/";"sah_badams@tccsa.net";"A hearty welcome from Sacred Heart of Jesus School is extended to all who desire to learn more about the beauty within. This 2018-2019 school year promises to be loaded with many spiritually satisfying and educationally fulfilling opportunities. These experiences will encompass our school theme of “Jesus Show Me How To Be…, and help us grow closer to Him through our actions, our service to others, our positive relationships, and our efforts to spread His word. The theme will also grow as each month a new word of action will be the center of our school’s efforts. Spreading kindness is a great way to begin a new season as we concentrate on good deeds and healthy relationships. With this in mind, I would like to welcome all new families to the Family of the “Heart” and I pray that you experience a wonderful transition to our school. God has blessed us with teachers who challenge students to move beyond their own expectations reaching for more knowledge and applying it to solve problems and think critically. Our thirst to learn will be quenched in the classroom as well as through the many out-of-class experiences including field trips and after school activities.

The unwavering support of our current families and the environment they have helped to create have distinguished Sacred Heart from being an ordinary school.  We are far from average in all aspects of our makeup. A spirit of enthusiasm and excitement along with a vibrant atmosphere envelops SHS. We realize that when you entrust your children to us a safe environment filled with spiritual and educational nourishment is expected.   Sacred Heart is committed to deliver with a fervor that should please all.

As we reflect on 2017-18, it is quite obvious our students enjoyed many successes including our 1st trip to the nationals, in Chicago, with our Quiz Bowl Team. As usual, our Science Fair projects were showered with accolades from the state of Ohio including various monetary awards and scholarships. The 32 strong, that comprised our 8th grade class will be missed. They provided leadership and set examples for all to emulate. However, we are fortunate to have many other students ready and eager to continue their efforts. Artistically, through music, drama and the visual arts, we excelled. Athletically, our students garnered championships and earned 1st place honors. Academically, we strived to be the best with many accepting high school scholarships and commendations. Most importantly, spiritually, through our Living Stations, Rosary at the Nursing Homes, Christmas Play, weekly Mass, and daily prayers, we walked with Jesus more closely.

Our staff will travel beyond limits, to make sure all are welcome, all are respected and all are treated with dignity and compassion. We have a passion to teach, to nurture and to share our blessings with all who enter through our doors. Sacred Heart pledges to: Embrace and teach the Catholic Faith; Welcome all who desire to learn; Provide excellent academics and rich spiritual opportunities; and Live our love for God and others through service. Together let’s dive into the waters of the 2018-19 school year splashing each other, loving each other and caring about each other . We plan to have fun with friends and family surrounded by the Holy Spirit.  It doesn’t get any better than that!  ";"http://www.shswadsworth.org/index.php?option=com_content&view=article&id=46&Itemid=163";"https://www.facebook.com/pg/sacredheartwadsworth/";;"http://www.shswadsworth.org/index.php?option=com_content&view=article&id=51&Itemid=171";"http://www.shswadsworth.org/sacredheartparish/images/school/Forms/handbook.pdf";;;;"x";"x";;"https://scontent.fkhi11-1.fna.fbcdn.net/v/t1.0-1/p200x200/1613867_661723610564584_7466478088615556406_n.jpg?_nc_cat=103&oh=365e2197ca171486391fef028f209006&oe=5C197F3C";"8:30am-3:25 PM ";"8:30am-3:25 PM ";"8:30am-3:25 PM ";"8:30am-3:25 PM ";"8:30am-3:25 PM ";"Closed";"Closed";
1179253;"SACRED HEART SCHOOL";"500 SMITH RD";"FREMONT";"OH";43420;"SANDUSKY";4193327339;"http://www.sacredheart-fremont.org/";"frchris@sacredheart-fremont.org";"Sacred Heart Parish is a Catholic Community dedicated to giving praise to God through communal worship, Christian formation and service to others.

 

In support of this mission, we are committed to

    fostering prayer

    providing holistic education and formation

    providing support and enrichment for all parishioners

    identifying and responding to others in need

    reaching out to the inactive and the unchurched with Christ’s message of love and salvation

    sharing with other faith communities

    being good stewards in the furtherance of these goals.
";"http://www.sacredheart-fremont.org/";"https://www.facebook.com/Sacred-Heart-Catholic-Church-153077171420667/";"http://www.sacredheart-fremont.org/job-opportunities";;"http://www.sacredheart-fremont.org/guidebook";;;;"x";;;"https://scontent.fkhi11-1.fna.fbcdn.net/v/t1.0-1/p200x200/11173382_928911890503854_8383256663172214448_n.jpg?_nc_cat=101&oh=a7003a0c0a6951cb79dea3bbbaec759b&oe=5C507ADA";"8:00am-4:00pm";"8:00am-4:00pm";"8:00am-4:00pm";"8:00am-4:00pm";"8:00am-2:00pm";"Closed";"Closed";
1179255;"SAFE HAVEN LEARNING ACADEMY LLC";"6156 CLEVELAND AVE";"COLUMBUS";"OH";43231;"FRANKLIN";6147764939;;;;;;;;;;;;;;;;;;;;;;;
1179256;"SAINT BRIDGET OF KILDARE SCHOOL";"5620 HAUSERMAN RD";"PARMA";"OH";44130;"CUYAHOGA";4408861468;"http://www.stbridget-parma.com";"hhawkfrank@stbridget-parma.com";"St. Bridget of Kildare Elementary School is a Pre-K through 8th grade Catholic elementary school located in Parma, Ohio. Our mission at St. Bridget of Kildare is to educate the mind, nurture the soul, and build the kingdom of God in a Christ centered atmosphere.  In addition to the mandated course of study, Religious Education and Sacramental Preparation, St. Bridget of Kildare School Offers

    Advanced Placement 7th and 8th Grade Algebra
    Art Education
    3D Printing/Computer Education
    Gifted and Talented Enrichment Program
    Music Education
    ​Duolingo Foreign Language Program";"http://www.stbridget-parma.com/welcome.html";"https://www.facebook.com/St-Bridget-of-Kildare-Elementary-School-435242713178563/";"http://www.stbridget-parma.com/jobs.html";"http://nebula.wsimg.com/7ea8b00b221c38cbf756466684da9c19?AccessKeyId=C10687A745C23972C1F8&disposition=0&alloworigin=1";;;;"x";;;;"http://nebula.wsimg.com/329c92c19276f4f4a40d35c8276626ae?AccessKeyId=C10687A745C23972C1F8&disposition=0&alloworigin=1";"8:15am - 10:45am ";"8:15am - 10:45am";"8:15am - 10:45am ";"8:15am - 10:45am";"8:15am - 10:45am ";"Closed";"Closed";
1179257;"SAINT JOHN SCHOOL";"7911 DEPOT RD";"ASHTABULA";"OH";44004;"ASHTABULA";4409975531;"http://www.sjheralds.org/";"maureen.burke@neomin.org";"Catholic Education has been a vital presence in Ashtabula for 150 years.

The oldest of the parishes in Ashtabula, Saint Joseph Parish, opened an elementary school in September 1865 when the Reverend John Tracey was pastor. The building that is currently recognized as the school building was built in 1877. In the early years of the school, the Sisters of Saint Joseph and the Sisters of Charity from Cincinnati were engaged as teachers for the school. In 1897, the Holy Humility of Mary Sisters (the “Blue Nuns”) took charge of the educational program in the school.

In 1890, the growing population in the Ashtabula Harbor area led to the establishment of Mother of Sorrows Parish and the opening of Mother of Sorrows School. The founding principal was Miss Mary Cox. By 1892, the Sisters of Saint Joseph from West Baden, Pennsylvania were in charge of the educational operation of the school. In future years, the Sisters of the Benedictine order from Erie, Pennsylvania, the Sisters of Charity of Saint Augustine, the Sisters of Notre Dame and the Holy Humility of Mary Sisters staffed the school as teachers and administrators.

In September of 1954, Our Lady of Mount Carmel was opened under the leadership of Father Joseph A. Feicht..

Responding to the needs of the Ashtabula area, the Diocese of Youngstown recognized the need for a Catholic high school in the Ashtabula area in the early 1950’s. The Saint John school building was purchased on the June 24, 1952, the feast day of Saint John the Baptist, for whom the school is named. The building was formerly the Station Avenue School and housed elementary classes from 1890-1952. In September 1953, Saint John High School opened. On November 5, 1953, the school building was destroyed by fire, delaying the formal dedication. While the building was rebuilt, classes were held in Saint Joseph School and the Pacific School annex. The formal dedication of the school was held on November 14, 1953. By September of 1954, the building was ready to re-open and all of the students were back under one roof. In 1963, growing enrollment led to the need for building on an addition.

The Reverend Joseph Feicht was the founding pastor and Sister Visitation (Elizabeth Staudt) H.H.M. was the first principal. The Sisters of the Holy Humility of Mary played a vital role in the academic and religious development of the school. Diocesan priests provided leadership and direction through a variety of academic and spiritual roles. Father John Hoey, Father Robert Flynn, Father Frederick Slavin, and Father Paul Tobin have had official positions, while priests serving the local parishes have also provided pastoral services to the students.

In 1989, the three area Catholic elementary schools, Saint Joseph, Mother of Sorrows and Mount Carmel underwent a consolidation plan and became the Ashtabula Catholic Elementary School (ACES) and were housed at Mother of Sorrows Parish and Mount Carmel Parish (for a short time the 7th and 8th grade of the consolidated school was housed at the St. John’s high school building).

In 1992, due to declining enrollment and accompanying financial problems, the Youngstown Diocese made the decision to close Saint John High School. Notwithstanding that decision, a committed and enthusiastic group of parents, teachers and community supporters banded together to re-open Saint John as an independent Catholic High School. After raising significant money to retire the school debt, this group sought to purchase Saint John from the diocese. The diocese agreed to sell the building and its contents to Saint John supporters for $100. In September of 1992, Saint John High School re-opened as an Independent Catholic High School under the governance of a Board of Directors.

In 1997, reorganization again took place. There was a consolidation of all of the Catholic schools in the Ashtabula area and Saint John Catholic School was born under the governance of the Youngstown Diocese. This was a K-12 school with two campuses: a K-6 campus at the Mount Carmel Parish on Columbus Ave. and a 7-12 campus at the Saint John Building on Station Ave.
 
In 2012 the Board was approached by a group of alumni and community members to purchase the Saybrook public school on Depot Road in Saybrook Township. The school would be able to house the enitre PreK-12 student body. The Board approached the Diocese about the possibility and in August 2012 the school opened the doors at the new location.

The new location underwent a major transformation with more than 200 volunteers assisting in the project. The school now has a new cafeteria and kitchen, new science labs, and many other state of the art facilities.

Throughout the years, the school has retained its commitment to fostering scholarship, faith and leadership. The family spirit, the importance of tradition, and the commitment to the young people of the area have allowed for the preservation of Catholic education in Ashtabula. It is a proud history and we embrace it as our legacy for the future.";"http://www.sjheralds.org/Default.aspx";"https://www.facebook.com/StJohnAshtabula/";"http://www.sjheralds.org/Employment.aspx";"http://www.sjheralds.org/EnrollmentForms.aspx";"http://www.sjheralds.org/Parent-StudentHandbook.aspx";;;;"x";"x";;"http://www.sjheralds.org/sysimages/logo.png";"7:30 am – 2:20 pm";"7:30 am – 2:20 pm";"7:30 am – 2:20 pm";"7:30 am – 2:20 pm";"7:30 am – 2:20 pm";"Closed";"Closed";
1179259;"SALEMTOWNSHIP ELEMENTARY SCHOOL";"605 WELCH RD";"MORROW";"OH";45152;"WARREN";5138995275;"https://www.littlemiamischools.com/salem-township-elementary/home-1/";"salemelempto@gmail.com";"Salem Elementary operates as a K-4 building with Lisa Smith as principal, Cory Taylor as K-2 Assistant Principal, and Jamie Miles as 3-4 Assistant Principal. While our K-2 classrooms remain self-contained, the 3-4 classes will work as Language Arts/Social Studies and Math/Science teams.

Our highest priority is to attain student growth in all grade levels. We look forward to getting to know our students and families as we progress through the year. Please do not hesitate to contact us should you have any questions or concerns.";"https://www.littlemiamischools.com/salem-township-elementary/home-1/";"https://www.facebook.com/pg/SalemTownshipPTO/";;"https://www.littlemiamischools.com/departments/central-registration-10/preschool-registration-28/";"https://www.littlemiamischools.com/media/documents/17-18%20K-4%20Elem%20Sch%20Hdbk%208-5-17.pdf";;;"x";;;;"https://scontent.fkhi11-1.fna.fbcdn.net/v/t1.0-1/39575571_2196970083856088_8520779055824371712_n.png?_nc_cat=111&oh=22b3d456173907d13aa5e77856fdfca8&oe=5C1B1BB0";"8:55 am  - 3:50 pm";"8:55 am  - 3:50 pm";"8:55 am  - 3:50 pm";"8:55 am  - 3:50 pm";"8:55 am  - 3:50 pm";"Closed";"Closed";
1179260;"SAM SALEM COMMUNITY LEARNING CENTER";"1222 W WATERLOO RD";"AKRON";"OH";44314;"SUMMIT";3308485231;"https://samsalemclc.akronschools.com/";"apanning@apslearns.org";"Sam Salem Community Learning Center opened to students on August 27, 2008. The original school building was a 14-room, brick building constructed in 1922. It was known at that time as Highland Park Elementary, after the Kenmore village neighborhood in which it was located before it was annexed by Akron Public Schools. The school was renamed Sam Salem Elementary School in January, 2000, after Sam Salem, who was the longest-serving school board member (28 years of service) in the history of Akron Public Schools.";"https://samsalemclc.akronschools.com/";"https://www.facebook.com/akronpublicschools/";;"https://samsalemclc.akronschools.com/for_students";"https://barberclc.akronschools.com/UserFiles/Servers/Server_425220/File/APS%2018-19%20Handbook.pdf";;;"x";"x";;;"https://scontent.fkhi11-1.fna.fbcdn.net/v/t1.0-1/10926436_10152670037742424_5292306928963556183_n.jpg?_nc_cat=101&oh=70ffaa23886e7db7bb6420eb3af8aae2&oe=5C4F0D35";"8:30 am  - 2:30 pm";"8:30 am  - 2:30 pm";"8:30 am  - 2:30 pm";"8:30 am  - 2:30 pm";"8:30 am  - 2:30 pm";"Closed";"Closed";
1179263;"SANDS MONTESSORI ELEMENTARY SCHOOL";"6421 CORBLY RD";"CINCINNATI";"OH";45230;"HAMILTON";5133635000;"https://sandsmontessori.cps-k12.org/";"crawfoj@cpsboe.k12.oh.us";"Sands Montessori School's mission is to provide a culturally integrated quality education for each child using Maria Montessori's method and her philosophy of ""Education for Life."" We are committed to the development of the whole child fulfilling his/her intellectual, social, spiritual and physical needs. The success of our mission will be strengthened by the establishment of a partnership among child, school community and family. It is our ultimate goal to prepare each child to become a citizen of the world.";"https://sandsmontessori.cps-k12.org/";"https://www.facebook.com/CincinnatiPublicSchools";;"https://sandsmontessori.cps-k12.org/enroll";"https://sandsmontessori.cps-k12.org/resources/school-policies";;;"x";"x";;;"https://sandsmontessori.cps-k12.org/sites/sandsmontessori.cps-k12.org/files/logo-cps2016.png";"9:15 a.m. - 3:45 p.m";"9:15 a.m. - 3:45 p.m";"9:15 a.m. - 3:45 p.m";"9:15 a.m. - 3:45 p.m";"9:15 a.m. - 3:45 p.m";"Closed";"Closed";
1179264;"SANDUSKY CENTRAL ELEMENTARY CAMPUS";"530 DECATUR ST";"SANDUSKY";"OH";44870;"ERIE";4196261892;"http://www.sanduskycentralcatholicschool.com/";"gpalmer@sanduskycc.org";"Welcome to Sandusky Central Catholic School. We are proud of our rich history, strong tradition of excellence and innovative future. What was once four unique schools has become one PreK-12 campus committed to forming leaders in the Church and the community. Our mission of strengthening the body, challenging the mind, and enriching the spirit encapsulates what we are all about: forming well-rounded men and women dedicated to Christ.

We invite you to take time to explore the vast amount of information about our school and the opportunities available to our students and families. Through our website you can learn about our academic and athletic opportunities, involvement in the community or the many ways to support our mission. If you would like to come and experience the Panther Spirit consider joining us as a “Panther for a Day” by contacting Mrs. Chrissy Snow, Admissions Coordinator at 419.626.1892 ext. 311.";"http://www.sanduskycentralcatholicschool.com/";"https://www.facebook.com/SCCSPanthers/";"http://sanduskycc.org/cms/One.aspx?portalId=20253930&pageId=20727975";"http://sanduskycc.org/cms/One.aspx?portalId=20253930&pageId=20731929";"http://sanduskycc.org/UserFiles/Servers/Server_20253846/File/Sandusky/Forms/2016prekhandbook.pdf";;;"x";"x";;;;"8:00 am -2:20 pm";"8:00 am -2:20 pm";"8:00 am -2:20 pm";"8:00 am -2:20 pm";"8:00 am -2:20 pm";"Closed";"Closed";
