"Id";"Name";"Address";"City";"State";"Zip";"County";"Phone";"Main url";"Email";"Details";"location website";"Facebook page";"Career employment";"Application/registration url";"handbook";"Infant (under 12 months)";"Toddler (1-2yrs)";"Preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url";"monday hour";"tuesday hour";"wednesday hour";"thursday hour";"friday hours";"saturday hour";"sunday hour";"notes"
1179569;"SYMMES SCHOOL";"11820 ENYART RD";"LOVELAND";"OH";45140;"CLERMONT";5136744200;"https://www.sycamoreschools.org/";"vankirka@sycamoreschools.org";"

The students, staff, and parents at Symmes Elementary are committed to academic success, technology education, and the social and emotional growth of every student. At Symmes, we want every child to reach his or her full potential as a learner and as a successful citizen. 
";"https://www.sycamoreschools.org/symmes";"https://www.facebook.com/pg/www.symmeselementary.org/";"https://www.sycamoreschools.org/Page/2255";"https://www.sycamoreschools.org/Page/2397";"https://www.sycamoreschools.org/Page/2676";;;;;;;"https://scontent-mrs1-1.xx.fbcdn.net/v/t1.0-1/r270/p200x200/40263501_2150303011894432_2711317007474622464_n.jpg?_nc_cat=108&_nc_eui2=AeH7xNvYuP0w5XPmXJzSJTK0NUUbwF7-L_H8OSWVyQ0YQQzUN6Z7I3n3HxC_nGyU_9r9F2U96LY-5-NaL4DhZCZ9JQr4SToI_Y0cwhlIgQz5Ug&_nc_ht=scontent-mrs1-1.xx&oh=2babe38c9a8e7a8aaf8ff3a895b123d1&oe=5C424F44";"9:15 A.M. - 3:45 P.M.";"9:15 A.M. - 3:45 P.M.";"9:15 A.M. - 3:45 P.M.";"9:15 A.M. - 3:45 P.M.";"9:15 A.M. - 3:45 P.M.";"Closed";"Closed";
1179570;"T C KNAPP ELEMENTARY SCHOOL";"5151 OAKCLIFF ST SW";"CANTON";"OH";44706;"STARK";3304786174;"http://perrylocal.org/";"tricia.self@perrylocal.org";"To come together as a community joining church, school, civic groups, and area businesses 
to pull our resources to help feed and clothe Perry residents in need.
To share our knowledge and skills with each other, making Perry the place to live and raise a 
family";"http://perrylocal.org/knapp/";"https://www.facebook.com/pg/theknappelementary/";"http://perrylocal.org/community/employment/certified-employment-opportunities/";"https://perryregistration.sparcc.org/start/registration.php";"http://perrylocal.org/lohr/files/2018/08/Perry-Schools-Elementary-Handbook-2018-19.pdf";;;;"x";;;"https://scontent-mrs1-1.xx.fbcdn.net/v/t1.0-1/p200x200/14716251_761315060674486_5262838622974752125_n.jpg?_nc_cat=100&_nc_eui2=AeEhvyZnDbCQdYqn7Ki5qh3BnEStzd84R77rOQPKu2LbZVj-Qja46emqK1pbC0f7Hl78RXK4nvdDB8TgpIfHSRFw3ZnRmrq1_-EOgWliaeOvQg&_nc_ht=scontent-mrs1-1.xx&oh=54853fb18eec98f2d0700c3046deaf3e&oe=5C4E1B5B";"9:00 AM- 3:35 PM";"9:00 AM- 3:35 PM";"9:00 AM- 3:35 PM";"9:00 AM- 3:35 PM";"9:00 AM- 3:35 PM";"Closed";"Closed";
1179571;"T.V.M.S. SCHOOL";"1360 MAIN ST";"DRESDEN";"OH";43821;"MUSKINGUM";7404524518;"http://www.tri-valley.k12.oh.us";"melissa.smith@tvschools.org";;"http://www.tri-valley.k12.oh.us/2/home";"https://www.facebook.com/Tri-Valley-Middle-School-662264130541310/";"http://www.tvschools.org/Content2/employment";"http://www.tvschools.org/Content/student-registration";"http://www.tri-valley.k12.oh.us/docs/building/2/2018-2019%20tvms%20student%20handbook.pdf?id=154978";;;;;;;;"7:50
a.m. to 
2:15 p.m";"7:50
a.m. to 
2:15 p.m";"7:50
a.m. to 
2:15 p.m";"7:50
a.m. to 
2:15 p.m";"7:50
a.m. to 
2:15 p.m";"Closed";"Closed";
1179572;"TAFT ELEMENTARY SCHOOL";"730 E AVONDALE AVE";"YOUNGSTOWN";"OH";44502;"MAHONING";3307447973;"http://ycsd.org/";"shari.zackasee@youngstown.k12.oh.us ";"The vision of the Taft Elementary School Counseling Program is for all students to depart empowered with the knowledge and skills necessary to achieve academic, personal/social, and career success, and to reach their fullest potential as respectful, responsible citizens.";"http://taft.ycsd.org/";"https://www.facebook.com/pages/Taft-Elementary-School/611991332257755";"https://www.applitrack.com/youngstown/onlineapp/";"http://www.ycsd.org/departments/student_services/enrollment__registration";;;;"x";"x";;;"http://p16cdn4static.sharpschool.com/UserFiles/Servers/Server_477115/Image/mascot.jpg";"8:15 AM - 3:45 PM";"8:15 AM - 3:45 PM";"8:15 AM - 3:45 PM";"8:15 AM - 3:45 PM";"8:15 AM - 3:45 PM";"Closed";"Closed";
1179577;"TARBUCK LEARNING CENTER SCHOOL";"4325 MANCHESTER RD";"PERRY";"OH";44081;"LAKE";4403502563;;;;;;;;;;;;;;;;;;;;;;;
1179580;"TAYLOR ROAD SCHOOL";"8200 TAYLOR RD SW";"REYNOLDSBURG";"OH";43068;"FRANKLIN";6144453750;"http://www.reyn.org/";"jamie.johnson@reyn.org";"Taylor Road
Elementary
faculty and staff extend a warm welcome to our learners and their families 
as they become part of the
Tornado
community.  We believe that learners in our educational 
community will be provided with ample opportunities 
to explore, learn, grow and be challenged in a 
safe, nurturing environment.  ";"http://www.reyn.org/taylorroadelementary_home.aspx";"https://www.facebook.com/pg/Taylor-Road-Elementary-110286628993945/";"http://www.reyn.org/Employment.aspx";"http://www.reyn.org/ProspectiveFamilies.aspx";"http://filecabinet.eschoolview.com/8E3F9480-1E80-4CD9-96A6-533183CC7A75/TREElementaryHandbook1819SYupdated.pdf";;;;;;;"https://scontent-mrs1-1.xx.fbcdn.net/v/t1.0-1/c0.11.144.144/47398_148403041848970_1644891_n.jpg?_nc_cat=110&_nc_eui2=AeFJhp9wYG9P9yZuPPlBg-oIeI-UzDQtfAI_voKwpAmTcIoVaoeWrrM6y65dR8BYb2mOEKcjSKvZeGSlSBEu-aoFeigSeNnBdrkzxavsS_acbg&_nc_ht=scontent-mrs1-1.xx&oh=ec2dcee3aeaee745e13ee97fbbd8bf6d&oe=5C4638AF";"7:55 a.m- 2:35 p.m";"7:55 a.m- 2:35 p.m";"7:55 a.m- 2:35 p.m";"7:55 a.m- 2:35 p.m";"7:55 a.m- 2:35 p.m";"Closed";"Closed";
1179584;"TEAM D.D. (DETERMINED TO SUCCEED DESTINED FOR GREATNESS), LLC";"492 OAKWOOD AVE";"COLUMBUS";"OH";43205;"FRANKLIN";6144325689;;;;;;;;;;;;;;;;;;;;;;;
1179588;"TEMPLE CHRISTIAN SCHOOL SCH";"982 BROWER RD";"LIMA";"OH";45801;"ALLEN";4192271644;"https://www.tcspioneers.org/";"bowmanb@tcspioneers.org";"We believe that a Christ-centered school is essential in our world today.  We realize the strength of our enemy and the need to equip our children with the tools to combat the enemy.  We want our students to continue to grow spiritually in the Christian faith becoming excellent leaders in the community, churches, and overseas/domestic ministries.  We desire for them to have an education which will prepare them mentally, physically, and spiritually according to the Scriptures.

Our purpose as a Christian school is to encourage students to believe in God (John 3:16).  Additionally, we focus on academic achievement to prepare students for living in today’s world.  TCS integrates the academic content areas with Biblical knowledge, character, and moral development, all going hand in hand to produce Christians with leadership and responsibility for the calling that He places upon each of His children.";"https://www.tcspioneers.org/";"https://www.facebook.com/TempleChristianSchoolLima/";"https://www.tcspioneers.org/contact-us/employment-opportunities/";"https://www.tcspioneers.org/a/admissions/onlineApp1.php";"https://www.tcspioneers.org/wp-content/uploads/2018/08/2018-TCS-Handbook.pdf";;;"x";"x";;;"https://scontent-mrs1-1.xx.fbcdn.net/v/t1.0-1/p200x200/10986676_927975933899808_7571047327934535865_n.jpg?_nc_cat=104&_nc_eui2=AeHPQLHTsTV0lDUqWv8uFrnIiDTy2hm9g8hEKB5IS2OIeh8tk1ojP8lxs9wIiLejDKsbawdav-zQlPHhD9trPV1a_SQEC1fVfIlS6lbPV_6O7w&_nc_ht=scontent-mrs1-1.xx&oh=da2b6723e976e7956e291dd5417cabfd&oe=5C3CCFE0";"6:30 am – 5:30 pm";"6:30 am – 5:30 pm";"6:30 am – 5:30 pm";"6:30 am – 5:30 pm";"6:30 am – 5:30 pm";"Closed";"Closed";
1179589;"TERRACE PARK SCHOOL";"723 ELM AVE";"TERRACE PARK";"OH";45174;"HAMILTON";5136744200;"http://www.mariemontschools.org/";"TCroll@mariemontschools.org";"The campus is located in the Village of Terrace Park. Turn south onto Elm Avenue at the intersection of Elm Avenue, Given Road and Wooster Pike. The school is 1/2 mile on the left. The elementary school day from from 8:30am-3:20pm.";"http://www.mariemontschools.org/terrace-park-elementary-school";"https://www.facebook.com/pages/Terrace-Park-Elementary-School/1393570130934771";"http://www.mariemontschools.org/about/employment";"http://www.mariemontschools.org/mariemont-school-district-registration-and-forms/new-student-registration";"https://campussuite-storage.s3.amazonaws.com/prod/762884/7edb9736-d39b-11e6-b7b7-22000bd8490f/1791459/94773680-6f20-11e8-b522-0a92f25cc7d8/file/2018%20-%202019%20ELEMENTARY%20handbook%20Final.pdf";;;;"x";;;"https://campussuite-storage.s3.amazonaws.com/prod/762884/7edb9736-d39b-11e6-b7b7-22000bd8490f/924636/fd32be79-134b-11e7-b6d9-22000bd8490f/file/mariemont-logo.png";"8:30 a.m-3:20p.m";"8:30 a.m-3:20p.m";"8:30 a.m-3:20p.m";"8:30 a.m-3:20p.m";"8:30 a.m-3:20p.m";"Closed";"Closed";
1179593;"THE ACADEMY- LEBANON CHRISTIAN";"130 COOK RD";"LEBANON";"OH";45036;"WARREN";5132280677;"http://www.lebanonchristianschool.org/";"academy@lebanonchristianschool.org";"The Academy, located at 130 Cook Rd., serves students from 2.5 through 5 years old. The Academy offers both traditional school year and year round options for half and full days. We blend teacher-directed and child-initiated activities to encourage academic success for preschool students in all developmental stages in the areas of Language Arts, Math, Science, Spanish, and Bible. We believe children learn through a combination of structured activities and play. Enrichment programs are provided for our all day students including Music, Spanish, Gym, and Art.";"http://www.lebanonchristianschool.org/contact-us/the-academy-%E2%80%93-lebanon-christian-preschool-3/";"https://www.facebook.com/pg/LebanonChristianSchools/";;"http://www.lebanonchristianschool.org/our-schools/the-academy---pre-school-pre-k-4/admissions-17/";"http://www.lebanonchristianschool.org/media/documents/Parent_Student%20Handbook%202017-2018.pdf";;;"x";"x";"x";;"https://scontent-mrs1-1.xx.fbcdn.net/v/t1.0-1/c2.0.200.200/p200x200/17361892_1604659649562232_3766756478904360491_n.jpg?_nc_cat=107&_nc_eui2=AeEGsmcULqMXGIY-76RLWd-XTbuAyyyrIn0vLeQ9c9lVPXTiWCyWROV5yw-SoeJ01_Bz8b2vLXwI3lLTqDz2yUcQhvbi_rHSDiovje2V6kcRhg&_nc_ht=scontent-mrs1-1.xx&oh=f94f516f82c6af0d29feecaf26dba931&oe=5C567B9C";"8:45 a.m - 3:00pm";"8:45 a.m - 3:00pm";"8:45 a.m - 3:00pm";"8:45 a.m - 3:00pm";"8:45 a.m - 3:00pm";"Closed";"Closed";
