"id";"name";"address";"city";"state";"zip";"county";"phone";"main url";"email";"details";"location website";"facebook page";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url";"monday hour";"tuesday hour";"wednesday hour";"thursday hour";"friday hours";"saturday hour";"sunday hour";"notes"
1177706;"ARCHBOLD MIDDLE SCHOOL";"306 STRYKER ST";"ARCHBOLD";"OH";43502;"FULTON";"(419) 446-2726";"http://archbold.k12.oh.us/";"rwyse@archboldschools.org";"AMS is a special place for students to learn and grow.  We have a strong COMMUNITY of students and staff for the 2017-2018 school year!  It is inspiring to visit the classrooms and be involved in the challenging and motivating lessons that our students are engaged in every day.  No matter the specific role a TEAM member plays; from cook, to teacher, to custodian, all are committed to providing every student with an extremely positive school experience.";"http://archbold.k12.oh.us/middle";"https://www.facebook.com/Archbold-Area-Schools-177873139241/";"http://archbold.k12.oh.us/jobs";"http://archbold.k12.oh.us/files/2018_2019_OE_Application.pdf";"http://archbold.k12.oh.us/files/AMS/AMSHandbook.pdf";;;;;;;"https://www.facebook.com/177873139241/photos/a.432140429241.234380.177873139241/177873724241/?type=3&theater";"8AM - 12PM";"8AM - 12PM";"8AM - 12PM";"8AM - 12PM";"8AM - 12PM";"Closed";"Closed";
1177702;"ARCADIA SCHOOL";"19033 STATE ROUTE 12";"ARCADIA";"OH";44804;"HANCOCK";"(419) 894-6431 ext. 316";"http://www.arcadia.noacsc.org/";"veral@hancockesc.org";"We are a special needs preschool that services children ages 3-5 years old who qualify with significant delays in the areas of speech/language, fine motor and large motor abilities, behavior, cognitive, and/or social/emotional.  We are an inclusive classroom of children with special needs and  typically developing peers who serve as role models. ";"http://www.arcadia.noacsc.org/Mrs_Vera.aspx";;"http://www.arcadia.noacsc.org/Downloads/employment%20application.pdf";"http://www.arcadia.noacsc.org/Downloads/2018-2019_Open_Enrollment_Form.pdf";"http://www.arcadia.noacsc.org/Downloads/2017-18_Elem_Student-Parent_Handbook2.pdf";;;"x";"x";"x";;"http://www.arcadia.noacsc.org/sysimages/logo.png";"(7:35 - 10:45) AM and (11:35 - 2:45) PM";"(7:35 - 10:45) AM and (11:35 - 2:45) PM";"(7:35 - 10:45) AM and (11:35 - 2:45) PM";"(7:35 - 10:45) AM and (11:35 - 2:45) PM";"(7:35 - 10:45) AM and (11:35 - 2:45) PM";"Closed";"Closed";
1177703;"ARCANUM EARLY LEARNING CENTER";"310 N MAIN ST";"ARCANUM";"OH";45304;"DARKE";"(937) 692-5092";"http://www.arcanum-butler.k12.oh.us/";;"Welcome to Arcanum Early Learning Center! You have made the important decision to invest time, energy, and finances into an essential time period: your child’s early childhood development! We feel that families play an important part in making our program a success. Therefore, it is our goal to work with families to insure your child grows socially, emotionally, and physically.";"http://www.arcanum-butler.k12.oh.us/4/Home";;"http://www.arcanum-butler.k12.oh.us/Employment";"http://www.arcanum-butler.k12.oh.us/docs/early%20learning%20center%20enrollment%20form.pdf";"http://www.arcanum-butler.k12.oh.us/userfiles/70/my%20files/aelc/1718%20start/aelc%20handbook%202017-2018.pdf?id=2046";;;"x";"x";"x";;;"(8:45 - 11:15) AM and (12:45 - 3:15) PM";"Closed";"(8:45 - 11:15) AM and (12:45 - 3:15) PM";"Closed";"(8:45 - 11:15) AM and (12:45 - 3:15) PM";"Closed";"Closed";
1177701;"APS PRESCHOOL";"1160 WINHURST DR";"AKRON";"OH";44313;"SUMMIT";"(330) 873-3396";"https://www.akronschools.com/";"preschool@apslearns.org";"Essex is a dedicated early learning facility providing children ages 3-5 with affordable, structured preschool and Pre-K programs to set them up for success as they enter kindergarten. Our program integrates typically developing children with those with special needs.";"https://preschool.akronschools.com/essex_location";"https://www.facebook.com/akronpublicschools/";"https://www.applitrack.com/akron/onlineapp/";"https://akronschools.com/departments/enrollment_and_registration";"https://preschool.akronschools.com/UserFiles/Servers/Server_437789/File/Parent%20Handbook%202017-2018.pdf";;;"x";"x";"x";"x";"https://p14cdn4static.sharpschool.com/UserFiles/Servers/Server_438211/Image/APS-vert_fullcolorRGB_whitetext.png";"8:15AM - 1:30PM";"8:15AM - 1:30PM";"8:15AM - 1:30PM";"8:15AM - 1:30PM";"8:15AM - 1:30PM";"Closed";"Closed";
1177711;"ARTHUR ROAD ELEMENTARY SCHOOL";"33425 ARTHUR RD";"SOLON";"OH";44139;"CUYAHOGA";4403496210;"https://www.solonschools.org/";"bethpoe@solonboe.org";"Solon City Schools, a diverse collaborative learning community of families, staff, and community members, will ensure all students attain the knowledge and skills to succeed and become contributing, ethical citizens in a global society, through our unwavering commitment to inspire every student to achieve personal excellence.";"https://www.solonschools.org/domain/501";"https://www.facebook.com/Solon-Schools-169023183155404/";"https://www.solonschools.org/site/Default.aspx?PageID=27";"https://www.solonschools.org/site/Default.aspx?PageID=64";"https://www.solonschools.org/cms/lib/OH01814653/Centricity/Domain/34/Preschool%20Handbook%202017-18.pdf";;;;;;"x";"https://www.solonschools.org/cms/lib/OH01814653/Centricity/Template/GlobalAssets/images///logos/NewSolonLogo2016.png";"8AM - 10:30AM";"8AM - 10:30AM";"8AM - 10:30AM";"8AM - 10:30AM";"Closed";"Closed";"Closed";
1177710;"ARTEMUS WARD";"4315 W 140TH ST";"CLEVELAND";"OH";44135;"CUYAHOGA";2169207055;"http://www.clevelandmetroschools.org/Page/879";"Christopher.Myslenski@ClevelandMetroSchools.org";"Artemus Ward provides all students with a safe and nurturing environment to support the development of academic excellence and the creation of civic-minded members of society who make ethical decisions. This is accomplished through the use of a core curriculum that respects the individuality of each student and encourages them to maintain the highest expectations for themselves as they aspire to become productive and contributing members of society. ";"http://www.clevelandmetroschools.org/domain/785";;;;"http://www.clevelandmetroschools.org/Page/12227";;;;;;;"http://www.clevelandmetroschools.org/cms/lib05/OH01915844/Centricity/Template/GlobalAssets/images///logos/Artemus_WardCardinalwebLogo.png";;;;;;;;
1177708;"ARLINGTON LOCAL SCHOOL";"336 S MAIN ST";"ARLINGTON";"OH";45814;"HANCOCK";4194227525;"https://www.arlingtonlocalschools.com/";;;"https://www.arlingtonlocalschools.com/";;;"https://www.arlingtonlocalschools.com/upload/forms/enrollment.pdf";"https://www.arlingtonlocalschools.com/upload/documents/Elem_Documents/2017-18_student_handbook_396_4.pdf";;;;;;;"https://www.arlingtonlocalschools.com/upload/images/logos/arlingtonheader-clipped.png";"8AM - 11AM";"8AM - 11AM";"8AM - 11AM";"8AM - 11AM";"Closed";"Closed";"Closed";
1177715;"ASHTABULA COUNTY TECHNICAL AND CAREER CAMPUS";"1565 STATE ROUTE 167";"JEFFERSON";"OH";44047;"ASHTABULA";4405766015;"http://atech.edu/";;;;;;;;;;;;;;;"Closed";"8:15AM - 10:45AM";"8:15AM - 10:45AM";"8:15AM - 10:45AM";"Closed";"Closed";"Closed";
1177716;"ASHVILLE SCHOOL";"90 WALNUT ST";"ASHVILLE";"OH";43103;"PICKAWAY";7404747529;"http://www.tvsd.us/ashvilleelementary_home.aspx";"award@tvsd.us";"A preschool program is offered at the four elementary schools in the Teays Valley School District. This program is for children with special needs. Although there are a few spots for regular education students, these spots fill up quickly.";"http://www.tvsd.us/preschoolprogram6438.aspx";"https://www.facebook.com/teaysvalleyschools/";;"https://filecabinet5.eschoolview.com/81BD1B65-B8DE-4FE2-B523-573D5C282B0A/Preschool%20Registration%20Packet%202017-2018.pdf";;;;"x";"x";;"x";"http://www.tvsd.us/sysimages/LOGO.png";"8:45AM - 11:30AM";"8:45AM - 11:30AM";"8:45AM - 11:30AM";"8:45AM - 11:30AM";"Closed";"Closed";"Closed";
1177714;"ASHLAND-W HOLMES CAREER CENTER";"1783 STATE ROUTE 60";"ASHLAND";"OH";44805;"ASHLAND";4192893313;"https://www.acwhcc.org/";"meehans@acwhcc.org";"Activities that enhance a child’s intellectual, social, emotional, and physical development. Create, research, and provide developmentally appropriate learning materials and activities that make learning fun while operating a state certified preschool.";"https://www.acwhcc.org/high-school/campus-programs/early-childhood-education";"https://www.facebook.com/Ashland-County-West-Holmes-Career-Center-301835556512214/";"https://www.acwhcc.org/about/employment-opportunities";"https://docs.google.com/forms/d/e/1FAIpQLSfEzdYB-gWwLUyuYfObQq7Y-dxlKZC4zJRG0vJcicaKLhsytA/viewform";"https://www.acwhcc.org/upload/2017-2018_student_handbook_website.pdf";;;"x";"x";;"x";"https://www.acwhcc.org/upload/images/logos/acwhcc-logo.png";"Closed";"(9 - 11) AM and (12:15 - 2:15) PM";"(9 - 11) AM and (12:15 - 2:15) PM";"(9 - 11) AM and (12:15 - 2:15) PM";"Closed";"Closed";"Closed";
