"ID";"Name";"Address";"State";"City";"Zip";"Phone";"Services";"License Expires";"Capacity";"Facility Type";"DetailsRef";"Contact Name";"Financial Assistance";"Additional Classroom Types";"Night and Weekend Hours";"Meals Served";"Languages Spoken";"Bright Stars Rating";"RIDE CECE Approval";"Foundational Regulations";"Accepts CCAP";"Last date updated";"Website";"About Us";"Operation Hours Monday";"Operation Hours Tuesday";"Operation Hours Wednesday";"Operation Hours Thursday";"Operation Hours Friday";"Operation Hours Saturday";"Operation Hours Sunday";"Age Group"
183;"Children's Friend @ Dean";"13 Legion Drive";"RI";"Pawtucket";2860;"(401) 752-7700";;;72;"Center";"https://exceed.ri.gov/program-search-details/183";"Bethany Guathier";"CCAP";"State Pre-K,Head Start/Early Head Start";"None";"Breakfast,Lunch,Afternoon,Snack";"Spanish";5;"No";"DHS";"Yes";5/31/2020;"http://www.childrensfriend.org";"Head Start is a comprehensive child and family development program that promotes school readiness in low-income preschool children. Services include education, health, nutrition, social services, and other child and family supports. Parents are involved in their childrenвЂ™s learning, and the program helps families in meeting their educational, literacy, and employment goals.   The ChildrenвЂ™s Friend Head Start program has a number of options in order to meet the needs of families and children. Most children participate in a traditional center-based preschool classroom. Some children, whose parents are working, or in school or vocational training, participate in an extended day program at a ChildrenвЂ™s Friend location or with our Child Care/ Head Start partners.";"6:30am - 5:30pm";"6:30am - 5:30pm";"6:30am - 5:30pm";"6:30am - 5:30pm";"6:30am - 5:30pm";;;"3 - 5 years"
95;"Child's Play";"296 Angell St.";"RI";"Providence";2906;"(401) 331-8443";;;50;"Center";"https://exceed.ri.gov/program-search-details/95";"Ramona Braza";"Information  by program";"Not Applicable";"None";"Morning,Snack";;5;"No";"DHS";"No";6/3/2020;"http://www.childsplayri.org";"We are a NAEYC accredited, BrightStars rated  Parent Cooperative Preschool with programs for two, three and four year olds.  Parents do duty days in the classroom as well as serve on a committee and attend All School Meetings.";"8:30am - 2:00pm";"8:30am - 12:00pm";"8:30am - 2:00pm";"8:30am - 12:00pm";"8:30am - 2:00pm";;;"3 - 5 years, 1 - 4 years"
165;"Brown-Fox Point EC Ed Center";"150 HOPE ST";"RI";"Providence";2906;"(401) 521-5460";;;76;"Center";"https://exceed.ri.gov/program-search-details/165";"Emily Hamel";"CCAP";"Not Applicable";"None";"Breakfast,Lunch,Afternoon,Snack";"Chinese,German,Other,Portuguese,Spanish,Tagalog";5;"No";"DHS";"Yes";6/1/2020;"http://www.brownfoxpoint.org";"For more than forty years, Brown/Fox Point Early Childhood Education Center has provided a high quality full-day preschool program to families that live, work, or study in our community.";"7:30am - 5:30pm";"7:30am - 5:30pm";"7:30am - 5:30pm";"7:30am - 5:30pm";"7:30am - 5:30pm";;;"3 - 5 years"
167;"Crayons Early Care & Education Ctr";"3445 Post Road";"RI";"Warwick";2886;"(401) 738-7081";;;82;"Center";"https://exceed.ri.gov/program-search-details/167";" ";"CCAP";"Not Applicable";"None";"Morning,Snack,Afternoon,Snack";;5;"No";"DHS";"Yes";6/1/2020;"http://trudeaucenter.org/crayons";"Crayons Early Care &amp; Education Center Inc. has been established to provide young children and their families with a nurturing and stimulating environment.  It is our hope to develop a partnership with families in providing appropriate play experiences that support, assess and respond to each childвЂ™s individual development across nine learning domains: Cognitive Development, SocialвЂ“Emotional Development, Language Development, Literacy, Mathematics, Science, Social Studies, Creative Arts and Physical Health and Motor Development. All children are unique individuals whose experiences, abilities and needs are valued and respected.  Crayons endeavors to be responsive to each individual by providing a caring atmosphere and a curriculum that fosters trust, autonomy, initiative and creativity.";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";;;"2 months - 4 years, 3 - 5 years"
1083;"Washington Oak School";"801 Read Schoolhouse Road";"RI";"Coventry";2816;"(401) 397-1976";;;;"School";"https://exceed.ri.gov/program-search-details/1083";"Denise Ahern";"Information  by program";"Not Applicable";"None";;;5;"No";"Basic Education Program";"No";6/8/2020;"http://www.coventryschools.net";"This program has not yet provided this information.";"9:00am - 3:30pm";"9:00am - 3:30pm";"9:00am - 3:30pm";"9:00am - 3:30pm";"9:00am - 3:30pm";;;"3 - 5 years"
1159;"Children's Friend @ Baldwin";"50 Whitman Street";"RI";"Pawtucket";2860;"(401) 752-7600";;;36;"Center";"https://exceed.ri.gov/program-search-details/1159";"Amanda  Meldonian";"Information  by program";"Head Start/Early Head Start";"None";"Breakfast,Lunch";"Spanish";5;"N/A";"DHS";"No";6/5/2020;;"This program has not yet provided this information.";"8:30am - 2:30pm";"8:30am - 2:30pm";"8:30am - 2:30pm";"8:30am - 2:30pm";"8:30am - 2:30pm";;;"3 - 5 years"
2732;"Edward R. Martin Middle School Annex";"111 Brown Street";"RI";"East Providence";2914;"(401) 270-5421";;;90;"School";"https://exceed.ri.gov/program-search-details/2732";"Celeste Bowler";"Information  by program";"State Pre-K";"None";"Breakfast,Lunch,Afternoon,Snack";;5;"No";"Basic Education Program";"No";5/31/2020;"http://www.epschoolsri.com/prek";"In the spring of 2016 the East Providence School Department (EPSD) was awarded a grant from the Rhode Island Department of Education that funded the creation of seven pre-kindergarten classrooms. In the fall of 2016, the district opened two pre-kindergarten classrooms at Oldham Elementary School and five pre-kindergarten classrooms at Martin Middle School.   Our classrooms are staffed with teachers certified in Early Childhood Education by the Rhode Island Department of Education and with certified teacher assistants. Our staff believes every young child   deserves to have opportunities to learn, develop, and grow. Our preschoolers or вЂњTiny TowniesвЂќ engage in developmentally appropriate learning experiences that promote social, emotional, physical, and cognitive growth.   We welcome all resident children and their families, appreciate and value their cultural, racial, linguistic, and ethnic backgrounds, and celebrate вЂњTownie PrideвЂќ that is so ingrained in the East Providence community.    ";"8:40am - 2:40pm";"8:40am - 2:40pm";"8:40am - 2:40pm";"8:40am - 2:40pm";"8:40am - 2:40pm";;;"3 - 5 years"
219;"Child, Inc. -  Payan Street";"28 Payan Street  West";"RI";"Warwick";2893;"(401) 828-2888";;;138;"Center";"https://exceed.ri.gov/program-search-details/219";"Barbara  Taylor";"CCAP";"State Pre-K,Head Start/Early Head Start";"None";"Breakfast,Lunch,Afternoon,Snack";"Spanish";5;"Yes";"DHS";"Yes";5/31/2020;"http://www.childincri.org";"This program has not yet provided this information.";"6:30am - 6:00pm";"6:30am - 6:00pm";"6:30am - 6:00pm";"6:30am - 6:00pm";"6:30am - 6:00pm";;;"2 months - 4 years, 3 - 5 years"
234;"Comprehensive Comm.Action-Atwood";"848 Atwood Avenue";"RI";"Cranston";2920;"(401) 943-5160";;;197;"Center";"https://exceed.ri.gov/program-search-details/234";"Antonia Enright";"CCAP";"State Pre-K,Head Start/Early Head Start";"None";"Breakfast,Lunch,Afternoon,Snack";"Chinese,Italian,Mon-Khmer,,Cambodian,Other,Portuguese,Spanish";5;"Yes";"DHS";"Yes";5/31/2020;"http://www.comcap.org";"Non-profit Organization";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";;;"3 - 5 years"
255;"Woonsocket Head St/Karen Bouchard";"204 Warwick Street";"RI";"Woonsocket";2895;"(401) 769-1850";;;130;"Center";"https://exceed.ri.gov/program-search-details/255";"Erin  Smith";"CCAP";"Head Start/Early Head Start,State Pre-K";"None";"Breakfast,Lunch,Afternoon,Snack";"Spanish";5;"Yes";"DHS";"Yes";5/31/2020;;"This program has not yet provided this information.";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";;;"3 - 5 years"
