"Provider ID";"Date";"Ref"
183;;"https://earlylearningprograms.dhs.ri.gov/Provider/DownloadFile?ProviderId=183&FilePath=ProviderReport&FromType=Public&FileName=Children's%20Friend%20at%20Dean.pdf"
183;"2022-08-01";"https://earlylearningprograms.dhs.ri.gov/Provider/DownloadFile?ProviderId=183&FilePath=ProviderReport&FromType=Public&FileName=Children's%20Friend%20at%20Dean_Unannounced%20Monitoring%20Visit_8-1-2022.pdf"
165;"2022-01-13";"https://earlylearningprograms.dhs.ri.gov/Provider/DownloadFile?ProviderId=165&FilePath=ProviderReport&FromType=Public&FileName=Brown-Fox%20POint%20EC%20Ed%20Center_Unannounced%20Monitoring%20Visit_1-13-22.pdf"
165;"2022-09-23";"https://earlylearningprograms.dhs.ri.gov/Provider/DownloadFile?ProviderId=165&FilePath=ProviderReport&FromType=Public&FileName=Brown%20Fox%20Point%20EC%20Ed%20Center_Unannounced%20Monitoring%20Visit_9-23-2022.pdf"
219;"2021-10-19";"https://earlylearningprograms.dhs.ri.gov/Provider/DownloadFile?ProviderId=219&FilePath=ProviderReport&FromType=Public&FileName=Child%20Inc%20Payan%20Street_Unannounced%20Monitoring%20Visit_10-19-2021.pdf"
234;;"https://earlylearningprograms.dhs.ri.gov/Provider/DownloadFile?ProviderId=234&FilePath=ProviderReport&FromType=Public&FileName=CCAPAtwoodApril2022.pdf"
255;"2021-10-28";"https://earlylearningprograms.dhs.ri.gov/Provider/DownloadFile?ProviderId=255&FilePath=ProviderReport&FromType=Public&FileName=WoonsocketHeadStart_UannouncedMonitoringVisit_102821.pdf"
255;"2022-04-05";"https://earlylearningprograms.dhs.ri.gov/Provider/DownloadFile?ProviderId=255&FilePath=ProviderReport&FromType=Public&FileName=Woonsocket%20Head%20Start%20Karen%20Bouchard%20Building_Unannounced%20Monitoring%20Visit_4-5-2022.pdf"
232;"2022-09-15";"https://earlylearningprograms.dhs.ri.gov/Provider/DownloadFile?ProviderId=232&FilePath=ProviderReport&FromType=Public&FileName=Genesis%20Center_Unannounced%20Monitoring%20Visit_9-15-2022.pdf"
254;"2022-03-11";"https://earlylearningprograms.dhs.ri.gov/Provider/DownloadFile?ProviderId=254&FilePath=ProviderReport&FromType=Public&FileName=Woonsocket%20Head%20Start%20Bourdon%20Blvd_Unannounced%20Monitoring%20Visit_3-11-2022.pdf"
663;"2022-08-12";"https://earlylearningprograms.dhs.ri.gov/Provider/DownloadFile?ProviderId=663&FilePath=ProviderReport&FromType=Public&FileName=Fox%20Point%20Boys%20&amp;%20Girls%20Club_Unannounced%20Monitoring%20Visit_8-12-2022.pdf"
974;"2021-10-12";"https://earlylearningprograms.dhs.ri.gov/Provider/DownloadFile?ProviderId=974&FilePath=ProviderReport&FromType=Public&FileName=Charlestown%20Early%20Learning%20Center_Unannounced%20Monitoring%20Visit_10-12-2021.pdf"
974;"2022-03-30";"https://earlylearningprograms.dhs.ri.gov/Provider/DownloadFile?ProviderId=974&FilePath=ProviderReport&FromType=Public&FileName=Charlestown%20Early%20Learning%20Center_Unannounced%20Monitoring%20Report_3-30-2022.pdf"
975;"2021-10-12";"https://earlylearningprograms.dhs.ri.gov/Provider/DownloadFile?ProviderId=975&FilePath=ProviderReport&FromType=Public&FileName=St.%20Andrews%20Preschool_Unannounced%20Monitoring%20Visit_10-12-2021.pdf"
975;"2022-03-31";"https://earlylearningprograms.dhs.ri.gov/Provider/DownloadFile?ProviderId=975&FilePath=ProviderReport&FromType=Public&FileName=St%20Andrews%20Preschool_Unannounced%20Monitoring%20Visit_3-31-2022.pdf"
196;"2022-04-06";"https://earlylearningprograms.dhs.ri.gov/Provider/DownloadFile?ProviderId=196&FilePath=ProviderReport&FromType=Public&FileName=Capital%20City%20Smith%20Hill%20ECLC_Unannoucned%20Monitoring%20Visit_4-6-2022.pdf"
1128;"2021-11-24";"https://earlylearningprograms.dhs.ri.gov/Provider/DownloadFile?ProviderId=1128&FilePath=ProviderReport&FromType=Public&FileName=YMCA%20RI%20Steam%20Engine_Unannounced%20Monitoring%20Visit_11-24-21.pdf"
1128;"2022-07-20";"https://earlylearningprograms.dhs.ri.gov/Provider/DownloadFile?ProviderId=1128&FilePath=ProviderReport&FromType=Public&FileName=YWCA%20RI%20Steam%20Engine_Unannounced%20Monitoring%20Visit_7-20-2022.pdf"
1144;"2021-10-21";"https://earlylearningprograms.dhs.ri.gov/Provider/DownloadFile?ProviderId=1144&FilePath=ProviderReport&FromType=Public&FileName=Maple%20Hill%20Learning_Uannounced%20Monitoring%20Visit_10-21-2021.pdf"
1144;"2022-05-11";"https://earlylearningprograms.dhs.ri.gov/Provider/DownloadFile?ProviderId=1144&FilePath=ProviderReport&FromType=Public&FileName=Maple%20Hill%20Early%20Learning_Unannounced%20Monitoring%20Visit_5-11-2022.pdf"
2981;"2021-10-12";"https://earlylearningprograms.dhs.ri.gov/Provider/DownloadFile?ProviderId=2981&FilePath=ProviderReport&FromType=Public&FileName=Tri-County%20CAA%20Westerly%20Head%20Start_Unannounced%20Monitoring%20Visit_10-12-2021.pdf"
2981;"2022-05-05";"https://earlylearningprograms.dhs.ri.gov/Provider/DownloadFile?ProviderId=2981&FilePath=ProviderReport&FromType=Public&FileName=Tri-County%20CAA%20Westerly%20Head%20Start_Unannounced%20Monitoring%20Visit_5-5-2022.pdf"
