"id";"name";"address";"city";"state";"phone";"main website";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4"
64567;"AMAZING GRACE LUTHERAN PRESCHOOL";"10955 ELMORE ROAD";"ANCHORAGE";"AK";"907-522-3252";"http://www.amazinggracealaska.org/Preschool.html";"http://www.amazinggracealaska.org/Preschool.html";;;;"http://www.amazinggracealaska.org/Registration.html";;"n";"n";"y";"y";"n";"n";;;;;
64568;"ANCHOR LUTHERAN C.C./ CHILD WATCH";"8100 ARCTIC BLVD.";"ANCHORAGE";"AK";"907-522-3636";"http://www.anchorlutheranschool.com/";"http://www.anchorlutheranschool.com/";"https://www.facebook.com/pages/Anchor-Lutheran-School/136069509784747?v=wall";;;"http://www.alsalaska.org/Anchor_Lutheran_School/Enrollment_Inquiry.html";"http://www.alsalaska.org/Anchor_Lutheran_School/Handbooks_files/Parent%20%26%20Student%20Handbook%202012%20.pdf";"n";"n";"n";"y";"y";"n";"http://www.alsalaska.org/Anchor_Lutheran_School/Welcome_files/shapeimage_6.png";"http://www.alsalaska.org/Anchor_Lutheran_School/Welcome_files/shapeimage_9.png";"http://www.alsalaska.org/Anchor_Lutheran_School/Downloads_files/shapeimage_2.png";"http://www.alsalaska.org/Anchor_Lutheran_School/Downloads_files/shapeimage_4.png";"http://www.alsalaska.org/Anchor_Lutheran_School/Downloads_files/shapeimage_3.png"
64569;"ANCHORAGE CHRISTIAN NURSERY AND PRE-ELEM";"6401 EAST NORTHERN LIGHTS";"ANCHORAGE";"AK";"907-337-9575";"http://www.acsedu.org/index.php";"http://www.acsedu.org/index.php";;"8:15AM – 3:00PM";;"http://www.acsedu.org/admissions/enrollment-forms/";"http://www.acsedu.org/admissions/enrollment-forms/";"n";"n";"y";"y";"y";"n";"http://www.acsedu.org/dev/wp-content/uploads/2012/02/acs-logo.png";"http://www.acsedu.org//wp-content/uploads/2011/11/Academics-40632_400x274.jpg";"http://www.acsedu.org//wp-content/uploads/2011/11/Welcome-72284_400x274.jpg";"http://www.acsedu.org//wp-content/uploads/2011/11/Athletics-42851_400x274.jpg";
64570;"ANCHORAGE CHRISTIAN PRESCHOOL";"6505 DEBARR RD";"ANCHORAGE";"AK";"907-333-5516";"http://www.acsedu.org/";"http://www.acsedu.org/";;"8:15AM – 3:00PM";;"http://www.acsedu.org/admissions/enrollment-forms/";"http://www.acsedu.org/admissions/enrollment-forms/";"n";"n";"y";"y";"y";"n";"http://www.acsedu.org/dev/wp-content/uploads/2012/02/acs-logo.png";"http://www.acsedu.org//wp-content/uploads/2011/11/Academics-40632_400x274.jpg";"http://www.acsedu.org//wp-content/uploads/2011/11/Welcome-72284_400x274.jpg";"http://www.acsedu.org//wp-content/uploads/2011/11/Athletics-42851_400x274.jpg";
64572;"ANCHORAGE MONTESSORI SCHOOL";"5001 NORTHWOOD DRIVE";"ANCHORAGE";"AK";"907-276-2240";"http://www.anchoragemontessorischool.org/";"http://www.anchoragemontessorischool.org/";;;"http://www.anchoragemontessorischool.org/about-us/employment-opportunities/";"http://www.anchoragemontessorischool.org/admissions/";;"n";"y";"y";"y";"y";"n";;"http://www.anchoragemontessorischool.org/wp-content/themes/ams/images/children/home.jpg";"http://www.anchoragemontessorischool.org/wp-content/themes/ams/images/children/3.jpg";"http://www.anchoragemontessorischool.org/wp-content/themes/ams/images/children/montessori.jpg";"http://www.anchoragemontessorischool.org/wp-content/themes/ams/images/children/aboutus.jpg"
64578;"BAYSHORE EARLY LEARNING CENTER";"3131 AMBER BAY LOOP";"ANCHORAGE";"AK";"907-344-0539";"http://www.bayshoreclub.org/Early_Learning_Center.html";"http://www.bayshoreclub.org/Early_Learning_Center.html";"https://www.facebook.com/BayshoreKids";;"http://www.bayshoreclub.org/Employment.html";;;"n";"n";"y";"y";"n";"n";"http://www.bayshoreclub.org/images/3b57d71c79c786c095f05f3831287c98.jpg";;;;
64587;"BRIGHT BEGINNINGS ELC - JEWEL LAKE";"3606 JEWEL LAKE ROAD";"ANCHORAGE";"AK";"907-248-3993";"http://www.brightbeginningselc.com/index.html";"http://www.brightbeginningselc.com/index.html";"https://www.facebook.com/BrightBeginningsEarlyLearningCenter";;"http://www.brightbeginningselc.com/employment.html";"http://live.childcarecrm.com/portal/index.php?formId=a61f9bf06f4fc3b1a9d6f4dd059a2327";;"y";"y";"y";"y";"y";"n";;"http://www.brightbeginningselc.com/img/polaroids/infantprogram.png";"http://www.brightbeginningselc.com/img/polaroids/parentresources.png";"http://www.brightbeginningselc.com/img/polaroids/toddler.png";"http://www.brightbeginningselc.com/img/polaroids/preschool1.png"
64588;"BRIGHT BEGINNINGS ELC--ABBOTT";"2500 ABBOTT ROAD";"ANCHORAGE";"AK";"907-344-1254";"http://www.brightbeginningselc.com/index.html";"http://www.brightbeginningselc.com/index.html";"https://www.facebook.com/BrightBeginningsEarlyLearningCenter";;"http://www.brightbeginningselc.com/employment.html";"http://live.childcarecrm.com/portal/index.php?formId=a61f9bf06f4fc3b1a9d6f4dd059a2327";;"y";"y";"y";"y";"y";"n";;"http://www.brightbeginningselc.com/img/polaroids/infantprogram.png";"http://www.brightbeginningselc.com/img/polaroids/parentresources.png";"http://www.brightbeginningselc.com/img/polaroids/toddler.png";"http://www.brightbeginningselc.com/img/polaroids/preschool1.png"
64589;"BRIGHT BEGINNINGS ELC--EAGLE RIVER";"12228 LAKE STREET";"EAGLE RIVER";"AK";"907-694-4910";"http://www.brightbeginningselc.com/index.html";"http://www.brightbeginningselc.com/index.html";"https://www.facebook.com/BrightBeginningsEarlyLearningCenter";;"http://www.brightbeginningselc.com/employment.html";"http://live.childcarecrm.com/portal/index.php?formId=a61f9bf06f4fc3b1a9d6f4dd059a2327";;"y";"y";"y";"y";"y";"n";;"http://www.brightbeginningselc.com/img/polaroids/infantprogram.png";"http://www.brightbeginningselc.com/img/polaroids/parentresources.png";"http://www.brightbeginningselc.com/img/polaroids/toddler.png";"http://www.brightbeginningselc.com/img/polaroids/preschool1.png"
64593;"CAMP FIRE AIRPORT HEIGHTS SACC PROGRAM";"1510 ALDER DRIVE";"ANCHORAGE";"AK";"907-279-8177";"http://www.campfireak.org/program/before-after-programs/";"http://www.campfireak.org/program/before-after-programs/";"https://www.facebook.com/pages/Camp-Fire-Alaska/135141233184028";"7am-6pm";"http://www.campfireak.org/jobs/";"https://register.campfireak.org/Login.aspx?ReturnUrl=/Default.aspx";"http://www.campfireak.org/wp-content/uploads/2013/02/2013-14-SAP-Program-Handbook.pdf";"n";"n";"n";"y";"y";"y";;"http://www.campfireak.org/wp-content/uploads/2011/03/circle-game.jpg";"http://www.campfireak.org/wp-content/uploads/2011/03/3681.jpg";"http://www.campfireak.org/wp-content/uploads/2011/03/170.jpg";"http://www.campfireak.org/wp-content/uploads/2011/03/160.jpg"
