"PID";"LID";"Date";"Type";"InspectionForm";"InspectionResult"
14512560;31225;"09/16/20";"Program Inspection";"014512560_2020-09-16_InspectionForm.pdf";"014512560_2020-09-16_InspectionResults.pdf"
10608986;28353;"10/02/19";"Program Inspection";"010608986_2019-10-02_InspectionForm.pdf";"010608986_2019-10-02_InspectionResults.pdf"
10608986;28353;"10/03/18";"Program Inspection";"010608986_2018-10-03_InspectionForm.pdf";"010608986_2018-10-03_InspectionResults.pdf"
14511975;30446;"06/05/20";"Program Inspection";"014511975_2020-06-05_InspectionForm.pdf";"014511975_2020-06-05_InspectionResults.pdf"
14511975;30446;"05/20/19";"Complaint Inspection";;"014511975_2019-05-20_InspectionResults.pdf"
14511975;30446;"02/04/19";"Program Inspection";"014511975_2019-02-04_InspectionForm.pdf";"014511975_2019-02-04_InspectionResults.pdf"
14511975;30446;"09/07/18";"Complaint Inspection";;"014511975_2018-09-07_InspectionResults.pdf"
14511975;30446;"04/12/18";"Program Inspection";"014511975_2018-04-12_InspectionForm.pdf";"014511975_2018-04-12_InspectionResults.pdf"
14510712;27243;"09/16/20";"Program Inspection";"014510712_2020-09-16_InspectionForm.pdf";"014510712_2020-09-16_InspectionResults.pdf"
14510712;27243;"10/02/19";"Program Inspection";"014510712_2019-10-02_InspectionForm.pdf";"014510712_2019-10-02_InspectionResults.pdf"
14510712;27243;"09/26/19";"Facility Safety Inspection";"014510712_2019-09-26_InspectionForm.pdf";"014510712_2019-09-26_InspectionResults.pdf"
14510712;27243;"10/17/18";"Program Inspection";"014510712_2018-10-17_InspectionForm.pdf";"014510712_2018-10-17_InspectionResults.pdf"
14510712;27243;"08/17/18";"Facility Safety Inspection";"014510712_2018-08-17_InspectionForm.pdf";"014510712_2018-08-17_InspectionResults.pdf"
14511889;28775;"07/01/20";"Program Inspection";"014511889_2020-07-01_InspectionForm.pdf";"014511889_2020-07-01_InspectionResults.pdf"
14511889;28775;"11/04/19";"Facility Safety Inspection";"014511889_2019-11-04_InspectionForm.pdf";"014511889_2019-11-04_InspectionResults.pdf"
