"ID";"Severity";"Inspection Type";"Date";"Deficiency Type";"Resolved";"Inspection URL"
6010;"Medium";"Annual Review";"2/8/2023";"Staff Records";"Yes";"https://www.scchildcare.org/InspectionReports/12713/l751_annual_02082023.pdf"
6010;"High";"Annual Review";"2/8/2023";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/12713/l751_annual_02082023.pdf"
6010;"N/A";"Annual Review";"2/8/2023";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/12713/l751_annual_02082023.pdf"
6010;"High";"Annual Review";"2/8/2023";"Staff Health";"Yes";"https://www.scchildcare.org/InspectionReports/12713/l751_annual_02082023.pdf"
6010;"Medium";"Annual Review";"2/8/2023";"Staff Health";"Yes";"https://www.scchildcare.org/InspectionReports/12713/l751_annual_02082023.pdf"
6010;"Medium";"Annual Review";"2/8/2023";"Indoor Space and Conditions - Environmental Hazards";"Yes";"https://www.scchildcare.org/InspectionReports/12713/l751_annual_02082023.pdf"
6010;"High";"Annual Review";"9/13/2022";"Medications and Medical Procedures";"On Site";"https://www.scchildcare.org/InspectionReports/11029/l751_annual_09132022.pdf"
20138;"High";"Annual Review";"3/14/2023";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/15072/720_av_03-14-23.pdf"
20138;"High";"Annual Review";"3/14/2023";"63-13-40 Background checks for employment";"Yes";"https://www.scchildcare.org/InspectionReports/15072/720_av_03-14-23.pdf"
20138;"High";"Renewal Application";"11/3/2022";"Staff Health";"Yes";"https://www.scchildcare.org/InspectionReports/11647/720_ren_11-03-22.pdf"
20138;"Medium";"Renewal Application";"11/3/2022";"Staff Health";"Yes";"https://www.scchildcare.org/InspectionReports/11647/720_ren_11-03-22.pdf"
20138;"High";"Renewal Application";"11/3/2022";"63-13-40 Background checks for employment";"Yes";"https://www.scchildcare.org/InspectionReports/11647/720_ren_11-03-22.pdf"
2465;"High";"Annual Review";"2/15/2023";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/13443/453_av_02-15-23.pdf"
2465;"High";"Annual Review";"2/15/2023";"Staff Health";"Yes";"https://www.scchildcare.org/InspectionReports/13443/453_av_02-15-23.pdf"
2465;"High";"Annual Review";"2/15/2023";"Doors/Landings/Stairs/Handrails/Railings";"Yes";"https://www.scchildcare.org/InspectionReports/13443/453_av_02-15-23.pdf"
2465;"Medium";"Annual Review";"2/15/2023";"Bathrooms";"Yes";"https://www.scchildcare.org/InspectionReports/13443/453_av_02-15-23.pdf"
24680;"High";"Annual Review";"4/18/2023";"Staff Requirements";"On Site";"https://www.scchildcare.org/InspectionReports/14174/l22227_annual_04182023.pdf"
24680;"High";"Annual Review";"4/18/2023";"Direct Supervision";"On Site";"https://www.scchildcare.org/InspectionReports/14174/l22227_annual_04182023.pdf"
24680;"High";"Annual Review";"4/18/2023";"Ratios";"On Site";"https://www.scchildcare.org/InspectionReports/14174/l22227_annual_04182023.pdf"
24680;"High";"Annual Review";"4/18/2023";"Medications and Medical Procedures";"On Site";"https://www.scchildcare.org/InspectionReports/14174/l22227_annual_04182023.pdf"
24680;"Medium";"Annual Review";"4/18/2023";"Indoor Space and Conditions - Environmental Hazards";"On Site";"https://www.scchildcare.org/InspectionReports/14174/l22227_annual_04182023.pdf"
24680;"Low";"Annual Review";"4/18/2023";"Food Storage";"On Site";"https://www.scchildcare.org/InspectionReports/14174/l22227_annual_04182023.pdf"
24680;"Medium";"Renewal Application";"7/27/2021";"Child Records";"Yes";
24680;"High";"Renewal Application";"7/27/2021";"Staff Requirements";"Yes";
24680;"High";"Renewal Application";"7/27/2021";"Staff Requirements";"Yes";
24680;"High";"Renewal Application";"7/27/2021";"Direct Supervision";"On Site";
24680;"High";"Renewal Application";"7/27/2021";"Staff Health";"Yes";
188;"High";"Annual Review";"10/20/2021";"Direct Supervision";"On Site";"https://www.scchildcare.org/InspectionReports/7821/l12861_annual_10202021.pdf"
188;"High";"Annual Review";"10/20/2021";"Food Storage";"On Site";"https://www.scchildcare.org/InspectionReports/7821/l12861_annual_10202021.pdf"
188;"Medium";"Annual Review";"10/20/2021";"Food Storage";"On Site";"https://www.scchildcare.org/InspectionReports/7821/l12861_annual_10202021.pdf"
4263;"Medium";"Renewal Application";"11/17/2022";"Child Records";"Yes";"https://www.scchildcare.org/InspectionReports/11556/716_ren_11-17-22.pdf"
4263;"High";"Renewal Application";"11/17/2022";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/11556/716_ren_11-17-22.pdf"
4263;"Medium";"Renewal Application";"11/17/2022";"Staff Health";"Yes";"https://www.scchildcare.org/InspectionReports/11556/716_ren_11-17-22.pdf"
4263;"Medium";"Annual Review";"10/21/2021";"Outdoor Space";"Yes";"https://www.scchildcare.org/InspectionReports/7019/716_sv_10212021.pdf"
365;"High";"Renewal Application";"3/8/2023";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/13235/cc000365_ren_03-08-23.pdf"
365;"Medium";"Renewal Application";"9/28/2021";"Parent Access and Communication";"Yes";"https://www.scchildcare.org/InspectionReports/6103/14625_ren_09282021.pdf"
365;"High";"Renewal Application";"9/28/2021";"Direct Supervision";"Yes";"https://www.scchildcare.org/InspectionReports/6103/14625_ren_09282021.pdf"
18677;"High";"Complaint";"7/13/2023";"Center Definitions";"On Site";
18677;"High";"Complaint";"7/13/2023";"Ratios";"On Site";
18677;"High";"Complaint";"5/25/2022";"Direct Supervision";"On Site";
18677;"High";"Complaint";"5/25/2022";"Indoor Space and Conditions - Environmental Hazards";"Yes";
18677;"Medium";"Complaint";"4/1/2022";"Bathrooms";"Yes";"https://www.scchildcare.org/InspectionReports/8282/18662-complaint-april-1-2022.pdf"
18677;"Medium";"Complaint";"4/1/2022";"Indoor Space and Conditions - Environmental Hazards";"Yes";"https://www.scchildcare.org/InspectionReports/8282/18662-complaint-april-1-2022.pdf"
18677;"Medium";"Complaint";"4/1/2022";"Sanitation";"Yes";"https://www.scchildcare.org/InspectionReports/8282/18662-complaint-april-1-2022.pdf"
4455;"High";"Complaint";"9/21/2022";"Center Definitions";"Yes";
4455;"High";"Complaint";"9/21/2022";"Ratios";"Yes";
38986;"Medium";"Annual Review";"3/6/2023";"Indoor Space and Conditions - Environmental Hazards";"Yes";"https://www.scchildcare.org/InspectionReports/13023/24303-sv-march-6-2023.pdf"
38986;"Low";"Annual Review";"3/6/2023";"Sanitation";"Yes";"https://www.scchildcare.org/InspectionReports/13023/24303-sv-march-6-2023.pdf"
38986;"High";"Renewal Application";"4/20/2022";"Parent Access and Communication";"Yes";"https://www.scchildcare.org/InspectionReports/8946/38986-renewal-april-20-2022.pdf"
38986;"Medium";"Renewal Application";"4/20/2022";"Child Records";"Yes";"https://www.scchildcare.org/InspectionReports/8946/38986-renewal-april-20-2022.pdf"
38986;"Medium";"Renewal Application";"4/20/2022";"Child Records";"Yes";"https://www.scchildcare.org/InspectionReports/8946/38986-renewal-april-20-2022.pdf"
38986;"High";"Renewal Application";"4/20/2022";"Meal Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/8946/38986-renewal-april-20-2022.pdf"
38986;"High";"Renewal Application";"4/20/2022";"Feeding, Eating, and Drinking";"On Site";"https://www.scchildcare.org/InspectionReports/8946/38986-renewal-april-20-2022.pdf"
38986;"High";"Complaint";"3/28/2022";"Reporting of Incidents";"Yes";"https://www.scchildcare.org/InspectionReports/8930/24303-complaint-march-28-2022.pdf"
38986;"Medium";"Annual Review";"5/19/2021";"Bathrooms";"Yes";"https://www.scchildcare.org/InspectionReports/5360/24303-sv-may-19-2021.pdf"
8363;"Medium";"Renewal Application";"3/21/2023";"Child Records";"Yes";"https://www.scchildcare.org/InspectionReports/14246/l17454_renewal_03212023.pdf"
8363;"High";"Renewal Application";"3/21/2023";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/14246/l17454_renewal_03212023.pdf"
8363;"High";"Renewal Application";"3/21/2023";"Staff Health";"Yes";"https://www.scchildcare.org/InspectionReports/14246/l17454_renewal_03212023.pdf"
8363;"Medium";"Renewal Application";"3/21/2023";"Staff Health";"Yes";"https://www.scchildcare.org/InspectionReports/14246/l17454_renewal_03212023.pdf"
8363;"High";"Annual Review";"10/12/2021";"Staff Requirements";"Yes";
8363;"High";"Annual Review";"10/12/2021";"Staff Health";"Yes";
8363;"High";"Renewal Application";"2/25/2021";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/6886/l17454_renewal_02252021.pdf"
8363;"Medium";"Renewal Application";"2/25/2021";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/6886/l17454_renewal_02252021.pdf"
8363;"High";"Renewal Application";"2/25/2021";"Staff Health";"Yes";"https://www.scchildcare.org/InspectionReports/6886/l17454_renewal_02252021.pdf"
10927;"High";"Annual Review";"10/24/2022";"Ratios";"On Site";"https://www.scchildcare.org/InspectionReports/12261/1781_sv_10-24-22.pdf"
740;"High";"Complaint";"1/5/2023";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/11984/526-complaint-january-5-2023.pdf"
740;"High";"Complaint";"1/5/2022";"Direct Supervision";"On Site";
740;"High";"Annual Review";"9/7/2021";"Rest Equipment";"On Site";"https://www.scchildcare.org/InspectionReports/10905/526-sv-september-7-2021.pdf"
2364;"High";"Annual Review";"6/17/2022";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/10610/458_sv_06_12_2022.pdf"
23705;"High";"Renewal Application";"7/20/2023";"Staff Requirements";"Pending";
23705;"High";"Renewal Application";"7/7/2021";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/6482/22004_ren_07072021.pdf"
2531;"Low";"Annual Review";"3/28/2023";"Bathrooms";"Yes";"https://www.scchildcare.org/InspectionReports/13425/l24057_annual_03282023.pdf"
404;"High";"Annual Review";"9/22/2022";"Staff Health";"Yes";"https://www.scchildcare.org/InspectionReports/12572/p14866_av_09-22-22.pdf"
404;"Medium";"Annual Review";"9/22/2022";"Staff Health";"Yes";"https://www.scchildcare.org/InspectionReports/12572/p14866_av_09-22-22.pdf"
404;"High";"Annual Review";"9/22/2022";"63-13-40 Background checks for employment";"Yes";"https://www.scchildcare.org/InspectionReports/12572/p14866_av_09-22-22.pdf"
404;"High";"Renewal Application";"3/25/2022";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/8550/14866_ren_3-25-22.pdf"
7786;"High";"Renewal Application";"10/19/2022";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/11651/811_rv_10-19-22.pdf"
