"ID";"Inspection Type";"Date";"Inspection URL"
7692;"Initial Application";"6/29/2022";"https://www.scchildcare.org/InspectionReports/11068/l17356_renewal_06292022.pdf"
6010;"Annual Review";"2/8/2023";"https://www.scchildcare.org/InspectionReports/12713/l751_annual_02082023.pdf"
6010;"Annual Review";"9/13/2022";"https://www.scchildcare.org/InspectionReports/11029/l751_annual_09132022.pdf"
6010;"Annual Review";"4/8/2022";"https://www.scchildcare.org/InspectionReports/8742/a751_renewal_04082022.pdf"
6010;"Annual Review";"9/28/2021";"https://www.scchildcare.org/InspectionReports/6936/a751_annual_09282021.pdf"
20138;"Annual Review";"3/14/2023";"https://www.scchildcare.org/InspectionReports/15072/720_av_03-14-23.pdf"
20138;"Initial Application";"11/3/2022";"https://www.scchildcare.org/InspectionReports/11647/720_ren_11-03-22.pdf"
20138;"Initial Application";"1/11/2021";"https://www.scchildcare.org/InspectionReports/4745/720l_vren_01112021.pdf"
2465;"Annual Review";"2/15/2023";"https://www.scchildcare.org/InspectionReports/13443/453_av_02-15-23.pdf"
2465;"Annual Review";"5/19/2022";"https://www.scchildcare.org/InspectionReports/8898/453_sv_05192022.pdf"
2465;"Initial Application";"11/16/2021";"https://www.scchildcare.org/InspectionReports/7570/453_ren_11162021.pdf"
24680;"Annual Review";"4/18/2023";"https://www.scchildcare.org/InspectionReports/14174/l22227_annual_04182023.pdf"
24680;"Annual Review";"12/14/2021";"https://www.scchildcare.org/InspectionReports/10782/l22227_annual_12142021.pdf"
188;"Annual Review";"7/21/2022";"https://www.scchildcare.org/InspectionReports/9545/l12861_annual_07212022.pdf"
188;"Initial Application";"6/28/2022";"https://www.scchildcare.org/InspectionReports/10666/l12861_renewal_06282022.pdf"
188;"Complaint";"6/23/2022";"https://www.scchildcare.org/InspectionReports/11402/l12861_complaint_06232022.pdf"
188;"Annual Review";"10/20/2021";"https://www.scchildcare.org/InspectionReports/7821/l12861_annual_10202021.pdf"
4263;"Annual Review";"12/14/2022";"https://www.scchildcare.org/InspectionReports/11584/716_av_12-14-22.pdf"
4263;"Initial Application";"11/17/2022";"https://www.scchildcare.org/InspectionReports/11556/716_ren_11-17-22.pdf"
4263;"Annual Review";"10/21/2021";"https://www.scchildcare.org/InspectionReports/7019/716_sv_10212021.pdf"
821;"Initial Application";"11/3/2022";"https://www.scchildcare.org/InspectionReports/12559/p366_ren_11-03-22.pdf"
821;"Annual Review";"10/10/2022";"https://www.scchildcare.org/InspectionReports/12438/366_sv_10-10-22.pdf"
821;"Initial Application";"1/21/2021";"https://www.scchildcare.org/InspectionReports/4635/366_ren_01212021.pdf"
17982;"Annual Review";"7/20/2022";"https://www.scchildcare.org/InspectionReports/10108/18308_sv_7-20-22.pdf"
17982;"Initial Application";"4/1/2022";"https://www.scchildcare.org/InspectionReports/8578/18308_ren_4-1-22.pdf"
17982;"Annual Review";"9/15/2021";"https://www.scchildcare.org/InspectionReports/6367/18308_sv_09152021.pdf"
365;"Application";"3/8/2023";"https://www.scchildcare.org/InspectionReports/13235/cc000365_ren_03-08-23.pdf"
365;"Annual Review";"8/17/2022";"https://www.scchildcare.org/InspectionReports/12616/p14625_av_08-17-22.pdf"
