"id";"name";"address";"city";"state";"zip";"county";"phone";"main website";"email";"detail";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4";"bad url?";
153407;"1+1=2 Daycare";"80 Crested Eagle Drive";"Ridgeland";"SC";29936;"Jasper";"(843)726-9408";;;;;;;;;;;;;;;;;;;;;"Y";
153409;"96 Junction";"200 S. Cambridge Street";"Ninety Six";"SC";29666;"Greenwood";"(864)543-5888";"https://www.facebook.com/pages/96-Junction/129488500397866?id=129488500397866&sk=info";;;"https://www.facebook.com/pages/96-Junction/129488500397866?id=129488500397866&sk=info";"https://www.facebook.com/pages/96-Junction/129488500397866?id=129488500397866&sk=info";"Mon - Fri: 7:00 am - 6:00 pm, 2:45 pm - 6:30 pm";;;;"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";;"https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xaf1/t1.0-9/376336_492214990791880_865616054_n.jpg";"https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xap1/t1.0-9/p180x540/562458_472157192797660_2010149288_n.jpg";"https://scontent-b-lax.xx.fbcdn.net/hphotos-xfa1/t1.0-9/29703_129490973730952_6296756_n.jpg";"https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xfa1/t1.0-9/p180x540/375896_472155902797789_200392911_n.jpg";;
153410;"A & A Learning Center";"838 Center Street";"West Columbia";"SC";29169;"Lexington";"(803)791-0811";;;;;;;;;;;;;;;;;;;;;"Y";
153411;"A Brighter Future Child Development Center";"1802 Airport Road";"Lancaster";"SC";29720;"Lancaster";"(803)283-8125";;;;;;;;;;;;;;;;;;;;;"Y";
153416;"A Child's World";"3391 Hwy 51";"Fort Mill";"SC";29715;"York";"(803)548-2066";;;;;;;;;;;;;;;;;;;;;"Y";
153417;"A Kidz Place II, Inc.";"900 South Fourth Street";"Hartsville";"SC";29550;"Darlington";"(843)383-5143";"https://www.facebook.com/pages/A-Kidz-Place-II-Inc/156083114443248?id=156083114443248&sk=info";;"Lois Hester, president of the company has a teaching degree with a BS in early childhood. She has been a public school teacher in both VA and SC. About 10 years ago she made a decision that would turn out to be one of the best in her life. Lois left the public school system and decided to apply all of her talents to preschool aged children, giving the children at our center the best possible foundation for success once they enter kindergarten. Our preschool program begins at 2 years old and continues until 4k. All of the lesson plans are overseen by Lois, she gives our other teachers pointers and tips to help them be the best at their job.
We have had several children come to us as infants and stay until they leave for kindergarten. This really gives us the pleasure of watching them grow and learn...at the same time it's hard to watch them go, spending that much time with a child is a blessing and it is easy to become attached :)
All of our employees have children of their own and I believe that gives them extra insight to preform their duties. We can relate to the parents and we take our jobs to heart. Having kids of our own, I feel helps us to take care of the other children the way we would want someone to treat our kids.";"https://www.facebook.com/pages/A-Kidz-Place-II-Inc/156083114443248?id=156083114443248&sk=info";"https://www.facebook.com/pages/A-Kidz-Place-II-Inc/156083114443248?id=156083114443248&sk=info";"Mon - Fri: 7:00 am - 6:00 pm";;;;"y";"y";"y";"y";"n";"n";;"https://scontent-a-lax.xx.fbcdn.net/hphotos-ash2/t1.0-9/379728_671730956211792_1727915806_n.jpg";"https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-frc3/t1.0-9/p180x540/487556_638982209486667_1304357632_n.jpg";"https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xpa1/t1.0-9/q71/s720x720/1510480_667026080015613_306612781_n.jpg";"https://scontent-a-lax.xx.fbcdn.net/hphotos-xfp1/t1.0-9/q71/s720x720/1533913_667026103348944_994885463_n.jpg";;
153421;"A Step Above CDC";"1854 W. Meeting Street";"Lancaster";"SC";29720;"Lancaster";"(803)285-8722";"https://www.facebook.com/pages/A-Step-Above-Child-Development-Center/143071159061351?sk=info";;"Our mission is to provide your child with a safe, loving, Christian learning environment.";"https://www.facebook.com/pages/A-Step-Above-Child-Development-Center/143071159061351?sk=info";"https://www.facebook.com/pages/A-Step-Above-Child-Development-Center/143071159061351?sk=info";"Mon - Fri: 6:30 am - 6:00 pm";;;;"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";"not mentioned in the website";"https://scontent-b-lax.xx.fbcdn.net/hphotos-xpf1/t1.0-9/q71/s720x720/10391448_702286916473103_8480644909382787799_n.jpg";"https://scontent-a-lax.xx.fbcdn.net/hphotos-xpa1/t1.0-9/q71/s720x720/10336805_702414869793641_2160242799826047685_n.jpg";"https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/q71/s720x720/10301130_697804163588045_5102457068552337696_n.jpg?oh=4ad3c20947bb9931de1e6de9591e3b8c&oe=542EA10D&__gda__=1412067740_5462d108e42e64d58036818dfba9459b";"https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xap1/t1.0-9/q71/s720x720/1907281_682846698417125_459708210481226957_n.jpg";"https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/q71/s720x720/10154232_682846281750500_3203683218626320621_n.jpg?oh=614f269f0207618e4ab59a7ca5b6776b&oe=540F0AEB&__gda__=1412105794_528e898970714c56d99aedeb3824ecac";;
153423;"A Step Ahead Day School";"1410 Damon Drive";"Florence";"SC";29505;"Florence";"(843)673-9304";"https://www.facebook.com/AStepAheadDaySchool/info";"kidmarms@gmail.com";"Educational Child Care for children ages 6 weeks to 12 years!";"https://www.facebook.com/AStepAheadDaySchool/info";"https://www.facebook.com/AStepAheadDaySchool/info";"Mon - Fri: 6:45 am - 6:00 pm";;;;"y";"y";"y";"y";"y";"n";"https://scontent-a-lax.xx.fbcdn.net/hphotos-ash2/v/t1.0-9/537952_490627577653516_1761157628_n.jpg?oh=b113b9566d8a9ef8d97f61a5e97d0f2d&oe=542239E6";"https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xfp1/t1.0-9/q77/s720x720/1959841_620144851368454_1634639196_n.jpg";"https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-prn1/v/t1.0-9/q71/s720x720/996976_590912414291698_230836202_n.jpg?oh=ec1e65205f2fdf5be93a55797c13aa80&oe=54280EE4&__gda__=1412516645_b1b1ced6011aaeb9f61c6c2aafa51de2";"https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-frc3/t1.0-9/q71/s720x720/601181_590908454292094_2055674741_n.jpg";"https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xap1/t1.0-9/q71/s720x720/1459708_590908577625415_269582358_n.jpg";;
153425;"A Touch of Christ Christian School";"1672 Hwy 905";"Conway";"SC";29526;"Horry";"(843)365-6803";;;;;;;;;;;;;;;;;;;;;"Y";
153428;"ABC Academy";"405 North Wise Road";"Saluda";"SC";29138;"Saluda";"(864)445-7999";;;;;;;;;;;;;;;;;;;;;"Y";
