"ID";"Provider Name";"Facility Type";"Street Address";"City";"County";"State";"Zip Code";"Phone";"Contact Name";"Star Quality Rating";"Capacity";"Min Age";"Max Age";"Open Time";"Close Time";"Child Care Assistance";"Discounts";"Wheelchair Access";"Transportation";"Licensing Program Evaluator";"Evaluator Phone"
"c10852c2b77614ea07abe31c092675da";"ACCTC HEAD START CENTER (-E-)";"Centers Care for 13 or more children";"140 MAVERICK LANE";"CLINTON";"Anderson";"TN";37716;"'8654632332";"Shelby Haun";;36;"6 WK";"5 YR";"8:15 AM";"2:30 PM";"NO";"NO";"YES";"NO";"Adrienne Butler";"'9312396819"
"52a268446f661857f8ff2576a89d7a21";"ANDERSONVILLE ELEM AFTERSCHOOL (-E-)";"Centers Care for 13 or more children";"1951 MOUNTAIN ROAD";"ANDERSONVILLE";"Anderson";"TN";37705;"'8654632833";"Tammy Overton";;40;"4 YR";"12 YR";"2:00 PM";"6:00 PM";"YES";"YES";"YES";"NO";;
"40935f351dc873af8464c9982b6aa253";"Andersonville Elem Pre-K (-E-)";"Centers Care for 13 or more children";"1951 MOUNTAIN RD";"ANDERSONVILLE";"Anderson";"TN";37705;"'8654947695";"Ted Fletcher";;40;"3 YR";"5 YR";"7:45 AM";"1:30 PM";"YES";"NO";"YES";"YES";"Adrienne Butler";"'9312396819"
"1095e34c2f719286ec5334da7d33d040";"Blossom Center for Childhood Excellence";"Centers Care for 13 or more children";"280 Royce Circle";"Oak Ridge";"Anderson";"TN";37830;"'8652944133";"Creed Mushimbo";"2 star";85;"12 MO";"12 YR";"5:00 AM";"11:59 PM";"YES";"YES";"YES";"NO";"Carrie Plotz";"'8655949177"
"4041041c890619909d707549dc84ab1f";"Boys & Girls Club-North Anderson (-E-)";"Centers Care for 13 or more children";"402 Lindsey Street";"Lake City";"Anderson";"TN";37769;"'8652321175";"Billy Williford";"3 star";150;"5 YR";"17 YR";"2:45 PM";"6:30 PM";"YES";"YES";"YES";"NO";;
"5bb22b475f5d763327b97f0116a68d3d";"Briceville Elem Head Start (-E-)";"Centers Care for 13 or more children";"103 Slatestone Rd.";"Briceville";"Anderson";"TN";37710;"'8656301230";"Shelby Haun";;20;"4 YR";"5 YR";"7:30 AM";"1:45 PM";"YES";"NO";"YES";"NO";"Adrienne Butler";"'9312396819"
"cf3b68ff5f40953d452503e9984ee97b";"Briceville Elem.-Explore 2 Soar (-E-)";"Centers Care for 13 or more children";"103 Slatestone Road";"Briceville";"Anderson";"TN";37710;"'8654262289";"Kristina Kenny";;90;"5 YR";"12 YR";"6:50 AM";"5:30 PM";"NO";"NO";"YES";"NO";;
"c45cd37db003e972f3c672f40afce47f";"Brookside Learning Center";"Centers Care for 13 or more children";"218 Jefferson Avenue";"Oak Ridge";"Anderson";"TN";37830;"'8654824896";"Jay Brandon";"2 star";55;"6 WK";"10 YR";"7:00 AM";"6:00 PM";"YES";"YES";"YES";"NO";"Carrie Plotz";"'8655949177"
"9726879e00c6ca2647509ded3b121834";"CLAXTON ELEM AFTERSCHOOL (-E-)";"Centers Care for 13 or more children";"2218 CLINTON HWY.";"POWELL";"Anderson";"TN";37849;"'8654947695";"Shelby Haun";;40;"4 YR";"12 YR";"2:00 PM";"6:00 PM";"YES";"YES";"YES";"NO";;
"033150eaca3d8dfc26a62571d67f32c9";"CLAXTON HEAD START AND PRE-K (-E-)";"Centers Care for 13 or more children";"2218 CLINTON HIGHWAY";"POWELL";"Anderson";"TN";37849;"'8654632332";"Cyndy Gray";;80;"3 YR";"5 YR";"7:30 AM";"1:45 PM";"NO";"NO";"YES";"YES";"Adrienne Butler";"'9312396819"
