"id";"name";"address";"city";"state";"zip";"county";"phone";"main website";"email";"detail";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4";"bad url?";
835035;"WALLACE MEMORIAL CHILD CARE CENTER";"701 MERCHANT ROAD";"KNOXVILLE";"TN";37912;"KNOX";8656893940;"http://www.wmbc.net/#/next-generation";;"The goal of Wallace Outfitter’s Preschool Ministry is to partner with parents as we engage in the spiritual development of preschoolers to give a first impression of their heavenly Father and the wonder of His love for each one of them.  By teaching preschoolers about the God who made and loves them, we are giving these children the building blocks of their faith.  As we partner, we are creating three foundational blocks in the form of three basic truths: God made me. God loves me. Jesus wants to be my friend forever.  3 John 4: “I have no greater joy than to hear that my children are walking in the truth""";"http://www.wmbc.net/#/next-generation";;"9:30am-8pm";;;;"n";"n";"y";"y";"y";"y";;;;;;;
835036;"WEST EMORY CHILDREN'S ENRICH. CENTER";"1035 EMORY CHURCH RD.";"KNOXVILLE";"TN";37922;"KNOX";8656902422;"http://www.westemorypresbyterianchurch.org/preschool.html";"westemorycec@gmail.com";"West Emory Child Enrichment Center is a DHS Licensed Child Care Facility serving children ages 18 months to 11 years. Our program offers several classes:

        Two year olds
        Three and Four year olds
        Pre-Kindergarten
        After School & Summer Kindergarten/Grade 1
        After School & Summer Grades 2-5

";"http://www.westemorypresbyterianchurch.org/preschool.html";"https://www.facebook.com/westemorycec";;;"http://www.westemorypresbyterianchurch.org/preschool.html";"http://www.westemorypresbyterianchurch.org/preschool.html";"n";"y";"y";"y";"y";"y";"http://www.westemorypresbyterianchurch.org/kids%20block.png";;;;;;
835038;"WEST HIGH PRESCHOOL/CAREERS W/CHILDREN";"3326 SUTHERLAND AVE.";"KNOXVILLE";"TN";37919;"KNOX";8655944487;;;;;;;;;;;;;;;;;;;;;"Y";
835039;"WEST HIGH PRESCHOOL/PARENTING LEARNG CTR";"3326 SUTHERLAND AVENUE";"KNOXVILLE";"TN";37919;"KNOX";8655944487;;;;;;;;;;;;;;;;;;;;;"Y";
835041;"WEST LONSDALE BAPT. CCC";"2720 DAYTON ST.";"KNOXVILLE";"TN";37921;"KNOX";8655441829;;;;;;;;;;;;;;;;;;;;;"Y";
835042;"WEST VIEW PRE-K";"1714 MINGLE AVENUE";"KNOXVILLE";"TN";37921;"KNOX";8655944471;"http://www.knoxschools.org/westviewes";"carmelita.perry@knoxschools.org";;"http://www.knoxschools.org/westviewes";;;;;;"n";"n";"y";"y";"y";"y";;;;;;;
835043;"WESTLAND CHILDREN'S ACADEMY";"9728 WESTLAND DRIVE";"KNOXVILLE";"TN";37922;"KNOX";8656715776;"http://westlandchildrensacademy.com/";"westlandchildrensacademy@yahoo.com";"Embrace
Westland Children's Academy excels at creating a secure and nurturing atmosphere, while providing an excellent environment for children to grow and learn at their own pace.
Enlighten
Our educational programs are specifically designed to provide a variety of fun and unique learning opportunities with age-appropriate curriculums for children three months to five years.
Enrich
The staff at Westland Children's Academy works closely with children to build their vocabulary and self-esteem; enhance motor and life skills; teach sign and foreign languages.
";"http://westlandchildrensacademy.com/";;"7:00 am - 6 pm ";;;;"y";"y";"y";"y";"n";"n";;"http://westlandchildrensacademy.com/images/571886%20Reaching_2.png";"http://westlandchildrensacademy.com/images/curr_philosophy.jpg";;;;
835044;"WESTSIDE LEARNING CENTER";"531 VANOSDALE RD.";"KNOXVILLE";"TN";37909;"KNOX";8656901135;"http://westsidelc.com/contact/";" info@WestsideLC.com";"We at Westside Learning Center want to create an atmosphere for children that will provide each child with a sense of self, community, and family. We want your child to feel comfortable to be who they are and encourage them to grow into a caring, responsible young person. Each child needs to be allowed to express their creativity and their imagination. Going to school should be an exciting, happy experience. We strive to give every child the love and understanding they need to feel good about themselves.

Westside Learning Center should be a place where children receive the academic instruction they need to be prepared to enter Elementary school. This training should begiven in a relaxed and fun atmosphere. Activities are planned to be fun and educational simultaneously.

Westside Learning Center wants the staff to be fulfilled by their job. We want each teacher to feel free to express their creativity and share their individual experiences witheach other and the children they work with. We want our center to be the kind of place ateacher would want to work. Staff will be given the opportunity and the encouragement to develop them in whatever direction they choose.

This is a place where people can grow and explore their world and their place in this world. We want our center to be an asset to the communities we are in. Offering parenting classes, establishing groups for single parents, and training for parents that need help entering the job market are some of the ideas we hope to implement.";"http://westsidelc.com/contact/";;"Monday – Friday from 6:45 AM. – 6:00 PM";;;;"y";"y";"y";"y";"y";"y";"http://westsidelc.com/wp-content/uploads/2011/09/WestSideLogo1copy.png";;;;;;
835045;"YMCA CHILD CARE SERVICES-BEARDEN";"5717 KINGSTON PIKE";"KNOXVILLE";"TN";37919;"KNOX";8659734074;;;;;;;;;;;;;;;;;;;;;"Y";
835046;"YMCA CHILD CARE SERVICES-BEAUMONT";"1211 BEAUMONT";"KNOXVILLE";"TN";37921;"KNOX";8659731210;"http://ymcaknoxville.org/youth-development/child-care/dates-locations/";;"We know that lasting personal and social change comes about when we all work together. That’s why, at the Y, strengthening community is our cause. Every day, we work side-by-side with our neighbors to make sure that everyone, regardless of age, income or background, has the opportunity to learn, grow and thrive.

The Y is a nonprofit like no other; we deliver positive change alongside our neighbors, every day.

Our mission is to put Christian principles into practice through programs that build a healthy spirit, mind, and body for all.";"http://ymcaknoxville.org/youth-development/child-care/dates-locations/";;"7:00 a.m. to 6:00 p.m.";"http://ymcaknoxville.org/about-knoxville-y/employment/";"http://ymcaknoxville.org/programs/registration/";;"n";"n";"n";"n";"y";"y";;"http://ymcaknoxville.org/wp-content/uploads/YMCA-Knoxville-Afterschool1.jpg";"http://ymcaknoxville.org/wp-content/uploads/2014-Summer-Day-Camp-at-the-Y.jpg";;;;
