"id";"name";"address";"city";"state";"zip";"county";"phone";"main website";"email";"detail";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4";"bad url?";
89419;"St James Episcopal Preschool";"156 Monroe N";"La Grange";"TX";78945;"FAYETTE";"979-968-9501";"http://www.stjameslagrange.org/our-preschool/";"st-james-preschool@cmaaccess.com";"Each child is a unique creation of God.  Young children are curious by nature.  They are excited and eager to participate in activities that encourage hands-on experiences.  The environment at our preschool is safe, positive, and supportive.  We believe in offering full and rich opportunities to develop in each child a love for God, self-esteem, responsibility, and a readiness for life long-learning that is appropriate to each child.

 ";"http://www.stjameslagrange.org/our-preschool/";"https://www.facebook.com/stjameslagrange";"8:15am to 12:15";;;;"n";"y";"y";"y";"n";"n";;"http://stjameslagrange.org/s/cc_images/cache_4087182395.png?t=1391608059";"http://stjameslagrange.org/s/cc_images/cache_4087182396.jpg?t=1391608059";"http://stjameslagrange.org/s/cc_images/cache_4087182397.jpg?t=1391608059";"http://stjameslagrange.org/s/cc_images/cache_4087182399.jpg?t=1391608059";;
89423;"ST Jerome Little Lions Learning Center";"9820 Chapel Rd";"Waco";"TX";76712;"MCLENNAN";"(254) 666-6222";"http://www.stjeromewaco.org/index.cfm?load=page&page=167";"DirectorLLLC@StJeromeWaco.org";"Little Lions Learning Center (LLLC) is a faith-based preschool that supports the cognitive, social, emotional, physical, and spiritual development of young children.

Little Lions Learning Center strives to develop the faith, mind, and body of its students through a high quality education in a secure and nuturing environment that fosters the development of the whole child through play-based learning.

Your child will feel at home in one of Little Lions Learning Center's small classes.  Little Lions Learning Center has a low student to teacher ratio so your child will not feel lost in the crowd, but instead receive individualized attention from his or her teacher.";"http://www.stjeromewaco.org/index.cfm?load=page&page=167";;"7:30am-5:30pm";;;;"n";"n";"y";"y";"n";"n";;"http://www.stjeromewaco.org/eccbanners/St%20Jerome%20banner.jpg";"http://www.stjeromewaco.org/pictures/LLLC_Class_room_1.jpg";"http://www.stjeromewaco.org/pictures/LLLC_Class_room_2.jpg";"http://www.stjeromewaco.org/pictures/LLLC_Class_room_6.jpg";;
89427;"ST Johns After School Program";"102 E Avenue G";"La Porte";"TX";77571;"HARRIS";"281-470-2575";;;;;;;;;;;;;;;;;;;;;"Y";
89430;"ST Johns Day Care Center";"2513 North 8TH";"McAllen";"TX";78501;"HIDALGO";"956-686-0231";;;;;;;;;;;;;;;;;;;;;"Y";
89432;"St Johns Methodist School For Little Children";"400 Jackson";"Richmond";"TX";77469;"FORT BEND";"281-342-7971";"http://stjohnslittleschool.org/";"director@stjohnslittleschool.org";"Since its inception 40 years ago in 1973, St. John’s School for Little Children has striven to provide children with high quality academic instruction in a very accepting, loving, Christian environment.  

It is our intent that the Little School program helps prepare your child for success in school and in life.  What is our goal for your child?  To become an independent, responsible human being with a great desire and ability to learn, question, communicate, and to function in a social setting.   We believe these traits serve them throughout their lives.  We try to accomplish this through the activities we plan, the way we organize the classrooms, select developmentally appropriate toys and materials, plan daily schedules, and talk with children.


";"http://stjohnslittleschool.org/";;"M-F 8:30 - 5:30";"http://stjohnslittleschool.org/713802.ihtml";"stjohnslittleschool.org/files/Files%20Folder/Preschool/Registration%20Application-2014-2015.docx";;"n";"n";"y";"y";"n";"n";"http://stjohnslittleschool.org/files/Preschool/Images/sjlslogo.png";;;;;;
89437;"ST Luke Christian Child Development Center";"2781 W AVE N";"San Angelo";"TX";76904;"TOM GREEN";"325.949.8311";"http://www.stluke-sanangelo.org/page10.html";;"St. Luke Christian Child Development Center is a ministry of St. Luke United Methodist Church.  As an outreach to the community, it is designed to provide young children with creative and Christ centered learning experiences that promote good self image and self acceptance. The center offers children and their families an atmosphere of love in which children are allowed to develop social, motor, verbal, academic and spiritual skills at their own maturation level. ";"http://www.stluke-sanangelo.org/page10.html";;;;"http://www.stluke-sanangelo.org/page10.html";;"n";"n";"y";"y";"n";"n";"http://www.stluke-sanangelo.org/img2.jpg";;;;;;
89439;"ST Luke Methodist DC";"9915 Montwood";"El Paso";"TX";79925;"EL PASO";"915-591-8126";"http://www.stlukemethodist.org/st-luke-preschool/";;"Looking for a preschool for your child?  St. Luke United Methodist Church offers preschool classes for children ages 2-kindergarten.

At St. Luke Preschool your child will be taught age appropriate curriculum, with social skills such as sharing, playing with others, manners, and taking turns.  In addition to classroom instruction, each class has scheduled outside play time each days as the weather permits.

Hours of class instruction are from 8 – 11:30am, Monday through Friday with early drop off and afternoon care offered for an additional fee.

The school year follows the Ysleta School District Calendar, although there are a few days each year that Ysleta gives students off that the St. Luke Pre-school is in session.

If you would like more information, or would like to register your child please contact the Preschool director Cindy Jury at 591-8126, or stop by in person at St. Luke UMC 9915 Montwood Dr, across from Eastwood High School.Get your child enrolled in a program where they will have a great time learning with other children!";"http://www.stlukemethodist.org/st-luke-preschool/";;"8 – 11:30am, Monday through Friday";;;;"n";"y";"y";"y";"n";"n";"http://www.stlukemethodist.org/hp_wordpress/wp-content/uploads/2014/03/Childrens-Church-Website-Banner-300x102.jpg";;;;;;
89440;"ST Luke the Evangelist Early Childhood Center";"11011 Hall RD";"Houston";"TX";77089;"HARRIS";"281-481-0314";"http://www.stlukescatholic.com/index.cfm?load=page&page=249";;"The mission of St. Luke the Evangelist's Early Childhood Center is to maximize your child’s potential by providing hands on materials, dedicated teachers, personalized curriculum and life long skills to cultivate your child’s intellectual, physical, and social development in a safe and loving Christian environment.

We offer a 5 day program for 18 months to 3 year olds, as well as a Pre-K 5 day program with all times being from 9-2 p.m. daily. Space is limited.";"http://www.stlukescatholic.com/index.cfm?load=page&page=249";;"9am-2pm";;"http://www.stlukescatholic.com/documents/ECC/ECC%20Enrollment%20Application.pdf";;"n";"y";"y";"y";"n";"n";"http://www.stlukescatholic.com/pictures/Childhood-Logo.jpg";"http://www.stlukescatholic.com/pictures/ECC/ECC%20Cover%20Page.jpg.gif";"http://www.stlukescatholic.com/pictures/Classroom%20Fun.jpg";"http://www.stlukescatholic.com/pictures/ECC/037.JPG";"http://www.stlukescatholic.com/pictures/ECC/NO%20506.JPG";;
89442;"ST Lukes Child Development Program";"3011 W Kansas";"Midland";"TX";79701;"MIDLAND";"432-694-2574";"http://www.stlukesumcmidland.org/ministries/child-development-program";;"Our Child Development Program is licensed by the Texas Department of Protective & Regulatory Services and meets or exceeds all the standards of a licensed day care center. We are licensed to care for children from 6 weeks to the age of 12 years.";"http://www.stlukesumcmidland.org/ministries/child-development-program";;"Monday - Friday from 
7:00 am to 6:00 pm";;;;"y";"y";"y";"y";"y";"n";;;;;;;
89443;"St Lukes Episcopal School";"16292 F M 849";"Lindale";"TX";75771;"SMITH";"903-881-8733";"http://slesl.org/indexadd.html";;;"http://slesl.org/indexadd.html";;"8am-6pm";;;;"n";"y";"y";"y";"y";"y";"http://slesl.org/Image/top%20private%20school%20lindale%20tx.gif";;;;;;
