"ID";"Inspection Date";"Primary Type";"Complaint";"Rule Description";"Finding Category";"Non Compliance Level";"Correction Date";"Correction Verification";"Finding Description"
66446;"2021-01-04";"Announced, Annual Inspection";;;;;;;
66446;"2019-12-24";"Announced, Annual Inspection";;;;;;;
66446;"2019-05-13";"Unannounced, Annual Inspection";;;;;;;
1505;"2020-11-06";"Non On-Site Inspection";;;;;;;
1505;"2020-10-16";"Announced, Annual Inspection";;"100-13(4); Choking hazards inaccessible to children under 3";"Citation";"Moderate";"2020-10-16";"Correction Verified";"The provider did not comply with the Child Safety and Injury Prevention rule by not having choking hazards inaccessible to children younger than 3 years of age. In the Infant's room, there was a plastic lid that fit in the choke tube accessible to children. This was a repeat rule violation."
1505;"2020-07-09";"Unannounced, Annual Inspection";;;;;;;
1505;"2019-10-29";"Announced, Annual Inspection";;;;;;;
1505;"2019-05-17";"Follow-Up Inspection";;;;;;;
1505;"2019-04-19";"Unannounced, Annual Inspection";;"100-8(1)(a)-(d); New covered individual background check";"Citation";"High";"2019-05-17";"Correction Verified";"The provider did not comply with the Background Checks rule by allowing a covered individual to become involved with children in care before they had a complete background check.  In the facility, a new caregiver was part of the caregiver-to-child ratio before notification that the covered individual had passed a background check"
1505;"2019-01-14";"Non On-Site Inspection";;;;;;;
1505;"2018-11-07";"Follow-Up Inspection";;;;;;;
1505;"2018-09-19";"Announced, Annual Inspection";;;;;;;
1505;"2018-05-08";"Follow-Up Inspection";;;;;;;
1505;"2018-03-30";"Unannounced, Annual Inspection";;;;;;;
60214;"2020-12-04";"Announced, Annual Inspection";;;;;;;
60214;"2020-07-08";"Non On-Site Inspection";;;;;;;
60214;"2020-06-17";"Unannounced, Annual Inspection";;;;;;;
60214;"2020-01-07";"Announced, Annual Inspection";;;;;;;
60214;"2019-08-09";"Follow-Up Inspection";;;;;;;
60214;"2019-07-23";"Unannounced, Annual Inspection";;;;;;;
60214;"2018-12-11";"Follow-Up Inspection";;;;;;;
60214;"2018-11-29";"Announced, Annual Inspection";;;;;;;
60214;"2018-06-25";"Unannounced, Annual Inspection";;;;;;;
44861;"2021-03-12";"Unannounced, Annual Inspection";;;;;;;
44861;"2020-08-18";"Announced, Annual Inspection";;;;;;;
44861;"2020-02-10";"Unannounced, Annual Inspection";;;;;;;
44861;"2019-08-26";"Announced, Annual Inspection";;;;;;;
44861;"2019-05-22";"Follow-Up Inspection";;;;;;;
44861;"2019-05-07";"Unannounced, Annual Inspection";;;;;;;
44861;"2018-08-29";"Announced, Annual Inspection";;;;;;;
44861;"2018-04-04";"Unannounced, Annual Inspection";;;;;;;
26823;"2020-09-23";"Announced, Annual Inspection";;;;;;;
26823;"2020-06-01";"Unannounced, Annual Inspection";;;;;;;
26823;"2019-09-24";"Announced, Annual Inspection";;;;;;;
26823;"2019-02-28";"Unannounced, Annual Inspection";;;;;;;
26823;"2018-10-18";"Follow-Up Inspection";;;;;;;
26823;"2018-09-24";"Announced, Annual Inspection";;;;;;;
26823;"2018-05-30";"Follow-Up Inspection";;;;;;;
26823;"2018-05-02";"Unannounced, Annual Inspection";;;;;;;
16660;"2021-02-08";"Unannounced, Annual Inspection";;;;;;;
16660;"2020-06-24";"Announced, Annual Inspection";;;;;;;
16660;"2019-12-10";"Unannounced, Annual Inspection";;;;;;;
16660;"2019-06-06";"Announced, Annual Inspection";;;;;;;
16660;"2019-01-18";"Unannounced, Annual Inspection";;;;;;;
16660;"2018-05-30";"Announced, Annual Inspection";;;;;;;
78822;"2020-06-26";"Pre-Inspection";;;;;;;
72260;"2021-03-04";"Unannounced, Annual Inspection";;;;;;;
72260;"2020-07-13";"Announced, Annual Inspection";;;;;;;
72260;"2019-12-03";"Unannounced, Annual Inspection";;;;;;;
72260;"2019-08-16";"Pre-Inspection";;;;;;;
57819;"2020-10-30";"Unannounced, Annual Inspection";;;;;;;
57819;"2020-05-21";"Follow-Up Inspection";;;;;;;
57819;"2020-05-11";"Announced, Annual Inspection";;;;;;;
57819;"2019-10-09";"Follow-Up Inspection";;;;;;;
57819;"2019-09-24";"Unannounced, Annual Inspection";;;;;;;
57819;"2019-04-23";"Follow-Up Inspection";;;;;;;
57819;"2019-03-27";"Announced, Annual Inspection";;"100-19(22); No entrapment hazards";"Citation";"High";"2019-04-23";"Correction Verified";"The provider did not comply with the Play Equipment rule by having an entrapment hazard in a piece of stationary play equipment. In the school-age playground, there was an entrapment hazard in the guard rail of the yellow slide."
57819;"2018-08-23";"Unannounced, Annual Inspection";;;;;;;
27086;"2021-03-04";"Follow-Up Inspection";;;;;;;
27086;"2021-02-17";"Unannounced, Annual Inspection";;;;;;;
27086;"2020-08-25";"Follow-Up Inspection";;;;;;;
27086;"2020-08-24";"Follow-Up Inspection";;;;;;;
27086;"2020-08-14";"Announced, Annual Inspection";;;;;;;
