"school ID";"ChildcareCenterus ID";"schood name";"addr";"addr2";"city";"state";"zip";"county";"area_code";"phone";"LocationPhone";"Email";"Director Name";"days open";"time_open";"time_close";"URL";"welcome message/school description";" programs available (200 chars max)";"Age Range";"License No";"Capacity";"Accept Subsidy (Y/N)";"Any Accreditation";"Logo url";"schools served"
"0731";1130295;"The Goddard School";"301 Riverfront Boulevard";"Suite 1";"Elmwood Park";"NJ";"07407";"BERGEN";201;"4689841";2014689841;"ElmwoodParkNJ@goddardschools.com";;"Monday - Friday";"7:00 AM";6:30 PM;"http://www.goddardschool.com/nj-ny/elmwood-park-riverfront-boulevard-nj";"The Goddard School uses the most current, academically endorsed methods to ensure that children have fun while learning the skills they need for long-term success in school and in life. Our talented teachers also collaborate with parents to nurture children into respectful, confident and joyful learners.";"infant, toddler, preschool, pre-k, kindergarten, before- & after-school; summer camp";"6 Weeks - 6 Years";;;;;"http://www.goddardschool.com/images/icon.jpg";
"0741";1155914;"The Goddard School";"332 Forest Avenue";;"Paramus";"NJ";"07652";"BERGEN";201;"4706245";2014706245;"ParamusNJ@goddardschools.com";;"Monday - Friday";"7:00 AM";6:30 PM;"http://www.goddardschool.com/nj-ny/paramus-forest-avenue-nj";"The Goddard School uses the most current, academically endorsed methods to ensure that children have fun while learning the skills they need for long-term success in school and in life. Our talented teachers also collaborate with parents to nurture children into respectful, confident and joyful learners.";"infant, toddler, preschool, pre-k, kindergarten, before- & after-school; summer camp";"6 Weeks - 6 Years";;;;;"http://www.goddardschool.com/images/icon.jpg";
"0730";1130297;"The Goddard School";"120 Charlotte Place";;"Englewood Cliffs";"NJ";"07632";"BERGEN";201;"5826160";2015826160;"EnglewoodCliffsNJ@goddardschools.com";;"Monday - Friday";"7:00 AM";6:30 PM;"http://www.goddardschool.com/nj-ny/englewood-cliffs-charlotte-place-nj";"The Goddard School uses the most current, academically endorsed methods to ensure that children have fun while learning the skills they need for long-term success in school and in life. Our talented teachers also collaborate with parents to nurture children into respectful, confident and joyful learners.";"infant, toddler, preschool, pre-k, kindergarten, before- & after-school; summer camp";"6 Weeks - 6 Years";;;;;"http://www.goddardschool.com/images/icon.jpg";
"0288";659548;"The Goddard School";"15 Brook Street";;"Norwood";"NJ";"07648";"BERGEN";201;"7502200";2017502200;"NorwoodNJ@goddardschools.com";;"Monday - Friday";"6:30 AM";6:30 PM;"http://www.goddardschool.com/nj-ny/norwood-brook-street-nj";"The Goddard School uses the most current, academically endorsed methods to ensure that children have fun while learning the skills they need for long-term success in school and in life. Our talented teachers also collaborate with parents to nurture children into respectful, confident and joyful learners.";"infant, toddler, preschool, pre-k, kindergarten, before- & after-school; summer camp";"6 Weeks - 6 Years";;;;;"http://www.goddardschool.com/images/icon.jpg";
"0187";659602;"The Goddard School";"150 Hilltop Road";;"Ramsey";"NJ";"07446";"BERGEN";201;"8252141";2018252141;"RamseyNJ@goddardschools.com";;"Monday - Friday";"7:00 AM";6:00 PM;"http://www.goddardschool.com/nj-ny/ramsey-hilltop-road-nj";"The Goddard School uses the most current, academically endorsed methods to ensure that children have fun while learning the skills they need for long-term success in school and in life. Our talented teachers also collaborate with parents to nurture children into respectful, confident and joyful learners.";"infant, toddler, preschool, pre-k, kindergarten, before- & after-school; summer camp";"6 Weeks - 6 Years";;;;;"http://www.goddardschool.com/images/icon.jpg";
"0706";1104277;"The Goddard School";"385 Danbury Road";;"Wilton";"CT";"06897";"FAIRFIELD";203;"4080865";2034080865;"WiltonCT@goddardschools.com";;"Monday - Friday";"7:00 AM";6:00 PM;"http://www.goddardschool.com/nj-ny/wilton-danbury-road-ct";"The Goddard School uses the most current, academically endorsed methods to ensure that children have fun while learning the skills they need for long-term success in school and in life. Our talented teachers also collaborate with parents to nurture children into respectful, confident and joyful learners.";"infant, toddler, preschool, pre-k, kindergarten, before- & after-school; summer camp";"6 Weeks - 6 Years";;;;;"http://www.goddardschool.com/images/icon.jpg";
"0782";;"The Goddard School";"288 Monroe Turnpike";;"Monroe";"CT";"06468";;203;"5442110";2035442110;"MonroeCT@goddardschools.com";;"Monday - Friday";"7:00 AM";6:00 PM;"http://www.goddardschool.com/nj-ny/monroe-turnpike-ct";"The Goddard School uses the most current, academically endorsed methods to ensure that children have fun while learning the skills they need for long-term success in school and in life. Our talented teachers also collaborate with parents to nurture children into respectful, confident and joyful learners.";"infant, toddler, preschool, pre-k, kindergarten, before- & after-school; summer camp";"6 Weeks - 6 Years";;;;;"http://www.goddardschool.com/images/icon.jpg";
"0684";1104191;"The Goddard School";"39 Old Ridgebury Road";"Suite LL1";"Danbury";"CT";"06810";"FAIRFIELD";203;"6282000";2036282000;"DanburyCT@goddardschools.com";;"Monday - Friday";"7:00 AM";6:00 PM;"http://www.goddardschool.com/nj-ny/danbury-old-ridgebury-road-ct";"The Goddard School uses the most current, academically endorsed methods to ensure that children have fun while learning the skills they need for long-term success in school and in life. Our talented teachers also collaborate with parents to nurture children into respectful, confident and joyful learners.";"infant, toddler, preschool, pre-k, kindergarten, before- & after-school; summer camp";"6 Weeks - 6 Years";;;;;"http://www.goddardschool.com/images/icon.jpg";
"0454";869815;"The Goddard School";"1 Production Drive";;"Brookfield";"CT";"06804";"FAIRFIELD";203;"7408136";2037408136;"BrookfieldCT@goddardschools.com";;"Monday - Friday";"7:00 AM";6:00 PM;"http://www.goddardschool.com/nj-ny/brookfield-production-drive-ct";"The Goddard School uses the most current, academically endorsed methods to ensure that children have fun while learning the skills they need for long-term success in school and in life. Our talented teachers also collaborate with parents to nurture children into respectful, confident and joyful learners.";"infant, toddler, preschool, pre-k, kindergarten, before- & after-school; summer camp";"6 Weeks - 6 Years";;;;;"http://www.goddardschool.com/images/icon.jpg";
"0297";869351;"The Goddard School";"42 Old Tavern Road";;"Orange";"CT";"06477";"NEW HAVEN";203;"7955575";2037955575;"OrangeCT@goddardschools.com";;"Monday - Friday";"7:00 AM";6:00 PM;"http://www.goddardschool.com/hartford-new-haven/orange-old-tavern-road-ct";"The Goddard School uses the most current, academically endorsed methods to ensure that children have fun while learning the skills they need for long-term success in school and in life. Our talented teachers also collaborate with parents to nurture children into respectful, confident and joyful learners.";"infant, toddler, preschool, pre-k, kindergarten, before- & after-school; summer camp";"6 Weeks - 6 Years";;;;;"http://www.goddardschool.com/images/icon.jpg";
