cost_ctr_no;id;ctr_desc;addr;addr2;city;state;zip;area_cd;phone;Director Name;time_open;time_close;URL;welcome message;programs;condensed programs;Age Range
300411;55833;Appian Way KinderCare;3600 Appian Way;;Lexington;KY;40517-5900;859;273-2212;Sandra Hall;6:30 AM;6:30 PM;http://www.kindercare.com/our-centers/lexington/ky/300304/?cid=ref_childcarecenter_us;"<p>Our experts designed our classrooms - and every activity and lesson - to help prepare your child for success in school and beyond. With designated learning centers such as dramatic play and blocks in every classroom, children have the opportunity for rich social play and child-initiated discovery.</p>
 
                        <p>You’ll also find that our classrooms feature a print-rich environment full of carefully selected materials, written charts and labels, and children’s literature. By helping your child connect spoken words and print, we’re helping develop early literacy and writing skills.</p>
 
                        <p>Whether your child has first words or first grade on the horizon, we’re excited to show you how everything in our center is designed for learning!</p>
 
                        <p>Sandra Hall, Center Director</p>";Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Prekindergarten Programs (4 – 5 Years), Before and After School Programs (5–12 Years), Summer Programs (preschool, prekindergarten, and school-age);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Prekindergarten Programs, Before and After School Programs, Summer Programs;6 Weeks - 12 Years
300416;55845;Custer KinderCare;3199 Custer Dr.;;Lexington;KY;40517-4001;859;272-8673;Sabrina Gordon;6:30 AM;6:30 PM;http://www.kindercare.com/our-centers/lexington/ky/300963/?cid=ref_childcarecenter_us;Welcome to KinderCare Custer Drive, where the difference is clear! Our center offers your family the highest quality early childhood education experience with a superior focus on family involvement. Our exciting curriculum and passionate teachers make all the difference for your child and your family. We are an Eco-Healthy Certified center and have received recognition for our conservation education programs for preschoolers.;Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Prekindergarten Programs (4 – 5 Years), Before and After School Programs (5–12 Years);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Prekindergarten Programs, Before and After School Programs;6 Weeks - 12 Years
300414;55846;Lexington KinderCare;2611 Wilhite Dr.;;Lexington;KY;40503-3301;859;276-2567;Hannah Goble;6:30 AM;6:30 PM;http://www.kindercare.com/our-centers/lexington/ky/300936/?cid=ref_childcarecenter_us;Welcome and thank you for your interest in our center!  Our philosophy towards education focuses around the whole child.  We believe in an inclusive classroom setting, in which children learn through positive interactions with both teachers and peers.  Our program adapts our lesson plans to fit the individual needs of each child, guaranteeing that your family’s experience will fit what you are looking for.  Our particular center is a Head Start partnership site, aiming to give your child the right start towards early learning success.  For more information regarding our program options, please contact the center to discuss your needs.;Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Before and After School Programs (5–12 Years);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Before and After School Programs;6 Weeks - 12 Years
300412;55941;Wellington KinderCare;628 Wellington Way;;Lexington;KY;40503-2734;859;223-5574;Deborah Baker;6:30 AM;6:30 PM;http://www.kindercare.com/our-centers/lexington/ky/300419/?cid=ref_childcarecenter_us;"Welcome to Wellington Way KinderCare in Lexington, Kentucky. We are very excited to meet with you and your family. We believe in developing the whole child with an emphasis on assisting your child's growth with their social, emotional, cognitive, and physical development.

We are located across from the Stonewall Shopping Center and in between Nicholasville Road and Harrodsburg.  The nearest crossroad is Wellington Way and Clays Mill.  

Here at Wellington Way KinderCare we are child centered in our Infant program, to our Preschool program, all the way to our School Aged program.  We believe in helping all of our children gain more self-esteem and feel ready to take on the world.  Our Early Foundation programs enhance that confidence by providing activities to help children become problem solvers and lifelong learners.  Through independent exploration, structured activities, and hands-on learning, children develop early literacy, mathematics, science, and social skills.  A healthy dose of running, jumping, and dancing keeps them active, too.";Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Prekindergarten Programs (4 – 5 Years), Before and After School Programs (5–12 Years);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Prekindergarten Programs, Before and After School Programs;6 Weeks - 12 Years
300417;56313;Lyndon Lane KinderCare;1100 Lyndon Lane;;Louisville;KY;40222-4318;502;425-3236;Ronee Wilson;6:30 AM;6:00 PM;http://www.kindercare.com/our-centers/louisville/ky/300371/?cid=ref_childcarecenter_us;Welcome to the Lyndon Lane KinderCare webpage.  We are excited to meet with you and your child to see how our program can fit your child care and early education needs!  We are proud to offer a comprehensive early childhood curriculum with tons of fun and enhancements to keep your child engaged and excited about learning!  There is a wonderful group of teachers that will be happy to answer any questions you have and look forward to working with you on meeting your goals for your child's early education needs.  Please feel free to call to schedule a tour and check out what we have to offer!;Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Prekindergarten Programs (4 – 5 Years), Before and After School Programs (5–12 Years), Summer Programs (preschool, prekindergarten, and school-age);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Prekindergarten Programs, Before and After School Programs, Summer Programs;6 Weeks - 12 Years
300422;56533;Klondike KinderCare;3804 Klondike Lane;;Louisville;KY;40218-1715;502;456-4660;Sarah Johnson;6:30 AM;6:00 PM;http://www.kindercare.com/our-centers/louisville/ky/300424/?cid=ref_childcarecenter_us;"<p>Our experts designed our classrooms - and every activity and lesson - to help prepare your child for success in school and beyond. With designated learning centers such as dramatic play and blocks in every classroom, children have the opportunity for rich social play and child-initiated discovery.</p>
 
                        <p>You’ll also find that our classrooms feature a print-rich environment full of carefully selected materials, written charts and labels, and children’s literature. By helping your child connect spoken words and print, we’re helping develop early literacy and writing skills.</p>
 
                        <p>Whether your child has first words or first grade on the horizon, we’re excited to show you how everything in our center is designed for learning!</p>
 
                        <p>Sarah Johnson, Center Director</p>";Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Prekindergarten Programs (4 – 5 Years), Before and After School Programs (5–12 Years);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Prekindergarten Programs, Before and After School Programs;6 Weeks - 12 Years
300419;56535;Herr Lane KinderCare;2013 Herr Lane;;Louisville;KY;40222-6444;502;425-7272;Valentina Fee;6:30 AM;6:00 PM;http://www.kindercare.com/our-centers/louisville/ky/300417/?cid=ref_childcarecenter_us;"<p>Our experts designed our classrooms - and every activity and lesson - to help prepare your child for success in school and beyond. With designated learning centers such as dramatic play and blocks in every classroom, children have the opportunity for rich social play and child-initiated discovery.</p>
 
                        <p>You’ll also find that our classrooms feature a print-rich environment full of carefully selected materials, written charts and labels, and children’s literature. By helping your child connect spoken words and print, we’re helping develop early literacy and writing skills.</p>
 
                        <p>Whether your child has first words or first grade on the horizon, we’re excited to show you how everything in our center is designed for learning!</p>
 
                        <p>Valentina Fee, Center Director</p>";Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Prekindergarten Programs (4 – 5 Years);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Prekindergarten Programs;6 Weeks - 12 Years
300420;56536;Newburg KinderCare;2990 Newburg Rd.;;Louisville;KY;40205-2710;502;452-9573;Rhonda Huffman;6:30 AM;6:00 PM;http://www.kindercare.com/our-centers/louisville/ky/300418/?cid=ref_childcarecenter_us;"<p>Our experts designed our classrooms - and every activity and lesson - to help prepare your child for success in school and beyond. With designated learning centers such as dramatic play and blocks in every classroom, children have the opportunity for rich social play and child-initiated discovery.</p>
 
                        <p>You’ll also find that our classrooms feature a print-rich environment full of carefully selected materials, written charts and labels, and children’s literature. By helping your child connect spoken words and print, we’re helping develop early literacy and writing skills.</p>
 
                        <p>Whether your child has first words or first grade on the horizon, we’re excited to show you how everything in our center is designed for learning!</p>
 
                        <p>Rhonda Huffman, Center Director</p>";Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Prekindergarten Programs (4 – 5 Years), Before and After School Programs (5–12 Years);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Prekindergarten Programs, Before and After School Programs;6 Weeks - 12 Years
300418;56537;Shelbyville KinderCare;8016 Shelbyville Rd.;;Louisville;KY;40222-5418;502;425-6916;Julie Mulhall;6:30 AM;6:00 PM;http://www.kindercare.com/our-centers/louisville/ky/300416/?cid=ref_childcarecenter_us;"<p>Our experts designed our classrooms - and every activity and lesson - to help prepare your child for success in school and beyond. With designated learning centers such as dramatic play and blocks in every classroom, children have the opportunity for rich social play and child-initiated discovery.</p>
 
                        <p>You’ll also find that our classrooms feature a print-rich environment full of carefully selected materials, written charts and labels, and children’s literature. By helping your child connect spoken words and print, we’re helping develop early literacy and writing skills.</p>
 
                        <p>Whether your child has first words or first grade on the horizon, we’re excited to show you how everything in our center is designed for learning!</p>
 
                        <p>Julie Mulhall, Center Director</p>";Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Before and After School Programs (5–12 Years);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Before and After School Programs;6 Weeks - 12 Years
300421;56538;Zorn KinderCare;730 Zorn Ave.;;Louisville;KY;40206-1402;502;897-0255;Karie Chance;6:30 AM;6:00 PM;http://www.kindercare.com/our-centers/louisville/ky/300420/?cid=ref_childcarecenter_us;Welcome to our center conveniently located near both 71 and 64 and to several area schools.  We provide a happy, safe and fun learning environment.  The atmosphere we maintain is friendly, but professional and puts both children and parents at ease.;Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Prekindergarten Programs (4 – 5 Years), Before and After School Programs (5–12 Years);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Prekindergarten Programs, Before and After School Programs;6 Weeks - 12 Years
