Name;Street;City;State;Zip;Phone;MT ID
La Branch Child Development Center;2320 Labranch;Houston;TX;77004;(317) 870-9509;381256
Daybridge Child Development Center;301 Innovation Boulevard;State College;PA;16803;(317) 870-9509;381258
CCLC at EA;250 Shoreline Drive;Redwood City;CA;94065;(317) 870-9509;381261
CCLC at UCAR;3050 34th Street;Boulder;CO;80301;(317) 870-9509;381262
CCLC Preschool in Los Altos ;2310 Homestead;Los Altos;CA;94024;(317) 870-9509;381264
 CCLC Preschool in Sunnyvale ;794 E Duane Avenue;Sunnyvale;CA;94085;(317) 870-9509;381265
CCLC Preschool at Monterey Presidio ;1608 Private Bolio Road;Monterey;CA;93940;(317) 870-9509;381267
Young Stars Child Development Center;207 S Houston Street;Dallas;TX;75202;(317) 870-9509;381269
Trailmark Learning Center;9743 S Carr Way;Littleton;CO;80127;(317) 870-9509;381270
First Flight Child Development Center;9320 Lincoln Boulevard;Los Angeles;CA;90045;(317) 870-9509;381275
Jackson National Life Child Development Center;2 Corporate Way;Lansing;MI;48951;(317) 870-9509;381278
Prodigy Child Development Center;2300 Cedar Bend Drive;Austin;TX;78758;(317) 870-9509;381280
Center for Children & Families at CSUSM;453 La Moree;San Marcos;CA;92078;(317) 870-9509;381281
USDA Child Development Center;201 14th Street SW;Washington;DC;20250;(317) 870-9509;381284
Windward Child Development Center;5830 Windward Pkwy;Alpharetta;GA;30005;(317) 870-9509;381287
Bayfront Child Development Center;800 6th Avenue S;Saint Petersburg;FL;33701;(317) 870-9509;381289
CCLC at 90 Park;90 Park Avenue;New York;NY;10016;(317) 870-9509;381294
CCLC at 2200 Penn;2200 Pennsylvania Avenue NW;Washington;DC;20037;(317) 870-9509;381299
CCLC Capitol City;744 P Street Ste 100;Sacramento;CA;95814;(317) 870-9509;381304
CCLC 4 NY Plaza;4 NY Plaza;New York;NY;10004;(317) 870-9509;381306
La Jolla Children's Learning Lab;10068 Pacific Heights Boulevard;San Diego;CA;92121;(317) 870-9509;381307
National Science Foundation Child Development Center;4201 Wilson Boulevard;Arlington;VA;22203;(317) 870-9509;381308
CCLC at Fred Meyer;2215 SE Gladstone St;Portland;OR;97202;(317) 870-9509;381312
University Kids;545 S Guardsman Way;Salt Lake City;UT;84108;(317) 870-9509;381313
Cleveland Children's Academy;1891 E 93rd Street;Cleveland;OH;44106;(317) 870-9509;381315
University Children's Center;446 E Ontario Street;Chicago;IL;60611;(317) 870-9509;381317
First Foundations Learning Center;7500 Security Boulevard;Windsor Mill;MD;21244;(317) 870-9509;381318
GWU Child Development Center;2033 K Street NW;Washington;DC;20006;(317) 870-9509;381329
Healthy Environments Child Development Center;95 Hawthorne Street;San Francisco;CA;94105;(317) 870-9509;447890
CCLC in Downtown Palo Alto;848 Ramona Avenue;Palo Alto;CA;94301;(317) 870-9509;465829
Diplotots, Too;600 19th St. NW State Annex 17a;Washington;DC;20431;(317) 870-9509;465868
The Children's School at URMC;55 Castleman Road;Rochester;NY;14620;(317) 870-9509;465869
