name;address;city;state;zip;phone_number;momtrusted_id;
Tutor Time;225 East 38th Street;New York;NY;10016;8002194278;17634;
Tutor Time;73 Old Route 22;Armonk;NY;10504;8002194278;18831;
Tutor Time;460 Bedford Rd;Pleasantville;NY;10570;8002194278;18979;
La Petite Academy;2000 Corporate Dr;Orangeburg;NY;10962;8002077313;19253;
Tutor Time;7817 3rd Ave;Brooklyn;NY;11209;8002194278;17143;
Tutor Time;1134 Jericho Turnpike;Commack;NY;11725;8002194278;20346;
Tutor Time;470 Patchogue-Holbrook Rd;Holbrook;NY;11741;8002194278;20385;
Tutor Time;1305 East Suffolk Avenue;Islandia;NY;11749;8002194278;20425;
Tutor Time;3062 Hempstead Turnpike;Levittown;NY;11756;8002194278;20435;
Tutor Time;1645 Montauk Highway;Oakdale;NY;11769;8002194278;20475;
Tutor Time;246 Carroll Ave;Ronkonkoma;NY;11779;8002194278;20494;
Childtime;157 Adams Ave;Hauppauge;NY;11788;8002194276;20520;
Childtime;1 Bethlehem Court;Delmar;NY;12054;8002194276;22422;
Tutor Time;3 Springhurst Drive;East Greenbush;NY;12061;8002194278;460876;
Childtime;853 Route #146;Clifton Park;NY;12065;8002194276;22436;
Tutor Time;325 Jordan Rd;Troy;NY;12180;8002194278;460877;
Childtime;28 Vly Road;Albany;NY;12205;8002194276;22469;
Childtime;8439 Loop Rd;Baldwinsville;NY;13027;8002194276;21190;
Tutor Time;4081 State Highway 31;Clay;NY;13041;8002194278;21223;
Childtime;5112 W Taft Rd;Liverpool;NY;13088;8002194276;21280;
Childtime;7453 1/2 Morgan Rd;Liverpool;NY;13090;8002194276;21286;
Childtime;3217 E Genesee St;Syracuse;NY;13214;8002194276;21366;
Childtime;4645 Nixon Park Dr;Syracuse;NY;13215;8002194276;21371;
Tutor Time;732 Vestal Parkway;Vestal;NY;13850;8002194278;21614;
Childtime;3121 Southwestern Blvd;Orchard Park;NY;14127;8002194276;21814;
Childtime;855 Hopkins Rd;Williamsville;NY;14221;8002194276;21965;
Childtime;585 Garnsey Rd;Fairport;NY;14450;8002194276;22658;
Childtime;4201 Buffalo Rd;North Chili;NY;14514;8002194276;22688;
Childtime;2052 Fairport Nine Mile Point Rd;Penfield;NY;14526;8002194276;22698;
Childtime;55 Hoover Dr;Rochester;NY;14615;8002194276;22779;
Childtime;400 Dorsey Road;Rochester;NY;14616;8002194276;22781;
Childtime;896 Calkins Rd;Rochester;NY;14623;8002194276;22815;
Tutor Time;6031 Baptist Rd;Pittsburgh;PA;15236;8002194278;33898;
La Petite Academy;515 Forty Foot Rd;Lansdale;PA;19446;8002077313;35361;
La Petite Academy;5986 Limestone Rd;Hockessin;DE;19707;8002077313;371179;
Tutor Time;2001 Brandywine Pkwy;Wilmington;DE;19803;8002194278;371471;
Tutor Time;5305 Limestone Rd;Wilmington;DE;19808;8002194278;371399;
La Petite Academy;1 Michigan Ave NW;Washington;DC;20010;8002077313;380542;
Childtime;8461 Signal Hill Rd;Manassas;VA;20110;8002194276;123611;
