"CCUS ID";"MT ID";"Name";"Address";"City";"State";"zip";
55417;766;"Little Miracles Child Development Center";"1530 East Kemper Road";"Cincinnati";"OH";45246;5137720707
55833;218171;"Appian Way KinderCare";"3600 Appian Way";"Lexington";"KY";40517;
55836;22093660;"Educare Learning Center";"2832 Snow Road";"Lexington";"KY";40517;
55844;22095061;"Trinity Hill Child Care Center";"210 E. Reynolds Rd.";"Lexington";"KY";40517;
55845;218271;"Custer KinderCare";"3199 Custer Dr.";"Lexington";"KY";40517;
55846;218261;"Lexington KinderCare";"2611 Wilhite Dr.";"Lexington";"KY";40503;
55860;22094384;"National Academy Preschool";"3500 Arbor Drive";"Lexington";"KY";40517;
55869;22093578;"Community Montessori School";"166 Crestwood Drive";"Lexington";"KY";40503;
55912;22093274;"Creative Kids Child Care Center";"2385 Huguenard Drive";"Lexington";"KY";40503;
55929;22094879;"Cherish The Child Care Center";"102 Dennis Drive 107 Dennis Drive";"Lexington";"KY";40503;
55941;218221;"Wellington KinderCare";"628 Wellington Way";"Lexington";"KY";40503;
55958;22094469;"Summit Christian Preschool";"2780 Clays Mill Road";"Lexington";"KY";40503;
55979;22094021;"Kare Bears";"3155 Custer Drive, Suite A";"Lexington";"KY";40517;
55981;22094615;"Shaw's Child Care";"2813 Snow Road";"Lexington";"KY";40517;
56313;218181;"Lyndon Lane KinderCare";"1100 Lyndon Lane";"Louisville";"KY";40222;
56322;22093369;"St. Joseph Child Development Center";"2823 Frankfort Avenue";"Louisville";"KY";40206;
56407;22093732;"Hayfield Montessori School";"2000 Tyler Lane";"Louisville";"KY";40205;
56412;22094859;"Holy Family Child Development Program";"3940 Poplar Level Road";"Louisville";"KY";40213;
56431;22095186;"Whitehall Day Care Center";"2633 Whitehall Terrace";"Louisville";"KY";40220;
56499;22093344;"St. Martha Child Care";"2825 Klondike Lane";"Louisville";"KY";40218;
56523;22094540;"Posh Posh Club Child & Family Enrichment Center";"1512 Crums Lane, Suite 101";"Louisville";"KY";40216;
56533;218241;"Klondike KinderCare";"3804 Klondike Lane";"Louisville";"KY";40218;
56535;218201;"Herr Lane KinderCare";"2013 Herr Lane";"Louisville";"KY";40222;
56536;218211;"Newburg KinderCare";"2990 Newburg Rd.";"Louisville";"KY";40205;
56537;218191;"Shelbyville KinderCare";"8016 Shelbyville Rd.";"Louisville";"KY";40222;
56538;218231;"Zorn KinderCare";"730 Zorn Ave.";"Louisville";"KY";40206;
56557;22094322;"Meriday Preschool";"3728 Taylorsville Road";"Louisville";"KY";40220;
56561;22093860;"Hikes Point Child Care";"3046 Hunsinger Lane";"Louisville";"KY";40220;
56770;22094890;"Visually Impaired Preschool Services";"1906 Goldsmith Lane";"Louisville";"KY";40218;
56815;22093905;"Little Red School House";"4104 Dixie Highway";"Erlanger";"KY";41018;
56816;22020536;"Grace Edgett Child Development Center";"31 Commonwealth Avenue";"Erlanger";"KY";41018;
56817;218251;"Richardson Road KinderCare";"4225 Richardson Rd.";"Independence";"KY";41051;
56847;22020466;"SonLight Preschool";"116 Commonwealth Avenue";"Erlanger";"KY";41018;
56895;22020535;"Silverlake Academy";"301 Kenton Lands Road";"Erlanger";"KY";41018;
56908;22020480;"Tender Steps Enrichment Center";"14 Graves Avenue";"Erlanger";"KY";41018;
56908;22094759;"Tender Steps Enrichment Center";"301 Center St";"Erlanger";"KY";41018;
81819;22041662;"A Creative Focus Learning Center";"720 Meadow Creek Ln";"Garland";"TX";75043;
81828;22041670;"A Kid's World";"110 McKibben";"League City";"TX";77573;
