"CCUS ID";"MT ID";"Name";"Address";"City";"State";"zip";;;;
104940;217981;"Newton KinderCare";"202 N 3rd Ave. W";"Newton";"IA";50208;"(877) 959-6679";;;
108067;217931;"West Cedar Rapids KinderCare";"310 Burdette Dr. SW";"Cedar Rapids";"IA";52404;"(877) 959-6679";;;
108068;217941;"East Cedar Rapids KinderCare";"5351 North Park Place North East";"Cedar Rapids";"IA";52402;"(877) 959-6679";;;
108931;217961;"Bettendorf KinderCare";"2330 Tech Dr.";"Bettendorf";"IA";52722;"(877) 959-6679";;;
109302;217951;"Davenport KinderCare Preschool";"2108 East Locust St.";"Davenport";"IA";52803;"(877) 959-6679";;;
533920;48914;"West Boca Raton KinderCare";"20650 95th Ave. South";"Boca Raton";"FL";33434;"(877) 959-6679";;;
661842;149721;"KinderCare at South Brunswick";"15 Stouts Lane";"Monmouth Junction";"NJ";8852;"(877) 959-6679";;;
661896;150171;"KinderCare at Millstone Twp.";"36 Trenton-Lakewood Rd.";"Millstone Township";"NJ";8510;"(877) 959-6679";;;
662019;150761;"KinderCare at Manalapan";"293 Gordon's Corner Rd.";"Englishtown";"NJ";7726;"(877) 959-6679";;;
662894;156621;"KinderCare at Branchburg";"212 Raritan Valley College Dr.";"Somerville";"NJ";8876;"(877) 959-6679";;;
689651;219111;"KinderCare of Wildwood";"16375 Pierside Lane";"Grover";"MO";63040;"(877) 959-6679";;;
707614;33653;"KinderCare Mt Lebanon";"1610 N Highland Rd.";"Pittsburgh";"PA";15228;"(877) 959-6679";;;
707726;33457;"KinderCare of Murrysville";"400 Old Abers Creek Rd.";"Pittsburgh";"PA";15239;"(877) 959-6679";;;
708794;36676;"State College KinderCare";"228 Farmstead Lane";"State College";"PA";16803;"(877) 959-6679";;;
709033;34035;"Great Valley KinderCare";"65 General Warren Blvd.";"Malvern";"PA";19355;"(877) 959-6679";;;
710026;33211;"KinderCare Boothwyn";"6 Creek Pkwy";"Marcus Hook";"PA";19061;"(877) 959-6679";;;
715330;35577;"East York KinderCare";"120 South Northern Way";"York";"PA";17402;"(877) 959-6679";;;
732642;219911;"KinderCare Midwest City";"9105 Apple Dr.";"Oklahoma City";"OK";73130;"(877) 959-6679";;;
837836;220411;"KinderCare at Fieldstone Farms";"2111 Fieldstone Pkwy";"Franklin";"TN";37069;"(877) 959-6679";;;
848438;217351;"Oakridge KinderCare";"4703 McMurry  Ave.";"Fort Collins";"CO";80525;"(877) 959-6679";;;
1009383;215831;"Torbett Street KinderCare";"306 Torbett St.";"Richland";"WA";99352;"(877) 959-6679";;;
1009384;215661;"Lakewood KinderCare";"8610 Phillips Road Southwest";"Lakewood";"WA";98498;"(877) 959-6679";;;
1009385;215601;"31st Avenue KinderCare";"123 31st Ave. SE";"Puyallup";"WA";98374;"(877) 959-6679";;;
1009389;215651;"University Place KinderCare";"5424 Orchard St. West";"University Place";"WA";98467;"(877) 959-6679";;;
