"Provider ID";"Type";"Regulation/Restriction";"Create Date";"Due Date";"Corrected Date";"Status"
347540;"Violation";"3.3.3: The FCCP shall establish a system for taking attendance, including documentation of the time when each child arrives and departs each day he/she attends the FCCH. The FCCP shall save all daily attendance records identifying the hours of children s attendance for at least twelve (12) months from the date that care is provided.";"04/04/2023";"04/05/2023";"04/05/2023";"Final"
347540;"Violation";"3.6.2.2: The FCCP shall ensure that evacuation drills are conducted at least once a month, and children and staff are evacuated in less than three (3) minutes.";"04/04/2023";"04/28/2023";"04/05/2023";"Final"
347540;"Violation";"5.10.4.2: Exits: Stairways, hallways, windows, and doors from the rooms used by children shall be clear and unobstructed from stored items, non-movable barriers, toys, and other items at all times.";"04/04/2023";"04/05/2023";"04/27/2023";"Final"
2971;"Violation";"3.4.7.3: Within six (6) months of the initial date of employment; staff and auxiliary staff left alone with children and/or counted in staff/child ratio as specified in the rule 6.2.1.8 of these regulations, and the program director shall maintain an up-to-date BFIS Quality and Credential Account. Documentation, verification of qualifications, and all annual professional development activities as specified in the rules in sections 7.3 and 7.4 of these regulations shall be submitted to Northern Lights at CCV to be verified and maintained in BFIS.";"01/13/2022";"02/04/2022";"02/03/2022";"Final"
2971;"Violation";"3.4.7.5: The licensee shall maintain a current list of the licensee or designee, staff, auxiliary staff, and volunteers as in the rules in section 7.7.5 of these regulations, as applicable in BFIS. Any changes shall be reported through BFIS within five (5) working days of the change.";"01/25/2021";"02/08/2021";"02/04/2021";"Final"
2971;"Violation";"3.4.7.3: Within six (6) months of the initial date of employment; staff and auxiliary staff left alone with children and/or counted in staff/child ratio as specified in the rule 6.2.1.8 of these regulations, and the program director shall maintain an up-to-date BFIS Quality and Credential Account. Documentation, verification of qualifications, and all annual professional development activities as specified in the rules in sections 7.3 and 7.4 of these regulations shall be submitted to Northern Lights at CCV to be verified and maintained in BFIS.";"01/25/2021";"02/08/2021";"01/26/2021";"Final"
176233;"Violation";"7.2.1: The licensee shall ensure that any new individuals regularly present at the CBCCPP submit a Records Check Authorization form to the Division prior to working with children in the CBCCPP.";"09/07/2023";"09/21/2023";;"Appeal Period"
176233;"Violation";"3.4.7.3: Within six (6) months of the initial date of employment; staff and auxiliary staff left alone with children and/or counted in staff/child ratio as specified in the rule 6.2.1.8 of these regulations, and the program director shall maintain an up-to-date BFIS Quality and Credential Account. Documentation, verification of qualifications, and all annual professional development activities as specified in the rules in sections 7.3 and 7.4 of these regulations shall be submitted to Northern Lights at CCV to be verified and maintained in BFIS.";"04/27/2022";"05/17/2022";"05/20/2022";"Final"
176233;"Violation";"7.2.4: The licensee shall ensure that no person shall be left alone with children without approval from the Division which shall be based on the results of the background check to include fingerprinting.";"03/09/2021";"03/09/2021";"03/02/2021";"Final"
176233;"Violation";"3.4.7.3: Within six (6) months of the initial date of employment, staff working with children and the program director shall maintain an up- to-date BFIS Quality and Credential Account. Documentation, verification of qualifications and all annual professional development activities as specified in the rules in sections 7.3 and 7.4 of these regulations shall be submitted to NLCDC to be verified and maintained in BFIS.";"02/11/2020";"02/25/2020";"04/10/2020";"Final"
176233;"Violation";"5.1.2: General Health Examinations: Within forty-five (45) days of enrollment, the licensee shall obtain documentation of the child's age appropriate well care exam from the parent. Documentation shall include information regarding any health conditions and medications that may impact the care of the child.";"02/11/2020";"03/03/2020";"04/10/2020";"Final"
2624;"Violation";"6.2.7.6: Profanity and obscene language shall not be used in the CBCCPP while children are present.";"11/21/2022";"12/20/2022";"12/21/2022";"Final"
2624;"Violation";"3.4.7.3: Within six (6) months of the initial date of employment; staff and auxiliary staff left alone with children and/or counted in staff/child ratio as specified in the rule 6.2.1.8 of these regulations, and the program director shall maintain an up-to-date BFIS Quality and Credential Account. Documentation, verification of qualifications, and all annual professional development activities as specified in the rules in sections 7.3 and 7.4 of these regulations shall be submitted to Northern Lights at CCV to be verified and maintained in BFIS.";"12/08/2021";"01/11/2022";"12/21/2021";"Final"
2624;"Violation";"6.2.6.1: Staff shall be able to hear all children of pre-kindergarten age and younger at all times, shall be able to see the children with a quick glance, and shall be able to physically respond immediately.";"12/07/2021";"12/21/2021";"01/11/2022";"Final"
2624;"Violation";"6.2.8.4.2: In the event that the concerns cannot be resolved, written notice to the child's parent(s) is required with at least five (5) days' notice prior to expulsion.";"07/07/2021";"07/29/2021";"07/23/2021";"Final"
2624;"Violation";"6.2.6.1: Staff shall be able to hear all children of pre-kindergarten age and younger at all times, shall be able to see the children with a quick glance, and shall be able to physically respond immediately.";"05/28/2021";"07/06/2021";"06/23/2021";"Final"
2624;"Violation";"6.2.8.3: Staff shall ensure that a positive transition plan is created and utilized with parental knowledge and support when a child is moved from one (1) group or room to another group or room.";"05/20/2021";"06/15/2021";"06/04/2021";"Final"
2624;"Violation";"6.2.7.4.6: No form of inappropriate discipline or corporal punishment shall be used with children such as but not limited to: Making disparaging remarks regarding a child or his/her family.";"11/19/2020";"12/04/2020";"12/04/2020";"Final"
2624;"Violation";"6.2.6.1: Staff shall be able to hear all children of pre-kindergarten age and younger at all times, shall be able to see the children with a quick glance, and shall be able to physically respond immediately.";"03/09/2020";"06/10/2020";"06/10/2020";"Final"
2624;"Violation";"5.4.2.5: Soft objects, toys or loose bedding shall not be used in infants' sleep areas. Soft or loose bedding includes: bumper pads, pillows, quilts, comforters, sheepskins, blankets, flat sheets, cloth diapers, and bibs. Infants shall not be swaddled for sleep.";"11/06/2019";"11/06/2019";"11/06/2019";"Final"
