"Facility Name";"Site Address";"Zip";"City";"County";"State";"Phone";"Facility Type";"License Type";"Expiration Date";"Administrator";"Business Hours";"Business Days";"Capacity";"Ages";"Inspector";"Provider ID";"Subsidy";"Address 2";"Quality Level";"Qualification";"License/Facility ID#";"Registration Duration"
"Belle Croft Preschool";"24051 Drummondtown Road";23301;"Accomac";"Accomack";"VA";"(757) 787-1864";"Child Day Center";"Two Year";"Feb. 21, 2025";"Ms. Merissa Farmer";"7:30 a.m. - 5:30 p.m.";"Monday - Friday";81;"1 month - 12 years 11 months";"Arlene Agustin: (804) 629-7519";16844;"Yes";;;;867267;
"Boys & Girls Clubs of Southeast Virginia-Eastern Shore Club";"24577 Mary N. Smith Road";23301;"Accomac";"Accomack";"VA";"(757) 709-3038";"Child Day Center";"Conditional";"Oct. 2, 2023";"Kathy Custis";"2:30pm(school year) 7:30am(summer) - 8:00pm(school year) 5:30pm(summer)";"Monday - Friday";200;"5 years - 12 years";"Kimberly Sampson: (757) 354-7307";48957;"Yes";" #300";;;1109394;
"Children's Harbor Eastern Shore";"20250 Fairgrounds Road";"23417-1305";"Onancock";"Accomack";"VA";"(757) 302-0700";"Child Day Center";"Two Year";"Sept. 29, 2024";"Ms. Trina M Cooper";"6:00am - 6:00pm";"Monday - Friday";88;"1 month - 12 years";"Emily Walsh: (757) 404-2575";47881;"Yes";;;;1109237;
"East Coast Migrant Head Start Project Parksley Educational Campu";"20344 Lankford Highway";23421;"Parksley";"Accomack";"VA";"(757) 665-4976";"Child Day Center";"Two Year";"Oct. 5, 2023";"Lashaundra Blake";"6:00m AM - 6:00 PM";"Monday - Friday";85;"1 month - 6 years";"Emily Walsh: (757) 404-2575";41140;"No";" PO Box 497";;;1107734;
"Eastern Shore Early Childhood Development Center";"24429 Front Street";23301;"Accomac";"Accomack";"VA";"(757) 787-8774";"Child Day Center";"Two Year";"Nov. 18, 2023";"Ms Shelia Douglas";"8:00 AM - 4:00 PM";"Monday - Friday";100;"3 years - 5 years";"Kimberly Sampson: (757) 354-7307";27459;"Yes";;;;1105070;
"Eastern Shore Family YMCA";"26164 Lankford Highway";23418;"Onley";"Accomack";"VA";"(757) 787-5601";"Child Day Center";"Two Year";"Sept. 14, 2024";"Ms. Andre Elliott";"6:30am - 6:30pm";"Monday - Friday";50;"5 years - 12 years";"Nanette Roberts: (757) 404-2322";46275;"Yes";;;;1108802;
"Fathima Muainudeen";"3129 Darwin Drive";22062;"Falls church";"Accomack";"VA";"(703) 812-4699";"Family Day Home";"Two Year";"Aug. 9, 2025";;"7:00 am - 6:00 pm";"Monday - Friday";7;"3 months - 4 years 11 months";"Ann Dramstad: (703) 314-0860";42471;"No";;;;1109296;
"Hallwood Head Start";"28281 Main Street";23359;"Hallwood";"Accomack";"VA";"(757) 854-1800";"Child Day Center";"Two Year";"Sept. 14, 2024";"Ms. Tange Francis";"7:00am - 4:30 PM";"Monday - Friday";82;"3 years - 5 years";"Nanette Roberts: (757) 404-2322";23598;"Yes";;;;1065037;
"Ms. Kenya Rogers";"33412 Lankford Highway";23420;"Painter";"Accomack";"VA";"(757) 442-4859";"Family Day Home";"Two Year";"Sept. 30, 2025";;"7:30 AM - 7:30 PM";"Monday - Sunday";12;"Birth - 12 years 11 months";"Arlene Agustin: (804) 629-7519";45175;"Yes";;;;1109822;
"Onley Preschool";"26122 Redwood Road";23418;"Onley";"Accomack";"VA";"(757) 787-1867";"Child Day Center";"Three Year";"Jan. 5, 2025";"Mrs. Linda Taylor";"7:30 a.m. - 5:30 p.m.";"Monday - Friday";77;"2 years - 12 years 11 months";"Emily Walsh: (757) 404-2575";14794;"Yes";;;;773111;
"Coastal Virginia District of the United Methodist Church";"4605 Fleming Road";23395;"Horntown";"Accomack";"VA";"(757) 824-0072";"Religious Exempt Child Day Center";"Exempt";"Aug. 1, 2024";"Ms. Doris Cropper";"7:00 am - 4:30 pm";"Monday - Friday";36;"3 years - 12 years";"Nanette Roberts: (757) 404-2322";24132;"No";" P O Box 155";;;1073161;
