"Facility Name";"Site Address";"Zip";"City";"County";"State";"Phone";"Facility Type";"License Type";"Expiration Date";"Administrator";"Business Hours";"Business Days";"Capacity";"Ages";"Inspector";"Provider ID";"Subsidy";"Address 2";"Quality Level";"Qualification";"License/Facility ID#";"Registration Duration"
"Belle Croft Preschool";"24051 Drummondtown Road";23301;"Accomac";"Accomack";"VA";"(757) 787-4321";"Child Day Center";"Two Year";"Feb. 21, 2021";"Mrs. Jean Byrd Steelman";"7:15 a.m. - 5:30 p.m.";"Monday - Friday";81;"1 month - 12 years 11 months";"Chris Robinson: (757) 404-2322";16844;"Yes";;;;867267;
"Eastern Shore Early Childhood Development Center";"24429 Front Street";23301;"Accomac";"Accomack";"VA";"(757) 787-8774";"Child Day Center";"Two Year";"Nov. 18, 2021";"Ms Tange Francis";"8:00 AM - 4:30 AM";"Monday - Friday";100;"3 years - 5 years";"Kimberly Sampson: (757) 354-7307";27459;"No";;3;;1105070;
"Eastern Shore Family YMCA";"26164 Lankford Highway";23418;"Onley";"Accomack";"VA";"(757) 787-5601";"Child Day Center";"Conditional";"Dec. 14, 2020";"Ms. Virginia Browning";"6:30am - 6:30pm";"Monday - Friday";50;"5 years - 12 years";"Chris Robinson: (757) 404-2322";46275;"Yes";;;;1108802;
"Hallwood Head Start";"28281 Main Street";23359;"Hallwood";"Accomack";"VA";"(757) 854-1800";"Child Day Center";"Two Year";"Sept. 14, 2022";"Ms. Tange Francis";"7:00am - 6:00 PM";"Monday - Friday";82;"3 years - 5 years";"Chris Robinson: (757) 404-2322";23598;"No";;3;;1065037;
"Ms. Kathy Parker";"28084 Beacon Road";23410;"Melfa";"Accomack";"VA";"(757) 787-1347";"Family Day Home";"Two Year";"April 21, 2021";;"5:15 am - 1:30 am";"Monday - Sunday";12;"Birth - 12 years 11 months";"Kimberly Sampson: (757) 354-7307";15714;"Yes";;;;827001;
"Ms. Kenya Rogers";"33412 Lankford Highway";23420;"Painter";"Accomack";"VA";"(757) 442-4859";"Family Day Home";"One Year";"Sept. 30, 2021";;"12:00 AM - 12:00 AM";"Monday - Sunday";12;"Birth - 12 years 11 months";"Jackie Ware: (757) 404-3063";45175;"Yes";;;;1109822;
"Onley Preschool";"26122 Redwood Road";23418;"Onley";"Accomack";"VA";"(757) 787-1867";"Child Day Center";"Two Year";"Jan. 5, 2021";"Mrs. Linda Taylor";"7:30 a.m. - 5:30 p.m.";"Monday - Friday";77;"2 years - 12 years 11 months";"Chris Robinson: (757) 404-2322";14794;"Yes";;;;773111;
"Parksley Migrant Head Start";"20344 Lankford Highway";23421;"Parksley";"Accomack";"VA";"(757) 665-4976";"Child Day Center";"Two Year";"Oct. 5, 2021";"Lashundra Weeks";"6:00m AM - 6:00 PM";"Monday - Friday";85;"1 month - 6 years";"Emily Walsh: (757) 404-2575";41140;"No";" PO Box 497";3;;1107734;
"Eastern Shore District of the United Methodist Church";"4605 Fleming Road";23395;"Horntown";"Accomack";"VA";"(757) 824-0072";"Religious Exempt Child Day Center";"Exempt";"Aug. 1, 2021";"Ms. Doris Cropper";"7:00 am - 6:00 pm";"Monday - Friday";36;"3 years - 12 years";"Chris Robinson: (757) 404-2322";24132;"No";" P O Box 155";;;1073161;
"Ms. Betty Young";"19047 Deerfoot Road";23401;"Keller";"Accomack";"VA";"(757) 787-2394";"Voluntary Registration";;"July 23, 2021";;"7:00 a.m. - 7:00 p.m.";"Monday - Friday";4;;"Chris Robinson: (757) 404-2322";41071;"No";;;;4965;"Two Year"
"Ms. Claudette Johnson";"6111 Rantz Street";23415;"New church";"Accomack";"VA";"(757) 824-0696";"Voluntary Registration";;"May 30, 2020";;"5:00 a.m. - 12:00 a.m.";"Monday - Friday";4;;"Jackie Ware: (757) 404-3063";39111;"No";;;;4350;"Two Year"
"Ms. Deborah Clark";"27123 Seaside Park";23421;"Parksley";"Accomack";"VA";"(757) 894-3200";"Voluntary Registration";;"March 6, 2022";;"5:00 A.M. - 3:00 A.M. (hours varies)";"Monday - Friday";4;"Birth - 12 years 11 months";"Jackie Ware: (757) 404-3063";37142;"No";;;;3698;"Two Year"
