"id";"name";"address";"city";"state";"zip";"county";"phone";"main website";"email";"details";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4";"bad url?";
988817;"Especially Yours Child Development Center";"1605 Jefferson Davis Highway";"Richmond";"VA";23224;"RICHMOND CITY";"(804) 230-4381";;;;;;;;;;;;;;;;;;;;;"Y";
988834;"Fun Farm Centers, Inc.";"121 Commerce Park Drive";"Manquin";"VA";23106;"KING WILLIAM";"(804) 769-2195";"http://www.funfarmcenters.com/";;"Our Center offers a variety of developmentally appropriate activities that support childrens' social, physical, cognitive, and creative development.
Our individual learning centers involve Math, Science, Music, and Dramatic Play concepts.

We believe in an environmentally based, hands on approach to learning. In addition to our philosophy, we utilize the Creative Curriculum for Preschool Learning, as well as the ABeka Preschool Curriculum for Twos, Threes, and Fours.

Children will learn number and letter recognition, as well as phonics.  We also incorporate weekly Bible lessons to include memory verses, Bible Stories, and finger plays.";"http://www.funfarmcenters.com/";;"6:30 am – 6:00 pm";"http://www.funfarmcenters.com/Employment.html";"http://www.funfarmcenters.com/PDF_ForWebsite/FunFarmCenters_2012-2013_Registration_Form_v20121116.pdf";"http://www.funfarmcenters.com/PDF_ForWebsite/FunFarmCenters_Family_Handbook_2012-2013_v20121116.pdf";"n";"n";"y";"y";"n";"n";"http://www.funfarmcenters.com/FunFarm_Final.jpg";"http://www.funfarmcenters.com/04232007001_86500881.jpg";"http://www.funfarmcenters.com/files/QuickSiteImages/kids-playing.jpg";;;;
988729;"ACAC Preschool";"200 Four Seasons Drive";"Charlottesville";"VA";22901;"Albemarle";"(434) 978-7529";"http://acac.com/charlottesville/youth/pre-school/";;"acac Preschool is a year-round, full-day program for children ages 2 through rising Kindergarten. Our preschool program is licensed by the Virginia Department of Social Services and led by a qualified teaching team—all lead teachers have college degrees and extensive teaching experience. With minimal closings throughout the year and hours from 7:00am-5:30pm, acac Preschool supports a working family’s schedule. acac Preschool is held at Adventure Central, in spacious, well-lit classrooms. Students enjoy time outside in the large outdoor playground, basketball area, sandbox, and turf field. On cold and rainy days, they can still run and play in the indoor playground and arena. May through September, swimming the outdoor Waterpark is part of the preschool week.";"http://acac.com/charlottesville/youth/pre-school/";"https://www.facebook.com/acacfitnessandwellness";"7:00am-5:30pm";;;;"n";"y";"y";"y";"n";"n";"http://acac.com/app/themes/acac/app/assets/build/img/top_logo.png";"http://acac.com/app/uploads/2014/08/CV_Preschool_1200x320.jpg";;;;;
988787;"Chickahominy Family YMCA Afterschool Program - Highland Springs";"600 Pleasant Street";"Highland Springs";"VA";23075;"HENRICO";"(804) 737-9622";"http://www.ymcarichmond.org/chickahominy/programs-registration/youth-development/child-care/before-and-after-school-child-care/";"moored@ymcarichmond.org";"YMCA Before- and After-School Child Care Elementary School Age Child Care is designed for children in kindergarten through fifth grade. Programs for this age group complement and enhance formal education, and provide learning opportunities that build relationships, develop character and inspire discovery to help foster your child’s academic success";"http://www.ymcarichmond.org/chickahominy/programs-registration/youth-development/child-care/before-and-after-school-child-care/";;;"http://ymcarichmond.iapplicants.com/";"www.ymcarichmond.org/chickahominy/programs-registration/";;"n";"n";"n";"n";"y";"y";"http://www.ymcarichmond.org/uploadedImages/y_logo_yd.jpg?n=760";"http://www.ymcarichmond.org/uploadedImages/Header/header_cc%281%29.jpg";"http://www.appdocs.com/iappsupportimages/files/YMCA%20of%20Greater%20Richmond%20basketball%20kid%20.jpg";"http://www.appdocs.com/iappsupportimages/files/YMCA%20of%20Greater%20Richmond%20child%20care.jpg";"http://www.ymcarichmond.org/uploadedImages/Header/header_yd.jpg";;
988806;"Eagles Nest Learning Center Denbigh L&D";"902 Lucas Creek Road";"Newport News";"VA";23608;"NEWPORT NEWS CITY";"(757) 872-4870";;;;;;;;;;;;;;;;;;;;;"Y";
988805;"Eagles Nest Learning Center";"1196 Green Garden Circle";"Virginia Beach";"VA";23453;"VIRGINIA BEACH CITY";"(757) 468-5747";;;;;;;;;;;;;;;;;;;;;"Y";
988799;"Daylily Preschool";"4283 Old Three Notched Road";"Charlottesville";"VA";22901;"Albemarle";"(434) 996-8397";;;;;;;;;;;;;;;;;;;;;"Y";
988797;"Cuddle Bugs Learning Center";"5036 East Princess Anne Road";"Norfolk";"VA";23502;"NORFOLK CITY";"(757) 855-1502";"http://cuddlebugslearn.com/";"t.key@cuddlebugslearn.com";"CUDDLEBUGS LEARNING CENTER is a mid-sized child care facility and after school program that serves infants, toddlers, pre-school and school-aged children in Chapel Hill, Texas and surrounding cities. Our mission is to prepare your child to become a life-long learner in a loving, safe and activity-based environment. Children will be praised, rewarded and hugged daily. All children will be given the freedom – in a structured environment- to be responsible, supportive, culturally diverse, creative explorers and problem solvers. Our primary goal is to provide a loving, safe, stimulating environment for your child to learn and grow.";"http://cuddlebugslearn.com/";"https://www.facebook.com/pages/CuddleBugs-Learning-Center/315203558494237";"Monday – Friday
6:30am – 6:00pm";"http://cuddlebugslearn.com/?page_id=153";;"http://cuddlebugslearn.com/?page_id=166";"y";"y";"y";"y";"y";"y";"http://cuddlebugslearn.com/wp-content/uploads/2011/11/cblogo.png";"https://scontent-nrt.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/390657_647082525306337_428454914_n.jpg?oh=140b6e37a4ee1887bf43897661e4261b&oe=558BFDCE";"https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/s720x720/396038_364575970223662_1791443104_n.jpg?oh=a8832b8e6c0587610766dcc535d8cce7&oe=557E7433&__gda__=1434316564_5aa1b787b5f536cf995577bfb3c9e4e0";"https://scontent-nrt.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/s720x720/396118_364576890223570_2024887442_n.jpg?oh=2724bd53f817b70d3c898bcf7d146508&oe=558DEC86";"https://scontent-nrt.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/s720x720/407442_364580020223257_1408840743_n.jpg?oh=c5568fbb6ba792a49b77700394dfb4e6&oe=5593502C";;
1116668;"YMCA Summer Camp at Greenbrier Family YMCA";"1003 Greenbrier Parkway";"Chesapeake";"VA";23320;"CHESAPEAKE CITY";"(757) 547-9622";;;;;;;;;;;;;;;;;;;;;"Y";
988828;"First Baptist Church";"515 3rd Street";"Roanoke";"VA";24016;"ROANOKE CITY";"540.224.3300";;;;;;;;;;;;;;;;;;;;;"Y";
