"FacilityId";"Name";"Type";"Address";"City";"State";"Zip";"Phone";"Capacity";"Accepts Vouchers";"CACFP";"Infant";"Toddler";"Pre-School";"School Age";"Quality Rating";"Accreditation Type";"Expiration Date";"Schedule";"Monday";"Tuesday";"Wednesday";"Thursday";"Friday";"Saturday";"Sunday";"Other Hours";"License Type";"License Definition";"License Begin Date";"License Expiration Date"
2724;"AlphaBEST Education @ KIPP DC Shaw Campus";"CDC (Child Development Center)";"421 P ST, NW";"Washington ";"D.C.";20001;"(703) 659-3092";213;1;;"No";"No";"Yes";"Yes";"Preliminary";;;;"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Oct 31, 2019";"Aug 31, 2022"
1761;"ARE Celebration In Learning Inc";"CDC (Child Development Center)";"45 P ST, NW";"Washington";"D.C.";20001;"(202) 483-9424";100;1;;"No";"Yes";"Yes";"Yes";"Quality";"NAEYC";"Dec 01, 2020";"All Year";"7:00AM - 6:30PM";"7:00AM - 6:30PM";"7:00AM - 6:30PM";"7:00AM - 6:30PM";"7:00AM - 6:30PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Jun 25, 2017";"Jun 30, 2020"
2247;"Arnold & Porter LLP Children Center";"CDC (Child Development Center)";"601 Massachusetts AVE, NW";"Washington";"D.C.";20001;"(202) 942-5437";62;;;"Yes";"Yes";"Yes";"Yes";"Preliminary";"NAEYC";"Aug 31, 2018";"All Year";"8:00AM - 9:30PM";"8:00AM - 9:30PM";"8:00AM - 9:30PM";"8:00AM - 9:30PM";"8:00AM - 9:30PM";"8:00AM - 9:30PM";"8:00AM - 9:30PM";"Saturdays: 9:00 - 5:00 Sundays: 12:00-4:00";"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Oct 05, 2017";"Oct 31, 2020"
2172;"Bambini Play & Learn, Day Care Center, LLC";"CDC (Child Development Center)";"900 Massachusetts AVE, NW";"Washington";"D.C.";20001;"(202) 737-5454";54;;;"Yes";"Yes";"Yes";"No";"N/A";;;"All Year";"8:00AM - 6:00PM";"8:00AM - 6:00PM";"8:00AM - 6:00PM";"8:00AM - 6:00PM";"8:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Sep 12, 2017";"Sep 30, 2020"
2205;"Barbara Chambers Children Center #2";"CDC (Child Development Center)";"1734 7th ST, NW";"Washington";"D.C.";20001;"(202) 518-0456";36;1;1;"Yes";"Yes";"No";"No";"Quality";"NAEYC";"Dec 01, 2023";"All Year";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Feb 27, 2018";"Feb 28, 2021"
1910;"Bright Horizons Early Education & Backup Center @ East End";"CDC (Child Development Center)";"901 New York AVE, NW";"Washington";"D.C.";20001;"(202) 408-1050";82;;;"Yes";"Yes";"Yes";"Yes";"N/A";;;"All Year";"7:30AM - 6:30PM";"7:30AM - 6:30PM";"7:30AM - 6:30PM";"7:30AM - 6:30PM";"7:30AM - 6:30PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Jan 16, 2018";"Jan 31, 2021"
1789;"Christian Tabernacle CDC 1";"CDC (Child Development Center)";"1000 V ST, NW";"Washington";"D.C.";20001;"(202) 265-9040";75;1;1;"Yes";"Yes";"Yes";"No";"Quality";"NAEYC";"Oct 01, 2023";"All Year";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Dec 02, 2017";"Dec 31, 2020"
2152;"Christian Tabernacle CDC 2";"CDC (Child Development Center)";"2033 11TH ST, NW";"Washington";"D.C.";20001;"(202) 265-9040";21;1;1;"No";"Yes";"No";"No";"Quality";"None";;"All Year";"6:00AM - 7:00AM";"6:00AM - 7:00AM";"6:00AM - 7:00AM";"6:00AM - 7:00AM";"6:00AM - 7:00AM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Jul 14, 2017";"Jul 31, 2020"
1807;"DC Superior Court Child Care Center";"CDC (Child Development Center)";"500 Indiana AVE, NW, Unit 211";"Washington";"D.C.";20001;"(202) 879-1684";20;;;"No";"Yes";"Yes";"Yes";"N/A";"None";;"All Year";"8:30AM - 5:00PM";"8:30AM - 5:00PM";"8:30AM - 5:00PM";"8:30AM - 5:00PM";"8:30AM - 5:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Dec 11, 2017";"Dec 31, 2020"
2649;"Early Learner Academy";"CDC (Child Development Center)";"474 Ridge ST, NW";"Washington ";"D.C.";20001;"(703) 589-0990";28;1;;"No";"Yes";"Yes";"No";"Preliminary";;;"All Year";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Jun 25, 2018";"Jun 30, 2021"
