id;name;facility_type;address;email;state;zip;phone;capacity;accepts_vouchers;food_program;serves_infant;serves_toddler;serves_preschool;serves_school_age;capital_quality_designation;accreditation_type;accreditation_expires;service_schedule;schedule_monday;schedule_tuesday;schedule_wednesday;schedule_thursday;schedule_friday;schedule_saturday;schedule_sunday;ages_served;license_type;license_type_definition;current_license_begin_date;current_license_expiration_date;facility_type_short;contact;languages_spoken;accreditation;mission_statement;original_license_issuance_date;url;lat;lng;region;capital_quality_participant;nontraditional;montessori;PreK_enhancement;early_childhood_education;home_provider;expanded_home_provider;faith_based;charter_school;before_and_after_program;employer_supported;quality_improved_network;early_head_start;head_start;federal_government_facility;dc_government_facility;private_school;private_elementary_and_middle_school;dcps;homeless;play_based_nursery_school
2765;2 New Heights Child Development Center;Child Development Center;6207 Blair RD;dr.battle@2newheightscdc.com;DC;20011;(202) 726-1999;98;1;1;Yes;Yes;Yes;Yes;Quality;NAEYC;July 01, 2022;;06:30 AM-05:30 AM;06:30 AM-05:30 AM;06:30 AM-05:30 AM;06:30 AM-05:30 AM;06:30 AM-05:30 AM;06:30 AM-05:30 AM;06:30 AM-05:30 AM;0 - 5+ years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;July 24, 2020;February 28, 2023;CDC;Ernesta Battle;English;;The philosophy of 2 New Heights Child Development Center is based on the belief that each child is a worthy individual endowed with unique capabilities and talents. 2 New Heights Child Development Center is guided on the premise that ALL children can excel within an environment that is conducive to learning. We provide social, emotional and academic opportunities through developmentally appropriate activities that will stimulate the cognitive, affective and psychomotor domains. We believe parents are the most important adults in a child’s life, and we work to strengthen those relationships. Together we can provide positive experiences for young children. PREVIOUS MISSION STATEMENT At 2 New Heights CDC, we believe that children will excel to new heights given the proper guidance and stimuli. Our mission is to: • Develop the students’ skills through active learning • Provide quality and caring childcare in a friendly, positive and developmentally appropriate environment • Focus on literacy and numeracy through the exploration of Reading, Mathematics, Science, Social Studies and beginning Spanish instruction. • Encourage creativity and independence • Provide a safe and secure learning environment REVISED MISSION STATEMENT 2 New Heights CDC mission is to provide children with a safe and nurturing environment that will stimulate the cognitive, affective and psychomotor domains. We believe that parents are the most important adults in a childf's life and we partner with our parents to strengthen those relationships. 2 New Heights CDC is guided on the premise that all children can excel in an environment that is conducive to learning.;February 05, 2020;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2765;38.9652134;-77.011816;NW;1;1;;;;;;;;;;;;;;;;;;;
2642;A Step Above Child Development Center;Child Development Center;1424 North Capitol ST;dcenter3@aol.com;DC;20002;(202) 986-1351;31;1;1;Yes;Yes;Yes;No;Developing;;;All Year;07:00 AM-05:30 PM;07:00 AM-05:30 PM;07:00 AM-05:30 PM;07:00 AM-05:30 PM;07:00 AM-05:30 PM;Closed;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;August 29, 2018;March 31, 2021;CDC;Marquita Reeder;English;None;A Step Above Child Development Center offers innovative, year round, full day educational preschool as well as infant care. Providing a safe, developmentally appropriate environment for Infants (six weeks)-Preschool(five years old) children. Our focus is to provide a stimulating early care and educational experience, which promotes each child's social/emotional, physical and cognitive development. Our goal is to support all parents and children without limitation in our community.;March 26, 2018;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2642;38.9093636;-77.0094164;NW;1;;;;1;;;;;;;;;;;;;;;;
2030;ABC Child Development Center;Child Development Center;32 Grant Circle;ABCCHILDDEVELOPMENT@YAHOO.COM;DC;20011;(202) 829-8444;205;1;1;Yes;Yes;Yes;Yes;Progressing;;;All Year;07:00 AM-06:30 PM;07:00 AM-06:30 PM;07:00 AM-06:30 PM;07:00 AM-06:30 PM;07:00 AM-06:30 PM;Closed;Closed;0 - 5+ years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;January 18, 2018;January 31, 2021;CDC;LaKeeda Wilson;English;None;Our mission is to provide to every young child from every race, socioeconomic status and cultural background with an early educational foundation through that will put them on a path that leads them to Pre-K readiness and ultimately becoming productive adults in society.;July 30, 2010;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2030;38.9426156;-77.0201452;NW;1;;;;1;;;;;;;;;;;;;;;;
2508;Ada Masin Guzman;Child Development Home;305 Hamilton ST;aditamasin80@gmail.com;DC;20011;(202) 425-9027;5;1;1;Yes;Yes;No;No;Quality;;;All Year;08:00 AM-06:00 PM;08:00 AM-06:00 PM;08:00 AM-06:00 PM;08:00 AM-06:00 PM;08:00 AM-06:00 PM;Closed;Closed;0 - 3 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;October 08, 2020;October 31, 2023;CDH;Ada Guzman;Spanish;None;I am a dedicated and supportive provider and the mission of my program is to continue to grow professionally in order to better serve children and families. To provide supportive services to ALL children. To utilize strengths and challenge weaknesses. To establish a fun and safe learning environment. To enable children to make discoveries and realize their potential. To support and build a trusting relationship with parents, children and other professionals in my community.;June 30, 2015;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2508;38.9534154;-77.0164939;NW;1;;;;1;;;;;;;;;;;;;;;;
2598;Adeola Oyekola;Child Development Home Expanded;866 Yuma ST;adeola@crystalhomecare.net;DC;20032;(202) 341-3504;9;1;1;Yes;Yes;Yes;Yes;Developing;Family Child Care;November 01, 2019;All Year;06:00 AM-05:00 AM;06:00 AM-05:00 AM;06:00 AM-05:00 AM;06:00 AM-05:00 AM;06:00 AM-05:00 AM;06:00 AM-05:00 AM;06:00 AM-05:00 AM;0 - 5+ years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;April 13, 2020;February 28, 2023;CDX;Adeola Oyekola;English;;Crystal Home Care (Adeola Oyekola CDH) provides teaching and school readiness for every enrolled child. She also provides a secure environment for children during the most important time of their development. Crystal Home Care offers a home away from home care with the goal to provide: a safe and nurturing environment a learning environment a Christian based curriculum (Abeka} and to foster unconditional love;February 08, 2017;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2598;38.8323504;-76.9924055;SE;1;1;;;;;1;;;;;;;;;;;;;;
1738;Adventureland Day Nursery # 1;Child Development Center;4015 Kansas AVE;adventureland_cofer1@verizon.net;DC;20011;(202) 722-0828;61;1;1;Yes;Yes;Yes;Yes;Quality;NAEYC;December 01, 2020;All Year;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;Closed;Closed;0 - 5+ years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;October 25, 2017;October 31, 2020;CDC;Evelyn Burrow;English;;It is the mission of Adventureland to foster the academic and social/emotional growth and development of all students in a safe and healthy learning environment. Adventureland will equip all students with the knowledge and tools to become high achievers, proficient readers, and critical thinkers, who will thrive for a lifetime as productive and caring citizens. The families and community are engaged in all children/parent activities which include, but not limited to Annual Open House, Parent Conferences, Workshops, and Extra Curricular Activities.;February 27, 1984;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=1738;38.9401768;-77.02683;NW;1;;;;1;;;;;;;;;;;;;;;;
1955;Adventureland Day Nursery II;Child Development Center;1109 Buchanan ST;adventureland_cofer1@verizon.net;DC;20011;(202) 722-0801;20;1;1;No;Yes;Yes;No;Quality;NAEYC;December 01, 2020;All Year;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;Closed;Closed;1 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;October 07, 2017;October 31, 2020;CDC;Thelma Cofer;English;;This facility has no mission statement at this time.;August 13, 2008;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=1955;38.9463408;-77.0274305;NW;1;;;;1;;;;;;;;;;;;;;;;
2235;Agape Woodland Tiger Children Academy Agape Cabbage Patch #3;Child Development Center;3200 S ST;agapecabbagepatchinfant@yahoo.com;DC;20020;(202) 575-0694;74;1;;Yes;Yes;Yes;Yes;Progressing;;;All Year;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;Closed;Closed;0 - 5+ years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;December 21, 2017;January 28, 2021;CDC;Monica Dowtin;English;None;This facility has no mission statement at this time.;June 16, 2015;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2235;38.8682691;-76.9597117;SE;1;;;;;;;;;;;;;;;;;;;;
2626;Aida Mendoza/Tita's Family Home DayCare;Child Development Home Expanded;5310 Macarthur BLVD;aidajmendoza618@gmail.com;DC;20016;(202) 364-4488;9;;;Yes;Yes;Yes;No;Not Participating;;;All Year;08:00 AM-06:00 PM;Closed;08:00 AM-06:00 PM;08:00 AM-06:00 PM;Closed;Closed;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;November 22, 2017;November 30, 2020;CDX;Aida Mendoza;English;None;This facility does not currently participate in the Capital Quality program. Learn more about Capital Quality here.;December 22, 2017;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2626;38.9277992;-77.1049983;NW;;;;;;;;;;;;;;;;;;;;;
1824;Aidan Montessori School;Child Development Center;2700 27th ST;d.merkel@aidanschool.org;DC;20008;(202) 387-2700;130;;;No;Yes;Yes;Yes;Not Participating;AMI;January 01, 0001;School Year;08:00 AM-06:00 PM;08:00 AM-06:00 PM;08:00 AM-06:00 PM;08:00 AM-06:00 PM;08:00 AM-06:00 PM;Closed;Closed;1 - 5+ years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;January 08, 2018;January 31, 2021;CDC;Denise Merkel;English;;This facility does not currently participate in the Capital Quality program. Learn more about Capital Quality here.;February 08, 1996;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=1824;38.9262031;-77.0556103;NW;;;1;;;;;;;;;;;;;;;;;;
