"provider_id";"date";"deficiency_code";"deficiency_description";"resolution_date";"allegation_type"
2535;"10-22-2019";102.1;"Operating a Child Development Facility either directly or indirectly without first obtaining a license issued by OSSE, or its successor agency.";"10-22-2019";"Administrative"
2535;"10-18-2019";102.1;"Operating a Child Development Facility either directly or indirectly without first obtaining a license issued by OSSE, or its successor agency.";"10-22-2019";"Administrative"
2535;"09-25-2019";101.4;"Any person either directly or indirectly operating a Facility, for any purpose, until a license has been issued to that person stating that the use complies with the provisions of this chapter and all applicable federal and local laws and regulations";"09-26-2019";"Administrative"
2535;"06-17-2019";102.1;"Operating a Child Development Facility either directly or indirectly without first obtaining a license issued by OSSE, or its successor agency.";"06-25-2019";"Administrative"
2535;"05-20-2019";101.4;"Any person either directly or indirectly operating a Facility, for any purpose, until a license has been issued to that person stating that the use complies with the provisions of this chapter and all applicable federal and local laws and regulations";"05-21-2019";"Administrative"
2535;"10-10-2018";102.1;"Operating a Child Development Facility either directly or indirectly without first obtaining a license issued by OSSE, or its successor agency.";"10-12-2018";"Administrative"
2535;"09-24-2018";102.1;"Operating a Child Development Facility either directly or indirectly without first obtaining a license issued by OSSE, or its successor agency.";"09-27-2018";"Administrative"
2535;"09-20-2018";102.1;"Operating a Child Development Facility either directly or indirectly without first obtaining a license issued by OSSE, or its successor agency.";"09-27-2018";"Administrative"
2642;"12-27-2019";118.1;"Failure to operate a licensed Child Development Facility in accordance with the license capacity, age range limitations, hours of operation and other specific service requirements or restrictions designated on its license";"12-30-2019";"Administrative"
2030;"03-28-2018";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"03-28-2018";"Administrative"
2030;"03-28-2018";128.2;"Failure of a Licensee to provide a copy of the completed Unusual Incident Report form provided to OSSE to the parent(s) or guardian(s) of each child affected by the unusual incident.";"03-28-2018";"Administrative"
2508;"03-05-2019";122.19;"Failure of a Licensee to ensure that the Facility’s premises remain clear of insects, rodents, and other pests and excrement of insects, rodents, and other pests";"03-07-2019";"Environmental"
1738;"10-03-2018";122.19;"Failure of a Licensee to ensure that the Facility’s premises remain clear of insects, rodents, and other pests and excrement of insects, rodents, and other pests";"10-05-2018";"General Health and Safety"
1738;"06-27-2018";125.1;"Failure of a Licensee to maintain outdoor play space free of standing water, litter, broken glass, wooden splinters, weeds, high grass, and conditions that are, or might be, hazardous to the health, safety, or welfare of children enrolled.";"06-28-2018";"Environmental"
1738;"06-27-2018";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"06-28-2018";"General Health and Safety"
2235;"09-11-2018";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"09-12-2018";"General Health and Safety"
2235;"09-11-2018";146.2;"Failure of a Licensee that provides care for one (1) or more infants to comply with the following requirements with regard to infant sleep and play position: (a) Unless otherwise ordered by a physician or other qualified health care practitioner, each infant shall be placed on his or her back for sleeping; (b) Each infant shall be placed on his or her stomach for some part of the day that he or she is awake and under staff supervision; (c) A positioning device shall not be used to restrict the movement of an infant unless such device is ordered by a physician or other qualified health care practitioner; (d) Soft materials or objects, such as pillows, quilts, comforters, sheepskins, blankets, and stuffed toys, shall not be permitted in an infant&#39;s sleep environment; (e) Bumper pads shall not be used in an infant’s crib; (f) An infant shall not be put to sleep on a sofa, soft mattress, waterbed, chair, cushion, or other soft surface; and (g) An infant shall be removed from his or her crib for all feedings, and shall not be fed by means of a propped bottle.";"09-12-2018";"General Health and Safety"
2235;"04-04-2018";122.18;"Failure of a Licensee to maintain hot and cold running water under pressure. Hot running water shall be maintained at one hundred degrees Fahrenheit (100°F).";"04-04-2018";"General Health and Safety"
2004;"12-12-2018";124.2;"Failure of a Licensee to ensure that the temperature within each room of program space shall be maintained at between sixty-eight degrees Fahrenheit (68°F) and seventy-five degrees Fahrenheit (75°F) from October through March, and between sixty-eight degrees Fahrenheit (68°F) and eighty-two degrees Fahrenheit (82°F) from April through September.";"12-14-2018";"General Health and Safety"
2633;"11-14-2019";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"11-18-2019";"Administrative"
2633;"11-14-2019";122.11;"Failure to ensure that all program space that children use are heated, cooled, and ventilated to maintain the required temperatures, and air exchange to avoid accumulation of odors and fumes";"11-18-2019";"Environmental"
2179;"11-23-2017";142.2;"Failure of a Licensee to conform, to the extent practicable, to the National Health and Safety Performance Standards to ensure the safety and welfare of children and the cleanliness and sanitary conditions of the Facility.";"12-20-2017";"General Health and Safety"
2179;"10-23-2017";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"10-25-2017";"General Health and Safety"
2571;"12-11-2018";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"01-17-2019";"Administrative"
2571;"12-11-2018";122.11;"Failure to ensure that all program space that children use are heated, cooled, and ventilated to maintain the required temperatures, and air exchange to avoid accumulation of odors and fumes";"01-17-2019";"Environmental"
2000;"10-10-2017";159.1;"Failure of a Licensee to make reasonable efforts to determine if any child under its care is a child with a disability, as defined by the Individuals with Disabilities Education Act, (Pub.L 101-476; 20 U.S.C. §§ 1400 et seq.), with an Individualized Family Service Plan (IFSP), and be aware of any obligations that the Licensee may have pursuant to the IFSP.";"10-31-2017";"General Health and Safety"
2377;"06-11-2018";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"08-01-2018";"Administrative"
1932;"10-17-2018";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"10-19-2018";"Administrative"
1932;"10-17-2018";128.2;"Failure of a Licensee to provide a copy of the completed Unusual Incident Report form provided to OSSE to the parent(s) or guardian(s) of each child affected by the unusual incident.";"10-19-2018";"Administrative"
1961;"01-24-2018";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"01-29-2018";"General Health and Safety"
1926;"01-23-2020";122.19;"Failure of a Licensee to ensure that the Facility’s premises remain clear of insects, rodents, and other pests and excrement of insects, rodents, and other pests";"01-27-2020";"General Health and Safety"
1926;"03-07-2019";133.1;"Failure of a Licensee to comply with the requirements set forth in this Sections 133 and 135 related to criminal background checks for any individual: (a) Who is employed by a Facility for compensation, including a contract employee or self-employed individual; or (b) Whose activities involve the care or supervision of children at a Facility or unsupervised access to children who are cared for or supervised at a Facility";"03-11-2019";"Administrative"
1926;"01-29-2019";122.19;"Failure of a Licensee to ensure that the Facility’s premises remain clear of insects, rodents, and other pests and excrement of insects, rodents, and other pests";"01-30-2019";"General Health and Safety"
1926;"12-05-2018";122.19;"Failure of a Licensee to ensure that the Facility’s premises remain clear of insects, rodents, and other pests and excrement of insects, rodents, and other pests";"12-06-2018";"General Health and Safety"
1926;"11-30-2018";124.2;"Failure of a Licensee to ensure that the temperature within each room of program space shall be maintained at between sixty-eight degrees Fahrenheit (68°F) and seventy-five degrees Fahrenheit (75°F) from October through March, and between sixty-eight degrees Fahrenheit (68°F) and eighty-two degrees Fahrenheit (82°F) from April through September.";"12-10-2018";"General Health and Safety"
1926;"09-13-2018";122.1;"Failure of the Licensee to ensure that every building or part thereof that is used as a Facility, is constructed, used, furnished, maintained, and equipped in compliance with all applicable requirements established by District and federal laws and regulations with written certification of compliance from the appropriate regulatory bodies governing zoning, building construction and safety, sanitation, and fire safety";"09-17-2018";"Environmental"
1926;"09-13-2018";122.19;"Failure of a Licensee to ensure that the Facility’s premises remain clear of insects, rodents, and other pests and excrement of insects, rodents, and other pests";"09-17-2018";"Environmental"
