"id";"provider_id";"date";"type"
137;2765;"01-28-2020";"Initial"
20;2642;"02-14-2018";"Initial"
493;2642;"07-03-2018";"Monitoring"
1042;2642;"02-19-2019";"Annual"
1517;2642;"07-22-2019";"Monitoring"
203;2030;"11-02-2017";"Renewal"
712;2030;"06-08-2018";"Monitoring"
836;2030;"11-06-2018";"Annual"
1399;2030;"06-05-2019";"Monitoring"
1873;2030;"12-26-2019";"Annual"
363;2508;"05-11-2018";"Annual"
1043;2508;"03-05-2019";"Monitoring"
1275;2508;"05-03-2019";"Annual"
1761;2508;"10-21-2019";"Monitoring"
963;2598;"06-22-2018";"Annual"
1017;2598;"02-26-2019";"Annual"
1471;2598;"07-10-2019";"Monitoring"
1913;2598;"01-21-2020";"Renewal"
512;1738;"04-17-2018";"Monitoring"
683;1738;"09-24-2018";"Annual"
1387;1738;"05-31-2019";"Monitoring"
1615;1738;"09-04-2019";"Annual"
2028;1738;"02-25-2020";"Monitoring"
617;1955;"09-11-2018";"Annual"
1232;1955;"04-25-2019";"Monitoring"
1713;1955;"09-24-2019";"Annual"
527;2235;"07-31-2018";"Monitoring"
829;2235;"11-02-2018";"Annual"
1440;2235;"06-25-2019";"Monitoring"
689;2626;"09-25-2018";"Annual"
1224;2626;"04-25-2019";"Monitoring"
1687;2626;"09-17-2019";"Annual"
103;1824;"11-17-2017";"Renewal"
614;1824;"09-11-2018";"Monitoring"
896;1824;"12-14-2018";"Annual"
1652;1824;"09-11-2019";"Monitoring"
1792;1824;"11-05-2019";"Annual"
50;2602;"04-05-2017";"Initial"
1071;2602;"02-08-2019";"Monitoring"
1396;2602;"05-31-2019";"Annual"
153;2299;"11-27-2017";"Renewal"
830;2299;"11-02-2018";"Annual"
1261;2299;"04-30-2019";"Monitoring"
1833;2299;"11-25-2019";"Annual"
570;2319;"08-16-2018";"Monitoring"
827;2319;"10-30-2018";"Annual"
1388;2319;"05-22-2019";"Monitoring"
1776;2319;"10-22-2019";"Annual"
160;2296;"12-01-2017";"Renewal"
694;2296;"08-14-2018";"Monitoring"
1065;2296;"03-08-2019";"Annual"
1529;2296;"07-30-2019";"Monitoring"
1930;2296;"01-24-2020";"Annual"
698;1942;"09-26-2018";"Annual"
1104;1942;"03-21-2019";"Monitoring"
1496;1942;"07-18-2019";"Annual"
109;2741;"07-24-2019";"Initial"
95;2724;"05-22-2019";"Initial"
105;2725;"06-18-2019";"Initial"
117;2743;"07-29-2019";"Initial"
414;2570;"06-29-2018";"Annual"
1356;2570;"05-21-2019";"Monitoring"
1477;2570;"07-12-2019";"Annual"
1943;2570;"01-29-2020";"Monitoring"
487;1938;"05-17-2018";"Monitoring"
695;1938;"09-26-2018";"Annual"
