Provider ID;SSPS Provider Number;License ID;License Cert;Authority;Facility Type;License Type;License Status;Provider Name;Provider Name Label;Primary Contact;First Initial License Date;First Full License Date;License Anniversary Date;License Expires;Primary Phone;Email;Fax;Capacity;Ages;AgeFromMonths;AgeToMonths;Mail Addr1;Mail Addr2;Mail Addr3;Mail City;Mail State;Mail Zip;Physical Addr1;Physical Addr2;Physical Addr3;Physical City;Physical State;Physical Zip;Business Addr1;Business Addr2;Business Addr3;Business City;Business State;Business Zip;Label Addr1;Label Addr2;Label Addr3;Label City;Label State;Label Zip;County;Licensor;Office;Service Area;Lattitude;Longitude;Early Achievers Status;Referral Status
7195;192056;668789;Licensed;DEL;Center;Non-Expiring;Open;A BIT OF HOME DAY CARE;A BIT OF HOME DAY CARE;;5/7/1993;5/7/1993;6-May;;5095359335;abitofhome@yahoo.com;;35;12 months to 6 years;12;72;1016 S Eastern Rd;;;Spokane;WA;99212;1016 S EASTERN RD;;;SPOKANE;WA;99212;1016 S Eastern Rd;;;Spokane;WA;99212;1016 S Eastern Rd;;;Spokane;WA;99212;Spokane;Karen Cole;Spokane;East;47.647425;-117.320718;Participating in Quality Improvement;Okay to refer
576936;788407;550561;Licensed;DEL;Center;Non-Expiring;Open;A Bright Beginning;A Bright Beginning;;1/27/2011;7/26/2011;25-Jan;;5093272080;abrightbeginning@yahoo.com;;71;1 month to 12 years 11 months;1;155;6415 N Wall;;;Spokane;WA;99208;6415 N Wall;;;Spokane;WA;99208;6415 N Wall;;;Spokane;WA;99208;6415 N Wall;;;Spokane;WA;99208;Spokane;Helen Cramer;Spokane;East;47.7167109;-117.422534;Quality Level of Excellence;Do not refer - DEL imposed
886295;608810;674685;Licensed;DEL;Center;Initial (2nd);Open;A Child's Journey School;A Child's Journey School;;11/8/2014;;3-Nov;11/3/2015;4258216332;;;127;birth to 6 years;0;72;11711 124th Ave NE;;;Kirkland;WA;98034;11711 124th Ave NE;;;Kirkland;WA;98034;11711 124th Ave NE;;;Kirkland;WA;98034;11711 124th Ave NE;;;Kirkland;WA;98034;King;Julia Dunham;Bellevue;Northwest;47.7050665;-122.1770011;Participating in Quality Improvement;Okay to refer
510974;622179;510589;Licensed;DEL;Center;Non-Expiring;Open;A Child's Life Learning Center Two;A CHILD'S LIFE LEARNING CENTER #2;;7/23/2010;1/21/2011;22-Jul;;3607388960;ACLLC56@YAHOO.COM;;14;12 months to 2 years 7 months;12;31;3210 MERIDIAN ST;;;Bellingham;WA;98225;3220 MERIDIAN ST;;;Bellingham;WA;98225;3220 MERIDIAN ST;;;Bellingham;WA;98225;3210 MERIDIAN ST;;;Bellingham;WA;98225;Whatcom;Gloria Trinidad;Bellingham;North Central;48.7734471;-122.4859995;Not Participating;Okay to refer
155635;9809;570715;Licensed;DEL;Center;Non-Expiring;Open;A CHILDS LIFE LEARNING CENTER;A CHILD'S LIFE LEARNING CENTER;;10/10/1994;10/10/1994;28-Mar;;3607388960;acllc56@yahoo.com;;50;12 months to 6 years;12;72;;;3210 MERIDIAN STREET;BELLINGHAM;WA;98225;3210 MERIDIAN ST;;;BELLINGHAM;WA;98225;3210 MERIDIAN ST;;;BELLINGHAM;WA;98225;;;3210 MERIDIAN STREET;BELLINGHAM;WA;98225;Whatcom;Gloria Trinidad;Bellingham;North Central;48.773153;-122.485496;Not Participating;Okay to refer
669933;159246;548616;Licensed;DEL;Center;Non-Expiring;Open;A Childs Place Early Learning Center;A Childs Place Early Learning Center;;1/11/2013;1/9/2014;11-Jan;;5094534082;achildsplaceelc@aol.com;5094691103;34;12 months to 13 years;12;156;PO BOX 1127;;;Toppenish;WA;98948;7 S. 7th Ave;;;Yakima;WA;98902;7 S. 7th Ave;;;Yakima;WA;98902;PO BOX 1127;;;Toppenish;WA;98948;Yakima;Jose Radillo;Yakima;North Central;46.59884;-120.5183465;Not Participating;Okay to refer
275185;159234;672704;Licensed;DEL;Center;Non-Expiring;Open;A CHILDS PLACE TOPPPENISH;A CHILDS PLACE TOPPPENISH;;5/12/2003;5/12/2003;11-May;;5098655100;achildsplace@centurylink.net;;45;1 month to 12 years 11 months;1;155;PO BOX 1127;;;TOPPENISH;WA;98948;302 ASOTIN AVENUE;;;TOPPENISH;WA;98948;302 ASOTIN AVENUE;;;TOPPENISH;WA;98948;PO BOX 1127;;;TOPPENISH;WA;98948;Yakima;Jose Radillo;Yakima;North Central;46.380026;-120.312114;Not Participating;Okay to refer
295375;507998;657659;Licensed;DEL;Center;Non-Expiring;Open;A COUNTRY GARDEN MONTESSORI;A COUNTRY GARDEN MONTESSORI;;9/6/2005;9/6/2005;3-Sep;;3608256668;acgmontessori@yahoo.com;;20;2 years 6 months to 12 years;30;144;38722 Enumclaw Black Diamd Rd;;;Enumclaw;WA;980229788;38722 Enumclaw Black Diamd Rd;;;Enumclaw;WA;98022;38722 Enumclaw Black Diamd Rd;;;ENUMCLAW;WA;98022;38722 Enumclaw Black Diamd Rd;;;Enumclaw;WA;980229788;King;Tom Burchard;Renton;Northwest;47.254421;-121.989748;Quality Level of Excellence;Okay to refer
62901;732817;637796;Licensed;DEL;Center;Non-Expiring;Open;A HEART FOR THE HOME CHILDCARE;A HEART FOR THE HOME CHILDCARE;;1/7/1996;1/7/1996;7-Jan;;5099222177;;;80;1 month to 12 years;1;144;905 N McDonald Rd;;;Spokane;WA;99216;905 N McDonald Rd;;;Spokane;WA;99216;905 N McDonald Rd;;;Spokane;WA;99216;905 N McDonald Rd;;;Spokane;WA;99216;Spokane;Helen Cramer;Spokane;East;47.665749;-117.230347;Not Participating;Okay to refer
789205;454881;668928;Licensed;DEL;Center;Initial (2nd);Open;A Kids World Early School;A Kids' World Early School;;4/23/2014;;19-Oct;10/19/2015;3606761122;;;44;12 months to 7 years;12;84;1016 Coronado Ave.;;;Bellingham;WA;98229;2215 D Street;;;Bellingham;WA;98225;1016 Coronado Ave;;;Bellingham;WA;98229;1016 Coronado Ave.;;;Bellingham;WA;98229;Whatcom;Sheau-Pyng Li;Bellingham;North Central;48.759482;-122.478637;Not Participating;Okay to refer
