"id";"name";"address";"city";"state";"phone";"main website";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4"
984891;"Hugs in a Handbasket Child Care and Learning Center";"8907 Gravelly Lake Dr SW Suite C";"Lakewood";"WA";"253-444-5665";"www.hugsinahandbasket.com";"www.hugsinahandbasket.com";"http://www.facebook.com/pages/Hugs-In-A-Handbasket-Childcare-and-Learning-Center/164538946941177";;;"http://www.hugsinahandbasket.com/files/Hugs_In_A_HandBasket_RegistrationPDF.pdf";;"n";"y";"y";"y";"y";"y";;;;;
1030970;"Kiddie Academy of Kirkland";"12620 NE 85th St, Suite 112";"Kirkland";"WA";"425-242-0075";"http://kiddieacademy.com/Kirkland";"http://kiddieacademy.com/Kirkland";;;;;;"y";"y";"y";"y";"n";"n";"http://educationaldaycare.kiddieacademy.com/Kirkland/images/KA_logo.png";"http://educationaldaycare.kiddieacademy.com/Kirkland/attachments/_MG_0459_740080708.jpg";"http://educationaldaycare.kiddieacademy.com/Kirkland/attachments/DSC_0187_2140138475.jpg";"http://educationaldaycare.kiddieacademy.com/Kirkland/attachments/1196457134.jpg";"http://educationaldaycare.kiddieacademy.com/Kirkland/attachments/KA%20Picture.PNG"
985692;"The Apple Club";"12605 SR 9";"Clear Lake";"WA";"360-202-8947";"www.clearlakecov.org";;;;;;;;;;;;;;;;;
591398;"CAMAS MONTESSORI SCHOOL";"1004 NE 4TH AVENUE";"CAMAS";"WA";"360-8347434";"http://www.camasmontessori.com/contactus.html";"http://www.camasmontessori.com/contactus.html";;;;"http://www.camasmontessori.com/EnrollmentFees.html";;"n";"n";"y";"y";"n";"n";;"http://www.camasmontessori.com/images/School-Front.gif";"http://www.camasmontessori.com/sitebuilder/images/wordwork-259x398.jpg";"http://www.camasmontessori.com/sitebuilder/images/weaving-258x397.jpg";"http://www.camasmontessori.com/sitebuilder/images/banana-258x397.jpg"
591401;"COUNTRYSIDE MONTESSORI";"13630 100TH AVE NE";"KIRKLAND";"WA";"425-8232211";"http://www.countrysidemontessorichildcarecenter.com/NEWCOUNTRYSIDE/index.html";"http://www.countrysidemontessorichildcarecenter.com/NEWCOUNTRYSIDE/index.html";"http://www.facebook.com/countrysidemontessorichildcarecenter";"7 am to 6 pm Monday through Friday";;"http://www.countrysidemontessorichildcarecenter.com/NEWCOUNTRYSIDE/enrollment_process.html";;"y";"y";"y";"y";"n";"y";;;;;
591404;"COMM DAY SCHOOL LESCHI";"135 32ND AVE";"SEATTLE";"WA";"206-323-9465";"http://communitydayschool.org/locations/leschi/";"http://communitydayschool.org/locations/leschi/";;;"http://communitydayschool.org/about/employment/";"http://communitydayschool.org/about/contact/";;"n";"n";"y";"y";"y";"y";"http://communitydayschool.org/wp-content/themes/azul/images/logo.png";"http://communitydayschool.org/wp-content/gallery/leschi/leschi-site_.jpg";"http://communitydayschool.org/wp-content/gallery/home/maple_childrens-289.jpg";"http://communitydayschool.org/wp-content/gallery/home/montlake_iceskating1162.jpg";"http://communitydayschool.org/wp-content/gallery/collaborations/f2t.jpg"
591406;"TEETER TOTS MONTESSORI";"20414 55TH AVENUE NE";"KENMORE";"WA";"425-4832424";"http://www.teetertotsmontessori.com/about.htm";"http://www.teetertotsmontessori.com/about.htm";;" 6:30 am to 6:00 pm";;;;"n";"y";"y";"y";"n";"n";"http://www.teetertotsmontessori.com/_derived/about.htm_cmp_arcs110_bnr.gif";"http://www.teetertotsmontessori.com/20050313_001_2.jpg";;;
591411;"MONTESSORI PLUS SCHOOLS";"318 3RD AVE S";"KENT";"WA";"253-8542880";"http://www.montessoriplus.org/MontessoriPlusSchool/index.htm";"http://www.montessoriplus.org/MontessoriPlusSchool/index.htm";"http://www.facebook.com/MTPofWA?sk=wall";"Mon - Fri: 8:00 am - 4:00 pm";;"http://www.montessoriplus.org/montessori-plus-school/#registrationforms";;"n";"n";"y";"y";"n";"y";"http://www.montessoriplus.org/wp-content/themes/Custom_Montessori_Plus/images/header-mplus.png";"http://www.montessoriplus.org/images/right-slide-1.jpg";"http://www.montessoriplus.org/images/left-slide-1.jpg";"http://www.montessoriplus.org/images/left-slide-3.jpg";"http://www.montessoriplus.org/images/right-slide-3.jpg"
591415;"ST OLAFS DAY CARE CENTER";"18943 CALDART AV NE";"POULSBO";"WA";"360-7795791";"http://www.stolafschurch.org/";;;;;;;;;;;;;;;;;
591422;"KINDERCARE LEARNING CTR";"300 SLEATER KINNEY RD NE";"OLYMPIA";"WA";"360-4597225";"http://www.kindercare.com/our-centers/center-details/070886/";"http://www.kindercare.com/our-centers/center-details/070886/";"http://www.facebook.com/kindercare";" 6:30 AM to 6:15 PM, M-F";"http://www.kindercare.com/careers/";;;"y";"y";"y";"y";"y";"y";"http://www.kindercare.com/images/kindercare-logo-new.png";"http://www.kindercare.com/uploadedImages/kindercarecom/Web_Pages/Our_Schools/main-centers.jpg";"http://www.kindercare.com/uploadedImages/Images/Photos/main-programs.jpg";"http://www.kindercare.com/uploadedImages/kindercarecom/Web_Pages/Community_Resources/main-parents.jpg";"http://www.kindercare.com/uploadedImages/kindercarecom/Web_Pages/About_Us/main-aboutus.jpg"
