"ID";"Corrective Action Plan Start";"Corrective Action Plan End";"Non Compliance Code";"Outcome Code";"Issue Completed Date"
30179048;"4/6/2021";"9/30/2021";"10.3.a. Two staff members are on duty at all times when children are present";"Not Achieved";"9/30/2021"
30179048;"5/24/2021";"11/10/2021";"8.6.g. Medication Administration";"Achieved";"11/10/2021"
30179048;"11/15/2021";"2/15/2022";"8.3.a. Written notification to staff regarding position, qualifications, and duties";"Achieved";"2/15/2022"
30179048;"11/15/2021";"2/15/2022";"8.3.b.1.  Performance evaluations conducted annually";"Achieved";"2/15/2022"
30179048;"11/15/2021";"2/15/2022";"8.4.c.1. Statement of Criminal record on file";"Achieved";"2/15/2022"
30179048;"11/15/2021";"2/15/2022";"8.4.c.3. FBI check for any employee who live outside WV";"Achieved";"2/15/2022"
30179048;"11/15/2021";"2/15/2022";"8.4.d. Completed, signed, and dated Authorization and Release for Protective Service Record Check on file";"Achieved";"2/15/2022"
30179048;"11/15/2021";"2/15/2022";"8.5.g. Employee and some volunteers have a recent health assessment on file within 30 days";"Achieved";"2/15/2022"
30179048;"11/15/2021";"2/15/2022";"8.5.g.4. Health assessment includes TB risk assessment";"Achieved";"2/15/2022"
30179048;"11/15/2021";"2/15/2022";"8.6.b. All staff meet training requirements and pre-service education qualifications";"Achieved";"2/15/2022"
30179048;"11/15/2021";"2/15/2022";"8.6.d. Center provides orientation to the staff member";"Achieved";"2/15/2022"
30179048;"11/15/2021";"2/15/2022";"8.6.f.2. Abuse Recognition and Prevention";"Achieved";"2/15/2022"
30179048;"11/15/2021";"2/15/2022";"8.7.c. Qualified staff complete the approved training to keep the credential current";"Achieved";"2/15/2022"
30179048;"11/15/2021";"2/15/2022";"15.2. Child Health Assessment";"Achieved";"2/15/2022"
30179048;"6/9/2022";"6/14/2022";"8.6.f.1. CPR and First Aid.";"Achieved";"6/14/2022"
30179048;"6/9/2022";"6/14/2022";"8.6.f.2. Abuse Recognition and Prevention";"Achieved";"6/14/2022"
30179048;"5/24/2021";"11/10/2021";"7.4.  Children's Records Include:";"Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"7.4.a. Child's name, address, gender, and date of birth";"Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"7.4.b. Name of parent, parent's home & work phone numbers";"Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"7.4.c.  Names, physical addresses, and telephone numbers of emergency contact";"Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"7.4.d. Names, addresses, & telephone numbers of medical/emergency care";"Achieved";"11/10/2021"
