"ShortName";"ProviderName";"ProviderNumber";"Address";"City";"State";"Zip";"County";"LocationNumber";"FacilityNumber";"Regulations";"ContactName";"ContactPhone";"LicenseeName";"AgesServed";"Stars";"DayCapacity";"NightCapacity";"MonthsOpen";"Accreditation";"Mon";"Tue";"Wed";"Thu";"Fri";"Sat";"Sun";"FacilityID";"GroupSize";"ChildrenUnder7"
"Renewal Unlimited - Adams Head Start";"Renewal Unlimited - Adams Head Start";8000577858;"208 N Main St";"Adams";"WI";"53910-9836";"Adams County";13;1008811;"Licensed Group";"Kathryn Griffen";"(608) 474-4289";"Lois Luethy";"3 Year(s) - 7 Year(s)";"5 Stars";;;;"Head Start Performance Standards";"8:00AM - 3:00PM";"8:00AM - 3:00PM";"8:00AM - 3:00PM";"8:00AM - 3:00PM";"Closed";;;"8000577858_13";;
"Breezy Acres Learning Tree Llc";"Breezy Acres Learning Tree Llc";5000588525;"2811 County Road G";"Oxford";"WI";"53952-8721";"Adams County";1;2002328;"Licensed Family";"Christine Hine";"(608) 369-0132";"Christine Hine";"6 Week(s) - 11 Year(s)";"3 Stars";8;0;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"Closed";"Closed";"5000588525_1";;
"Lil Blessings Family Day Care";"Lil Blessings Family Day Care";7000570837;"116 N Linden St";"Adams";"WI";"53910-9564";"Adams County";1;1003746;"Licensed Family";"Sandra Nicolini";"(608) 474-4168";"Sandra Nicolini";"2 Week(s) - 12 Year(s)";"3 Stars";8;0;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"Closed";"Closed";"7000570837_1";;
"Rome Child Care Center";"Rome Child Care Center";9000588649;"325 State Highway 13";"Nekoosa";"WI";"54457-8703";"Adams County";1;2002541;"Licensed Group";"Angela Wiedeman";"(715) 325-1934";"Angela Wiedeman";"6 Week(s) - 13 Year(s)";"3 Stars";20;0;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"Closed";"Closed";"9000588649_1";;
"Mistys Child Enrichment Center";"Mistys Child Enrichment Center";573220;"116 S Cedar St";"Adams";"WI";53910;"Adams County";2;1013482;"Licensed Family";"Misty Holmes";"(608) 474-0647";"Misty Holmes";"4 Week(s) - 13 Year(s)";"2 Stars";8;0;"Jan - Dec";;"6:00AM - 5:30PM";"6:00AM - 5:30PM";"6:00AM - 5:30PM";"6:00AM - 5:30PM";"6:00AM - 5:30PM";"Closed";"Closed";"573220_2";;
"Sweet Dreams Child Care";"Sweet Dreams Child Care";3000586173;"1176 Cottonville Ave";"Friendship";"WI";"53934-9737";"Adams County";1;2003732;"Licensed Family";"Susan Herfel";"(608) 548-3626";"Susan Herfel";"6 Week(s) - 12 Year(s)";"2 Stars";8;0;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"Closed";"Closed";"3000586173_1";;
"Trayc's Little Angels Daycare";"Trayc's Little Angels Daycare";3000582403;"638 Gulch Ave";"Wisc Dells";"WI";"53965-9305";"Adams County";1;1011361;"Licensed Family";"Trayc Lennon";"(608) 254-2445";"Trayc Lennon";"6 Week(s) - 11 Year(s)";"2 Stars";8;0;"Jan - Dec";;"7:30AM - 5:00PM";"7:30AM - 5:00PM";"7:30AM - 5:00PM";"7:30AM - 5:00PM";"7:30AM - 5:00PM";"Closed";"Closed";"3000582403_1";;
"Pre K Corral Llc";"Pre K Corral Llc";3000583123;"756 Gulch Ave";"Wisc Dells";"WI";"53965-8676";"Adams County";1;1014343;"Licensed Group";"Tammy Mayer";"(608) 253-7735";"Tammy Mayer";"3 Year(s) - 5 Year(s)";;10;0;"Sep - May";;"8:00AM - 4:00PM";"8:00AM - 4:00PM";"8:00AM - 4:00PM";"8:00AM - 4:00PM";"8:00AM - 4:00PM";"Closed";"Closed";"3000583123_1";;
"Evergrow Learning Center";"Evergrow Learning Center";8000589928;"417 9Th Ave W";"Ashland";"WI";"54806-1324";"Ashland County";1;2004836;"Licensed Group";"Montana Schaffer";"(715) 685-1920";"Carver Harries";"6 Week(s) - 14 Year(s)";"3 Stars";80;0;"Jan - Dec";;"6:00AM - 5:30PM";"6:00AM - 5:30PM";"6:00AM - 5:30PM";"6:00AM - 5:30PM";"Closed";"Closed";"Closed";"8000589928_1";;
"Little Friends Of Jesus Child Care Center";"Little Friends Of Jesus Child Care Center";560770;"1114 12Th Ave W";"Ashland";"WI";"54806-2730";"Ashland County";1;620416;"Licensed Group";"Karyn Leino";"(715) 682-6075";"John Pruss";"6 Week(s) - 13 Year(s)";"3 Stars";40;0;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"Closed";"Closed";"560770_1";;
