"FacilityID";"TypeofRegulation";"Date";"Details";"Results"
"8000577858_13";" Licensing ";" 04/09/2021 ";" No violations found ***";
"8000577858_13";" Licensing ";" 09/25/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=8000577858&LocationNumber=13&DocumentNumber=5001946041"
"8000577858_13";" Licensing ";" 03/19/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=8000577858&LocationNumber=13&DocumentNumber=5001534222"
"8000577858_13";" Licensing ";" 03/07/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=8000577858&LocationNumber=13&DocumentNumber=5001528381"
"8000577858_13";" Licensing ";" 11/27/2018 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=8000577858&LocationNumber=13&DocumentNumber=5001364861"
"5000588525_1";" Licensing ";" 10/14/2019 ";" No violations found ***";
"5000588525_1";" Licensing ";" 08/15/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=5000588525&LocationNumber=1&DocumentNumber=5001857536"
"7000570837_1";" Licensing ";" 09/08/2021 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=7000570837&LocationNumber=1&DocumentNumber=5003149756"
"7000570837_1";" Licensing ";" 10/22/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=7000570837&LocationNumber=1&DocumentNumber=5002105773"
"7000570837_1";" Licensing ";" 10/14/2019 ";" No violations found ***";
"7000570837_1";" Licensing ";" 09/05/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=7000570837&LocationNumber=1&DocumentNumber=5001877824"
"7000570837_1";" Licensing ";" 10/18/2018 ";" See Violations below";
"9000588649_1";" Licensing ";" 03/09/2020 ";" No violations found ***";
"9000588649_1";" Licensing ";" 10/22/2019 ";" See Violations below";
"9000588649_1";" Licensing ";" 11/27/2018 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000588649&LocationNumber=1&DocumentNumber=5001454269"
"573220_2";" Licensing ";" 03/29/2021 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=573220&LocationNumber=2&DocumentNumber=5002903275"
"573220_2";" Licensing ";" 10/22/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=573220&LocationNumber=2&DocumentNumber=5002052110"
"573220_2";" Licensing ";" 04/10/2019 ";" No violations found ***";
"573220_2";" Licensing ";" 03/05/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=573220&LocationNumber=2&DocumentNumber=5001531311"
"573220_2";" Licensing ";" 10/18/2018 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=573220&LocationNumber=2&DocumentNumber=5001290392"
"3000586173_1";" Licensing ";" 07/23/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=3000586173&LocationNumber=1&DocumentNumber=5001825912"
"3000582403_1";" Licensing ";" 10/01/2019 ";" Orders Letter ";
"3000583123_1";" Licensing ";" 04/08/2021 ";" No violations found ***";
"3000583123_1";" Licensing ";" 10/23/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=3000583123&LocationNumber=1&DocumentNumber=5002013778"
"3000583123_1";" Licensing ";" 03/05/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=3000583123&LocationNumber=1&DocumentNumber=5001526998"
"3000583123_1";" Licensing ";" 11/27/2018 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=3000583123&LocationNumber=1&DocumentNumber=5001364774"
"8000589928_1";" Licensing ";" 06/15/2021 ";" Orders Letter ";
"8000589928_1";" Licensing ";" 06/15/2021 ";" Direct Forfeiture: $1000 ";
"560770_1";" Licensing ";" 06/30/2021 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=560770&LocationNumber=1&DocumentNumber=5003063343"
"560770_1";" Licensing ";" 05/12/2021 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=560770&LocationNumber=1&DocumentNumber=5003017221"
"560770_1";" Licensing ";" 12/14/2020 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=560770&LocationNumber=1&DocumentNumber=5002704890"
"560770_1";" Licensing ";" 07/22/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=560770&LocationNumber=1&DocumentNumber=5001824559"
"560770_1";" Licensing ";" 01/15/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=560770&LocationNumber=1&DocumentNumber=5001428412"
"8000567628_3";" Licensing ";" 01/27/2021 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=8000567628&LocationNumber=3&DocumentNumber=5002831259"
"8000567628_3";" Licensing ";" 08/20/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=8000567628&LocationNumber=3&DocumentNumber=5001849765"
"8000567628_3";" Licensing ";" 02/14/2019 ";" No violations found ***";
"8000567628_3";" Licensing ";" 02/14/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=8000567628&LocationNumber=3&DocumentNumber=5001520297"
"2000582112_1";" Licensing ";" 01/08/2021 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=2000582112&LocationNumber=1&DocumentNumber=5002750887"
"2000582112_1";" Licensing ";" 12/20/2019 ";" No violations found ***";
"2000582112_1";" Licensing ";" 12/06/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=2000582112&LocationNumber=1&DocumentNumber=5002127364"
"2000582112_1";" Licensing ";" 08/23/2019 ";" No violations found ***";
"2000582112_1";" Licensing ";" 07/23/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=2000582112&LocationNumber=1&DocumentNumber=5001822019"
"2000582112_1";" Licensing ";" 01/15/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=2000582112&LocationNumber=1&DocumentNumber=5001464107"
"7000561597_1";" Licensing ";" 04/27/2021 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=7000561597&LocationNumber=1&DocumentNumber=5002977344"
