"Application Type";"County";"Facility Name";"Facility Number";"Line Address 1";"City";"ZIP Code";"Contact Name";"Contact Phone";"License Date";"Capacity";"From Age";"To Age";"Hours";"Months";"Full Time"
"LICENSED FAMILY";"01. ADAMS";"KOUNTRY KIDS FAMILY DAYCARE";"1008285";"3618 State Rd 13";"Wisconsin Dells";"53965";"Licitar, Amy  ";"608-253-7360";9/27/2004;8;"0 Year(s), 0 Month(s), 6 Week(s)";"10 Year(s), 11 Month(s), 0 Week(s)";"07:30 AM-05:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"01. ADAMS";"LIL BLESSINGS FAMILY DAY CARE";"1003746";"116 N Linden St";"Adams";"53910";"Nicolini, Sandra C ";"608-339-6087";3/21/2001;8;"0 Year(s), 0 Month(s), 2 Week(s)";"14 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"01. ADAMS";"MISTYS CHILD ENRICHMENT CENTER";"1013482";"116 S Cedar St";"Adams";"53910";"Lamont, Misty M ";"608-474-0647";5/14/2004;8;"0 Year(s), 0 Month(s), 4 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"01. ADAMS";"TINY TOES DAYCARE";"1016068";"1733 13th Dr";"Friendship";"53934";"Beeman, Jen  ";"608-474-0182";4/29/2011;8;"0 Year(s), 0 Month(s), 6 Week(s)";"13 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"01. ADAMS";"TRAYCS LITTLE ANGELS DAYCARE";"1011361";"638 Gulch Ave";"Wisconsin Dells";"53965";"Lennon, Trayc  ";"608-254-2445";5/31/2007;8;"0 Year(s), 0 Month(s), 6 Week(s)";"10 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"01. ADAMS";"ACCDC DBA LEARNING ON LINDEN";"120761 ";"259 S Linden St";"Adams";"53910";"Kirsenlohr, Donna  ";"608-339-3435";5/20/1997;50;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-06:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"01. ADAMS";"ADAMS HEAD START";"1008811";"1070 State Highway 13";"Friendship";"53934-9745";"Hickman, Karen  ";"608-564-1234";1/11/2005;36;"3 Year(s), 0 Month(s), 0 Week(s)";"6 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-06:00 PM";"Sep-May";"Y"
"LICENSED GROUP";"01. ADAMS";"PRE K CORRAL LLC";"1014343";"756 Gulch Ave";"Wisc Dells";"53965-8676";"Mayer, Tammy  ";"608-253-7735";9/29/2008;10;"3 Year(s), 0 Month(s), 0 Week(s)";"4 Year(s), 11 Month(s), 0 Week(s)";"08:30 AM-11:30 AM";"Sep-May";" "
"LICENSED FAMILY";"02. ASHLAND";"ABC LEARNING CENTER DAYCARE";"1007318";"608 12th Ave W";"Ashland";"54806";"Campbell, Lisa M ";"715-682-6451";11/19/2003;8;"0 Year(s), 0 Month(s), 1 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"02. ASHLAND";"BEBEAUS DAY CARE";"630613 ";"501 20th Ave W";"Ashland";"54806";"Bebeau, Veronica  ";"715-292-8585";1/1/2000;8;"0 Year(s), 0 Month(s), 6 Week(s)";"13 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-05:30 PM";"Jan-Dec";"Y"
