"id";"name";"address";"city";"state";"zip";"county";"phone";"main website";"email";"details";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4";"bad url?";
1057322;"Deborah T. Washington Learning Center";"3002 W. Silver Spring Drive";"Milwaukee";"WI";53209;"MILWAUKEE";"(414)461-1700";;;;;;;;;;;;;;;;;;;;;"Y";
1119355;"Acelero Learning - Green St";"1923 Green St";"Racine";"WI";53402;"RACINE";2624564388;;;;;;;;;;;;;;;;;;;;;"Y";
1119010;"Jungle Day Care And Bilingual Psch";"3553 University Ave";"Madison";"WI";53705;"DANE";6082286947;"http://www.jungledaycare.com/";"​info@jungledaycare.com​";"Jungle Day Care & Bilingual Preschool is a new option in Madison for parents who want their children to learn a second language (Spanish) and receive dance, music and technology lessons, all in one place.
In addition to applying the best techniques for teaching children. Your children will be in a safe place where they will learn and develop as individuals.
Jungle Day Care aims to develop children in a Safe, neat, clean and doing our job with love . The overall goal of our Center is to encourage, development and positive self-image for every child. Our goal is to help children become comfortable interacting in societies that speak Spanish through immersing them in the language, in cultural diversity and protecting the environment.";"http://www.jungledaycare.com/";"https://www.facebook.com/pages/Jungle-Day-Care-Bilingual-Preschool/303478056483278";"6:30am - 8:00pm,
Monday to Friday";;"http://www.jungledaycare.com/#!admissions/c1ylq";;"y";"y";"y";"y";"n";"n";"http://static.wixstatic.com/media/74da79_028db3ba2a58489ea01b455421aba0dc.jpg_srz_p_979_246_75_22_0.50_1.20_0.00_jpg_srz";"https://scontent-a-nrt.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/s720x720/10898097_412821355548947_8415561378891235952_n.jpg?oh=7eafb518b09a8ba69b268cb22fa020eb&oe=5557F195";"https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/s720x720/10923230_412821378882278_7292695211331401466_n.jpg?oh=b910cd27651a9d364025b1c8e9385521&oe=558C320E&__gda__=1432163305_ea6d579a94e90d008e92d950c1024de5";"https://scontent-a-nrt.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/s720x720/10922678_412821388882277_4016209612829449476_n.jpg?oh=2649eb373319257c66e62974b7cff7d5&oe=5558DD29";"https://scontent-b-nrt.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/s720x720/10689604_361755367322213_7239452416228692372_n.jpg?oh=a12bf5af8d655797e6ca37222feb6120&oe=5554029C";;
1119109;"Little Minds Learning Center - Holmen Llc";"1100 Linden Dr";"Holmen";"WI";54636;"LA CROSSE";"(608) 526-1896";"http://www.littlemindslc.com/location/holmen/";"heidi.amidon@littlemindslc.com";"Located in the growing community of Holmen, Little Minds Learning Center is located just north of Hwy 53 and Hwy 35 on Linden Dr. 

LMLC’s presence in the LaCrosse Valley has offered us a unique and privelidged opportunity to provide the LMLC Experience for the families and children in Holmen, WI.  Under the direction of Emily Doblar, the center will become an integral part of the community while providing both an educational and affordable experience for children in Holmen. 
Take a few moments to explore our website and schedule a tour to discover how LMLC provides the premier child development experience. ";"http://www.littlemindslc.com/location/holmen/";"https://www.facebook.com/lmlchl/info?tab=page_info";"Mon - Fri: 
6:00 am - 7:00 pm";"http://www.littlemindslc.com/employment/application/";"http://www.littlemindslc.com/enrollment/";;"y";"y";"y";"y";"n";"n";"http://www.littlemindslc.com/wp-content/themes/littlemindslc/images/logo.jpg";"http://www.littlemindslc.com/wp-content/uploads/2014/10/photo-3-11.jpg";"http://www.littlemindslc.com/wp-content/uploads/2013/12/sidebar-photo.jpg";"http://www.littlemindslc.com/wp-content/uploads/2013/12/careers-widget-photo.jpg";"http://www.littlemindslc.com/wp-content/uploads/2013/12/homepage-slide01.jpg";;
1119251;"Angelic Care Child Care Ctr Llc";"4040 W Fond Du Lac Ave";"Milwaukee";"WI";53216;"MILWAUKEE";4146983206;;;;;;;;;;;;;;;;;;;;;"Y";
1119072;"Saint Edward's Montessori School Inc.";"1129 Bellevue Ave";"Eau Claire";"WI";54703;"EAU CLAIRE";7159525115;"http://www.saint-edwards.com/";"info@saint-edwards.com";"St. Edward's Montessori School represents an alternative for Eau Claire parents wishing to prepare their children for Montessori 4K and beyond. Founded by Elizabeth Harder and joined by lead teacher Barb Barkley-Ellingson, our school emphasizes core Montessori principals of independence and love of learning. The beautiful former chapel sits on a wooded 1-acre setting with gardens and enclosed play space, providing children quality outdoor time for exploration, investigation and reflection.";"http://www.saint-edwards.com/";"https://www.facebook.com/saint.edwards.montessori";"8:30am-3pm";;"https://docs.google.com/a/entropy.cc/forms/d/1Da6QeBbpvAL0iUgZWPWhvHNxln4eWkXAMzN39xyGav4/viewform";;"n";"n";"y";"y";"n";"n";;"https://scontent-a-nrt.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/p480x480/10391407_948865995132331_3168463690053654764_n.jpg?oh=1bd337343869665cabcb01adf3e4339e&oe=5556F3C3";"https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/p480x480/10959552_948865865132344_3686074046121216048_n.jpg?oh=3522bb171fc1960eaaa66b6cc81630d5&oe=55510EAE&__gda__=1431111070_83ca45dfc8a8eb5eb753df30e544af8c";"https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/s720x720/10944195_942900822395515_17237351575723579_n.jpg?oh=eb8d70a70f1c43ddc3c74f0cfe3084b4&oe=555E125B&__gda__=1435733198_0a97a727f6c089ad529dd4e514aa8b9a";"https://scontent-b-nrt.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/s720x720/10945055_942889169063347_3665037603087765558_n.jpg?oh=f0d1cb5e1dc23999ac46a3fd93993e69&oe=5552FFF2";;
1119073;"The Kiddie Kottage";"900 Central Ave";"Florence";"WI";54121;"FLORENCE";7155282050;"http://www.thekiddiekottage.com/contact-us.html";"THEKIDDIEKOTTAGE@YAHOO.COM";"THE TEACHERS, ADMINISTRATORS AND STAFF AT The Kiddie Kottage Day Care and Preschool ARE UNITED IN THEIR BELIEF THAT ALL CHILDREN:

    Have the power to learn
    Are curious & creative
    Can succeed
     
The preschool portion of the center is full of exciting activities for your child's learning experience.  We will be using modern technology to teach numbers, letters, colors, shapes, etc. along with plenty of hands on fun. Your children will have classes in art, science, reading and math!  These are excellent building blocks for the future.

All staff is certified under Wisconsin laws for working in a day care center, have taken the necessary classes, passed background checks and drug screening.  Be confident that your children are with the best!";"http://www.thekiddiekottage.com/contact-us.html";;;"http://www.thekiddiekottage.com/jobs.html";"http://www.thekiddiekottage.com/enroll.html";;"y";"y";"y";"y";"n";"n";"http://nebula.wsimg.com/02f6a3663cca0deaf189e98c1783e4e4?AccessKeyId=7B34A8A8A0FABDA5FFC1&disposition=0&alloworigin=1";;;;;;
1119247;"Young Achievers Academy Inc";"2809 N Teutonia Ave";"Milwaukee";"WI";53206;"MILWAUKEE";4142632700;;;;;;;;;;;;;;;;;;;;;"Y";
1119315;"Destination Daycare And Preschool";"11530 W Layton Ave";"Greenfield";"WI";53228;"Milwaukee";4144253361;"http://www.destinationdaycareandpreschool.org/contact-us/";"destinationdaycare@gmail.com";"""A Place to Belong""
When it comes to your kids, nothing less than the highest standards will do. Our day care provides a safe environment for your child to explore his or her full potential. If you're looking for a child care center that meets these stringent demands, look no further! We want to promote personal development of your children to prepare them as best we can for the challenges that lie ahead in life. Our staff consists of experienced, certified and continually trained educators.";"http://www.destinationdaycareandpreschool.org/contact-us/";"https://www.facebook.com/pages/Destination-Daycare-and-Preschool/1433571693570835";"Mon - Fri: 
6:30 am - 6:00 pm";;;;"y";"y";"y";"y";"n";"n";"http://www.destinationdaycareandpreschool.org/s/misc/logo.jpg?t=1423265835";"http://www.destinationdaycareandpreschool.org/s/cc_images/teaserbox_4965028.jpg?t=1408386947";"http://www.destinationdaycareandpreschool.org/s/cc_images/teaserbox_4965119.jpg?t=1408387167";"http://www.destinationdaycareandpreschool.org/s/cc_images/teaserbox_4965084.jpg?t=1408387121";"http://www.destinationdaycareandpreschool.org/s/cc_images/teaserbox_4965153.jpg?t=1408387216";;
1119323;"Pilgrim Child Development Center";"7011 W Center St";"Wauwatosa";"WI";53210;"Milwaukee";4144540888;"http://www.pilgrimtosa.org/3PilgrimChildDevelopmentCenter.htm";"PCDCNKIDS@aol.com";"Pilgrim Child Development Center is a Christian based Day Care and Preschool that was opened on August 21, 2000 by Pilgrim Ev. Lutheran Church in Wauwatosa. In a caring Christian environment, the spiritual needs of children and their moral development are nurtured as an essential part of their growth. Pilgrim was established to serve the growing needs of the church and neighborhood families.
    To provide a loving and Christian atmosphere.
    To enable young children to develop spiritually, emotionally, socially and physically.
    To provide  opportunities for learning and social interaction through a variety of daily activities.
    To help children develope socialization skill and healthy self-concepts.
    To provide the best possible care and supervision while teaching and enriching their lives.
";"http://www.pilgrimtosa.org/3PilgrimChildDevelopmentCenter.htm";;"Monday-Friday: 6:30am to 6pm 
3K: 8:30am to 12pm 
4K: 8:30am to 3:15pm ";;;;"y";"y";"y";"y";"n";"n";"http://www.pilgrimtosa.org/images/2011/pilgrimtosalogo3.jpg";"http://www.pilgrimtosa.org/ss_files/img_2413_4857%282%29.jpg";"http://www.pilgrimtosa.org/ss_files/img_2454_4898%282%29.jpg";"http://www.pilgrimtosa.org/ss_files/img_2451_4895%282%29.jpg";"http://www.pilgrimtosa.org/ss_files/img_2442_4886%282%29.jpg";;
