"ID";"Type";"Name";"Address";"City";"State";"Zip";"County";"Phone";"Email";"Website";"Capacity";"Operational Information";"Sunday";"Monday";"Tuesday";"Wednesday";"Thursday";"Friday";"Saturday";"Infants (0-12 months)";"Toddler (12-24 months)";"Toddler (24-36 months)";"Pre-School (3-5 years old)";"School-Age (6-12 years old)";"Full Day Care";"Half Day Care";"Weekend Care";"Drop-In Care";"Night Care";"Provides Transportation";"Child and Adult Food Program";"Accepts Subsidies";"Certified Nature Explore Classroom";"Implementing WY ELG/ELF";"Accepts Special Needs";"Pet Free Environment";"Has Cat(s)";"Has Dog(s)";"Has Other Pet(s)"
17128;"CCC";"307 Playhouse";"2027 East Yellowstone Highway, unit A";"Casper";"WY";82609;"Natrona";"307-277-3400";"tisha92c@gmail.com";;45;"Regular/Year Round";"Closed";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;;;"Yes";;;;;;;
1883;"FCCH";"3C'S DAYCARE CENTER";"1209 CHARLES AVE";"Worland";"WY";82401;"Washakie";"(307)";"3csdaycare@gmail.com";;10;"Regular/Year Round";"Closed";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;"Yes";"Yes";;;;;;;
1801;"FCCH";"5 Star Child Care";"116 Harmony";"Buffalo";"WY";82834;"Johnson";"(307)";"5starchildcare4u@gmail.com";;10;"Regular/Year Round";"Closed";"06:45 AM - 05:15 PM";"06:45 AM - 05:15 PM";"06:45 AM - 05:15 PM";"06:45 AM - 05:15 PM";"06:45 AM - 05:15 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;;;;;;;;;
16862;"CCC";"A Little Paradise CCC Inc.";"1922 Big Horn Ave.";"Cody";"WY";82414;"Park";"307-587-4732";"pamsgoobers@gmail.com";;61;"Regular/Year Round";"Closed";"05:45 AM - 06:00 PM";"05:45 AM - 06:00 PM";"05:45 AM - 06:00 PM";"05:45 AM - 06:00 PM";"05:45 AM - 06:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;"Yes";"Yes";"Yes";;;;;;;
14890;"FCCH";"A Step Ahead Daycare";"2831 Highway 120 South";"Cody";"WY";82414;"Park";"307-272-7367";"astepaheaddaycare17@gmail.com";;10;"Regular/Year Round";"Closed";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"Closed";;"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;"Yes";"Yes";;;"Yes";;"Yes";"Yes";"Yes"
1916;"FCCC";"ABC's and 123's Preschool";"491 Good Neighbor Lane";"Etna";"WY";83118;"Lincoln";"307-883-4645";"trukn@silverstar.com";;14;"Closed Summer : September to May";"Closed";"Closed";"08:00 AM - 03:00 PM";"Closed";"08:00 AM - 03:00 PM";"Closed";"Closed";;;;"Yes";;;"Yes";;;;;;;;;;;;;
1884;"FCCH";"ABC-123 Tina's Home Day Care";"1947 E. 18th";"Cheyenne";"WY";82001;"Laramie";"307-635-0063";"tinaakins18@yahoo.com";;10;"Regular/Year Round";"Closed";"12:00 AM - 12:00 PM";"12:00 AM - 12:00 PM";"12:00 AM - 12:00 PM";"12:00 AM - 12:00 PM";"12:00 AM - 12:00 PM";"12:00 AM - 12:00 PM";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;;;
1786;"FCCC";"ABC ACADEMY";"#1 SIERRA";"Douglas";"WY";82633;"Converse";"307-358-2254";"BOYER@vcn.com";;13;"Closed Summer : September to May";"Closed";"08:00 AM - 04:30 PM";"08:00 AM - 04:30 PM";"08:00 AM - 03:30 PM";"Closed";"Closed";"Closed";;;;"Yes";;;"Yes";;;;;;;;;;;;;
16916;"FCCC";"ABC Preschool and Childcare Center";"1314 Lewis";"Sheridan";"WY";82801;"Sheridan";"(307)";"littlemisswyoming@live.com";;15;"Regular/Year Round";"Closed";"06:00 AM - 05:30 PM";"06:00 AM - 05:30 PM";"06:00 AM - 05:30 PM";"06:00 AM - 05:30 PM";"06:00 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;;;;;;;;;
78;"CCC";"ABSAROKA HEADSTART LANDER";"626 Washington";"Lander";"WY";82520;"Fremont";"307-332-5559";"pwolf@abhs.org";;42;"Closed Summer : August to May";"Closed";"08:15 AM - 02:15 PM";"08:15 AM - 02:15 PM";"08:15 AM - 02:15 PM";"08:15 AM - 02:15 PM";"Closed";"Closed";;;;"Yes";;"Yes";;;;;;"Yes";;;;;;;;
