"Id";"Date";"Violations";"Link to Notices";"violations";"ViolationsDescription"
17196;"07/20/2021";"1 Non-Compliant Violations";"https://findchildcarewy.orghttps://www.wylicensing.org//SignedForms/Programs/17196/Visits/47620/CCL305/305PDF.CPL47620.20220214.124058.pdf";"Yes";"Regulation: Chapter 3. Denial, Non-Renewal, Revocation, or Suspension of License Compliance Action Plan Due Date: 01/12/2022 Compliance Action Plan Completed Date: 01/12/2022 Compliance Due Date: 09/22/2022 Compliance Achieved Date: 01/12/2022"
17196;"04/21/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/17196/unsigned300PDF.20220901.105220.pdf";"No";
17196;"04/20/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/17196/signed300PDF.20220421.074259.pdf";"No";
17196;"02/15/2022";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/17196/signed209PDF.20220906.071219.pdf";"No";
17196;"07/20/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/17196/signed300PDF.20220214.123907.pdf";"No";
17196;"06/30/2021";"Initial Inspection";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/17196/signed200PDF.20210630.120144.pdf";"No";
17128;"08/18/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/17128/signed300PDF.20220818.091847.pdf";"No";
17128;"07/12/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/17128/signed300PDF.20220712.104440.pdf";"No";
17128;"06/09/2022";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/17128/signed209PDF.20220609.114438.pdf";"No";
17128;"03/10/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/17128/signed300PDF.20220310.164746.pdf";"No";
17128;"06/22/2021";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/17128/signed209PDF.20210622.111418.pdf";"No";
17128;"02/19/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/17128/signed300PDF.20210219.112204.pdf";"No";
17128;"12/14/2020";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/17128/signed300PDF.20201214.143055.pdf";"No";
1883;"01/27/2020";"1 Non-Compliant Violations";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1883/Reported Violations and Complaints.Signed 305.20200127.000000.pdf";"Yes";"Regulation: Chapter 4. General Requirements Compliance Action Plan Due Date: 02/10/2020 Compliance Action Plan Completed Date: 01/28/2020 Compliance Due Date: 02/10/2020 Compliance Achieved Date:"
1883;"07/20/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1883/signed300PDF.20220720.112459.pdf";"No";
1883;"01/28/2022";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1883/signed209PDF.20220128.104018.pdf";"No";
1883;"06/15/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1883/signed300PDF.20210615.121442.pdf";"No";
1883;"01/25/2021";"Renewal / Validation Visit";;"No";
1883;"08/04/2020";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1883/signed300PDF.20200807.151946.pdf";"No";
1883;"01/27/2020";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1883/signed209PDF.20200127.103618.pdf";"No";
1883;"06/19/2019";"Facility Visit";;"No";
1883;"02/06/2019";"Renewal / Validation Visit";;"No";
1801;"10/18/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1801/signed300PDF.20221018.112324.pdf";"No";
1801;"03/29/2022";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1801/signed209PDF.20220329.095339.pdf";"No";
1801;"11/17/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1801/signed300PDF.20211117.113028.pdf";"No";
1801;"03/02/2021";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1801/signed209PDF.20210302.154431.pdf";"No";
1801;"11/04/2020";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1801/signed300PDF.20201104.105335.pdf";"No";
1801;"03/25/2020";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1801/signed209PDF.20200325.145411.pdf";"No";
1801;"11/20/2019";"Facility Visit";;"No";
1801;"09/17/2019";"Facility Visit";;"No";
1801;"04/16/2019";"Renewal / Validation Visit";;"No";
16862;"06/13/2022";"1 Non-Compliant Violations";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/16862/305RPVPDF.CPL5302.20220722.112411.pdf";"Yes";"Regulation: Chapter 15. General Requirements Compliance Action Plan Due Date: 07/29/2022 Compliance Action Plan Completed Date: 09/08/2022 Compliance Due Date: 06/28/2022 Compliance Achieved Date: 09/08/2022"
16862;"01/17/2020";"1 Non-Compliant Violations";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/16862/unsigned305RPVPDF.20200123.092748.pdf";"Yes";"Regulation: Chapter 7. Rules for Certification Of A Child Care Center (CCC) Compliance Action Plan Due Date: 02/05/2020 Compliance Action Plan Completed Date: 01/30/2020 Compliance Due Date: 01/22/2020 Compliance Achieved Date: 01/22/2020"
