"Facility Type";"Facility Name";"Address";"City";"Zip Code";"County";"Phone";"Provides Transportation";"Infants Accepted";"Full Day Service";"Half Day Service";"Drop In Accepted";"Weekend Service";"Night Service"
"Child Care Center";"BASIC BEGINNINGS";"1474 NORTH 19TH ST";"Laramie";"82072-";"Albany";"307-745-5755";"Y";"Y";;;;;
"Child Care Center";"Basic Beginnings South";"3520 Garfield";"Laramie";"82070-";"Albany";"307-742-9332";"Y";"Y";"Y";"Y";;;
"Child Care Center";"DEVELOPMENTAL PRESCHOOL AND DAY CARE";"715 SHIELDS";"Laramie";"82072-";"Albany";"307-742-6374";"Y";"Y";"Y";"Y";;;
"Child Care Center";"HILLTOP CHRISTIAN CHILD CARE, INC.";"1517 CANBY";"Laramie";82072;"Albany";"307-742-2822";"Y";"Y";;;;;
"Child Care Center";"KIDDIE COTTAGE";"2123 GARFIELD";"Laramie";"82070-";"Albany";"307-742-2777";"Y";"Y";;"Y";;;
"Child Care Center";"Kids Just Wanna Have Fun";"1404 Skyline Unit A";"Laramie";"82070-0000";"Albany";"307-745-8910";"Y";"Y";"Y";"Y";;;
"Child Care Center";"Laramie Child Development Corporation";"710 GARFIELD RM 171";"Laramie";82070;"Albany";"307-742-6792";"Y";;"Y";;;;
"Child Care Center";"St. Laurence School";"608 S. 4th";"Laramie";"82070-";"Albany";"307-742-6363";;;"Y";"Y";;;
"Child Care Center";"THE OPEN SCHOOL";"414 SOUTH 24TH";"Laramie";82070;"Albany";"307-745-7256";;;;"Y";;;
"Child Care Center";"The Ranch Preschool at Laramie Valley Chapel";"4801 Quarter Horse Dr.";"Laramie";"82070-";"Albany";"307-742-6781";;;;;;;
"Child Care Center";"ABSAROKA HEAD START  BASIN-GREYBULL";"609 RUE AVE.";"Basin";82410;"Big Horn";"307-568-2032";"Y";;;"Y";;;
"Child Care Center";"ABSAROKA HEAD START LOVELL";"750 1/2 KANSAS";"Lovell";82431;"Big Horn";"307-548-7071";;;;"Y";;;
"Child Care Center";"CHILDRENS RESOURCE CENTER";"117 SOUTH 4TH";"Basin";82410;"Big Horn";"307-568-2914";;;;"Y";;;
"Child Care Center";"CHILDRENS RESOURCE CENTER  LOVELL";"435 E. 5TH.";"Lovell";82431;"Big Horn";"307-548-6722";;;;"Y";;;
"Child Care Center";"Rocky Mountain Elementary Preschool";"99 South Division";"Cowley";"82420-";"Big Horn";"307-548-2211";"Y";;;"Y";;;
