"License Number";"License Type";"Name of Program";"AddressLine1";"AddressLine2";"AddressLine3";"City";"State";"Zip";"County";"Phone";"License Status";"License Holder";"Capacity";"Type Of License";"Restrictions";"Services";"Licensing Authority";"Initial Effective Date";"Current Effective Date";"Expiration Date";"License Holder Lives Onsite"
1081858;"Child Care Center";" Faithful Beginnings at St Timothy School ";"215 Division St E";;;"Maple Lake";"MN";55358;"Wright";"(320) 963-3417";"Active";"The Church of St Timothy";67;"Preschool     School-Age       ";"Temporary fire approval through 4/15/20 - install/replace exit lights in exit signs.";"Child Care Center";"Minnesota Department of Human Services";"09/09/2016";"02/05/2020";"12/31/2020";"   "
1094407;"Child Care Center";" First years Academy";"583 Cherry Drive";;;"Waconia";"MN";55387;"Carver";"(952) 442-4194";"Active";"First Year Academy";245;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"11/19/2018";"06/08/2020";"12/31/2020";"   "
1004396;"Child Care Center";" French Academie (The)";"12301 WHITEWATER DR STE 190";;;"Minnetonka";"MN";"55343-9452";"Hennepin";"(952) 944-1930";"Active";"The French Academie";68;"Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"08/29/2000";"06/24/2020";"12/31/2020";"   "
1086983;"Child Care Center";"1st Lutheran Preschool and Extended Day Program";"925 E 13th St";;;"Glencoe";"MN";55336;"McLeod";"(320) 864-3317";"Active";"First Evangelical Lutheran Church Preschool and Extended Day Program";20;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"08/28/2018";"01/01/2020";"12/31/2020";"   "
1080082;"Child Care Center";"2nd Home Childcare LLC";"2600 26th Ave S #300";;;"Minneapolis";"MN";55406;"Hennepin";"(612) 814-1531";"Active";"2nd Home Childcare LLC";104;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"05/25/2016";"01/01/2020";"12/31/2020";"   "
1011675;"Child Care Center";"3R's Early Childhood Learning Center Inc";"4900 85th Ave N";;;"Brooklyn Park";"MN";"55443-1957";"Hennepin";"(763) 315-5006";"Active";"3R's Early Childhood Learning Center, LLC";176;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/04/2001";"02/05/2020";"12/31/2020";"   "
1081425;"Child Care Center";"A Better Childcare";"7046 Brooklyn Blvd";;;"Brooklyn Center";"MN";55429;"Hennepin";"(612) 226-0236";"Active";"A Better Childcare";14;"Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"06/25/2018";"01/01/2020";"12/31/2020";"   "
800003;"Child Care Center";"A Child's Delight Too, Inc.";"200 Western Ave Suite 2A";;;"Faribault";"MN";55021;"Rice";"(507) 332-2264";"Active";"A Child's Delight Too, Inc.";94;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"05/01/1980";"01/01/2020";"12/31/2020";"   "
1096017;"Child Care Center";"A Child's Place Daycare Center ";"3738 7th Ave N";;;"Anoka";"MN";55303;"Anoka";"(763) 427-1897";"Active";"A Child's Place Daycare Center LLC";69;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"01/14/2019";"01/01/2020";"12/31/2020";"   "
809952;"Child Care Center";"A Child's View";"2066 East Palace Ave.";;;"Saint Paul";"MN";55105;"Ramsey";"(651) 690-0590";"Closed";"A Child's View";8;;"None";"Child Care Center";"Minnesota Department of Human Services";"10/01/1995";"01/01/2020";"12/31/2020";"   "
